Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
&Associates;;3;;;;;3
&Maes B.V.;;3;;;;;3
&Samhoud Nederland B.V.;;3;3;;;;4
2 Meter;;3;;;;;3
2BGlobal B.V.;;2;;;;;2
2OPEN;;1;;;;;1
2Solve Investigations;;;;;;1;1
31Volts;;2;;;;;2
5plus1;;3;;;;;3
7Zebra's;;1;;;;;1
A way for Waste;;1;;;;;1
A. Klompe Beheer B.V.;;1;;;;;1
A.A. Dijkhuizen;;1;;;;;1
Aaaaha! The Actor Factory B.V.;;1;1;;;;1
Aacee, Bouwen en Milieu;;1;;;;;1
Aalders Merk en Marketing B.V.;;2;;;;;2
Aalt Dijkhuizen B.V.;;1;;;;;1
Aanbestedingskalender B.V.;;;;1;;;1
Aardewijn Procesbegeleiding & Advies;;1;;;;;1
ABCD About Brands Concepts Design;;4;;;;;4
Abd Allied Business Development B.V.;;2;;;;;2
Abeng Taal & Tekst;;2;2;;;;3
ABF Group B.V.;;1;;;;;1
Abma Schreurs Notarissen;;1;;;;;1
Acceleratio B.V.;;2;;;;;2
ACE B.V.;;1;;;;;1
Ace Projects;;1;;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;;1;;;;;1
Acquire Publishing B.V.;;1;;;;;1
Actuac B.V.;;2;;;;;2
Acuity CRM B.V.;;1;;;;;1
Ad Brak Catering B.V.;;1;;;;;1
Ad Prins;;2;;;;;2
Adema Ecologisch Onderzoek en Advies;;2;;;;;2
Adri Dorrestein, Advies & Interim B.V.;;2;;;;;2
Advance Consulting;;2;;;;;2
Advies water en klimaat;;2;;;;;2
Adviesbureau Beleef & Weet;;1;;;;;1
Adviesbureau De Vallei;;1;;;;;1
Adviesbureau Sam B.V.;;2;;;;;2
Adviesbureau STATEMA B.V.;;1;;;;;1
AEQUATOR Groen & Ruimte B.V.;;1;;;;;1
AEVES B.V.;1;2;;;;;2
Africa Interactive B.V.;;2;;;;;2
Agonus Fisheries Consultancy;;2;;;;;2
Agr. Laboratorium Noord-Nederland/Alnn B.V.;;1;;;;;1
Agrifirm Exlan B.V.;;2;;;;;2
Agrix Consulting;;3;;;;;3
AHB Consultancy;;2;;;;;2
Aider;;2;;;;;2
Alaskawoodhouse Consultancy;;1;;;;;1
Albers Adviezen;;1;;;;;1
Aletha Steijns Communicatie;;2;;;;;2
Alexander Zwart;;1;;;;;1
Algemene Vereniging Inlands Hout;;1;;;;;1
Allfo Foto Services;;1;;;;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;2;;;;;2
Alt-Tab Bedrijfsondersteuning;;;1;;;;1
Amazing Bread Company B.V.;;1;;;;;1
AMBor Creatie;;3;;;;;3
Amigos International;;2;;;;;2
Amigos International B.V.;;2;;;;;2
amoons advies;;2;;;;;2
Amped;;3;;;;;3
Amsterdam Flowers;;1;;;;;1
Amsterdam Logistics Group B.V.;;2;;;;;2
Andersson Elffers Felix;;2;;;;;2
Ania Molenda;;1;;;;;1
Animal Behaviour Clinic;;2;;;;;2
Anja van Zanten Keramiek;;1;;;;;1
Annette Postma;;2;;;;;2
ANP Pers Support Benelux B.V.;;1;;;;;1
Antea Nederland B.V.;;2;;;;;2
Antonissen Consultancy;;2;;;;;2
AOES;;1;;;;;1
Aon Hewitt Risk & Financial Management B.V.;;1;;;;;1
APE Public Economics B.V.;;2;;;;;2
APG Asset Management N.V.;;2;;;;;2
Appels Pro-Fashion B.V.;;1;;;;;1
APPM Management Consultants B.V.;;3;;;;;3
Appolt Advies- en Organisatiebureau;;2;;;;;2
AquaTerra-KuiperBurger (ATKB);;1;;;;;1
ARA Groep B.V.;;1;2;;;;2
