FID,KUNSTWERKID,KUNSTWERKNAAM,KUNSTENAAR,EIGENDOM_VAN,LENGTEGRAAD,BREEDTEGRAAD,RD_X,RD_Y,LOKATIEBEELD,WEBSITEVERWIJZING,FOTO,CONTACT,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
CUL_KUNSTWERKEN.18,245,Sculptuur,Gerard Bruning,gemeente Nijmegen,"5,83679246","51,8068078",186007.13192939377,424337.83851326344,Malderburchtstraat/Ruys de Beerenbrouckstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=245,245.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186007.131929394 424337.838513263)
CUL_KUNSTWERKEN.19,247,Uil,Gerard Bruning,gemeente Nijmegen,"5,79806907","51,8062387",183336.85533539503,424258.7058195525,Aldenhof 67-21,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=247,247.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (183336.855335395 424258.705819553)
CUL_KUNSTWERKEN.20,336,Sculptuur,Gerard Bruning,gemeente Nijmegen,"5,84088216","51,8559253",186255.0664280401,429804.091421789,In opslag wegens wijziging omgeving,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=336,336.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186255.06642804 429804.091421789)
CUL_KUNSTWERKEN.21,343,Zonder titel (beeld in twee delen),Gerard Bruning,gemeente Nijmegen,"5,80090515","51,8120561",183528.76962051506,424907.0224262705,Meijhorst 70-43,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=343,343.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (183528.769620515 424907.022426271)
CUL_KUNSTWERKEN.22,357,Muursculpturen,Gerard Bruning,gemeente Nijmegen,5.861463,51.850073,187677.16488937972,429162.0588344878,Waalkade (ter hoogte van de Korte Brouwerstraat),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=357,357.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187677.16488938 429162.058834488)
CUL_KUNSTWERKEN.23,256,Het Ros Beiaard,Jan van Druten,gemeente Nijmegen,"5,82701378","51,8046811",185334.15835175692,424097.1072731849,Zijpendaalstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=256,256.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (185334.158351757 424097.107273185)
CUL_KUNSTWERKEN.24,299,Afsluitpaal,Giuseppe Roverso,gemeente Nijmegen,"5,86417863","51,8476808",187866.0206133044,428897.14314814616,Vijfringengas,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=299,299.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187866.020613304 428897.143148146)
CUL_KUNSTWERKEN.25,413,Pelikaan,Ben van Pinxteren,gemeente Nijmegen,"5,87779327","51,8292372",188817.98108847433,426851.47834923735,Bart Hendriksstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=413,413.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188817.981088474 426851.478349237)
CUL_KUNSTWERKEN.26,571,Kunstpaaltjes-route,Raoul Teulings,gemeente Nijmegen,"5,865236","51,854155",187934.13826270105,429617.90020647616,Pastoor van Laakstraat (Lent-Nijmegen),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=571,571.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187934.138262701 429617.900206476)
CUL_KUNSTWERKEN.27,508,Observatietoren,Ronald Tolman,gemeente Nijmegen,"5,792257","51,821837",182926.33633126935,425991.822580206,"Van Schuylenburgweg hoek Van Rosenburgweg (voorheen Voorstadslaan,terrein van De Gelderlander)",https://www.nijmegen.nl/kos/kunstwerk.aspx?id=508,508.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (182926.336331269 425991.822580206)
CUL_KUNSTWERKEN.28,368,Sculptuur,Jo Gijsen,gemeente Nijmegen,"5,87615565","51,8446674",188693.54355251376,428567.3792050917,Barbarossastraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=368,368.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188693.543552514 428567.379205092)
CUL_KUNSTWERKEN.29,547,Afsluitpaal,Ben van Pinxteren,gemeente Nijmegen,"5,86352625","51,8479206",187820.89397604275,428923.52678306546,Achter de Hoofdwacht,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=547,547.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187820.893976043 428923.526783066)
CUL_KUNSTWERKEN.30,509,Pierson-monument,Ronald Tolman,gemeente Nijmegen,"5,86203334","51,8453301",187719.91037383393,428634.6507345947,Piersonstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=509,509.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187719.910373834 428634.650734595)
CUL_KUNSTWERKEN.31,399,Sculptuur in drie delen,Jo Gijsen,gemeente Nijmegen,"5,87081119","51,8355532",188332.01274465187,427550.92737698235,Groesbeekseweg/Van Heutszstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=399,399.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188332.012744652 427550.927376982)
