;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
123led.nl;;;;;;;;;1;;1
123magazijninrichting.nl B.V.;;;;;;;;1;;;1
4E-Batteries B.V.;;;;;;;;;1;;1
A.J.F. Jansen B.V.;;;;;;;;1;;;1
A.T.M.;;;;;;;1;;;;1
'AAB' Kalishoek Slotenservice 24 Uur;;;;;;;;;1;;1
ABN AMRO Bank N.V.;;;;;;;;;;1;1
Abson C.V.;;;;;1;;;;;;1
Adfontes;;;;;;;;1;;;1
Adivo;;;;;;;;1;;;1
AEB Exploitatie B.V.;;;;;;;2;;;;2
AED Solutions B.V.;;;1;;;;;;;;1
AGIN Pranger Gerechtsdeurwaarders;1;;;;;;;;;;1
Ahrend Nederland B.V.;;;;;;;;8;;;8
Aircraft Cabin Products;;;;;;;;1;;;1
Airsain;;1;;;;;;;;;1
Akkermans Holding B.V.;;;;;;;;2;;;2
Albe Technieken B.V.;;;3;;;;;1;;;3
Albron Nederland B.V.;;2;;;;;;;;;2
All-in Verhuur B.V.;;;;;;;;1;;;1
Alpheios B.V.;;;;1;;;;;;;1
Altec IndustriÃƒÂ«le Identificatie;;;;;;;;1;;;1
Altena's bedrijfs service;;;;1;;;;;;;1
Altrex B.V.;;;;;;;;1;;;1
Aly en Huub van Langen;;;;;;;;;1;;1
American Express International Inc.;;;;;;;;;;1;1
anoniem_FIN_1;;;;;;;;;1;;1
Antalis B.V.;;;;;;;;;1;;1
Anticimex;;;;2;;;;;;;2
Antonisen B.V.;;;;;6;;;;;;6
ANWB B.V.;;;;;;1;;;;;1
AO Core B.V.;;;;;;;;;1;;1
Arbo-Rie-Support B.V.;;;1;;;;;;;;1
ASB Security B.V.;;;1;;;;;;;;1
ATTERO Noord B.V.;;;;;;;1;;;;1
Autohulpdienst Broekmans B.V.;;;;;1;;;;;;1
Automaterialen Centrum Zeist B.V.;;;;;;;;1;;;1
AVR-Afvalverwerking B.V.;;;;;;;3;;;;3
AWP Services NL B.V.;;;;;6;;;;;;6
Azerty;;;;;;;;;1;;1
B.V. Eerste Hulp Dichtbij!;;;1;;;;;;;;1
B.V. Exped.- en Stuwd. Mij. J.C. Meijers;;;;;1;;;;;;1
Bakker Bart;;1;;;;;;;;;1
Bakker Derks 'Der Deutsche Backer';;1;;;;;;;;;1
Bakker Van Maanen B.V.;;1;;;;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;;;;1
Banketbakkerij Borgman;;1;;;;;;;;;1
Banketbakkerij Jan de Groot;;1;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;1;;;;;;;;;1
Banketbakkerij Nijstad;;1;;;;;;;;;1
Banketbakkerij Rijkhoff B.V.;;1;;;;;;;;;1
BarentsKrans Coöperatief UA;;;;;;;5;;;;5
Barge Center Waalhaven B.V.;;;;;1;;;;;;1
Barri & More;;;;;;;;1;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;;;;;;;1;;1
Bavak Beveiligingsgroep B.V.;;;5;;;;;;;;5
BCC;;;;;;;;;1;;1
Bechtle Direct;;;;;;;;;6;;6
Bedrijfs- en Milieurecherchebureau BMR;;;;;;;1;;;;1
Berendsen Textiel Service B.V.;;;;;;;;;1;;1
Bergnet;;;;;1;;;;;;1
Berki Brandbeveiliging B.V.;;;1;;;;;;;;1
Bever B.V.;;;;;;;;;1;;1
Bhv-Specialist.Nl;;;1;;;;;;;;1
Birdcenter Graka;;;;;;;;;1;;1
Blancco (Software) Netherlands B.V.;;;;;;;2;;;;2
BlueDogConnection B.V.;;;;;;;;;6;;6
Boerhof Projectinrichters;;;;;;;;4;;;4
Bolt V.O.F.;;;;;1;;;;;;1
Boma Nederland BV;;;;1;;;;;;;1
Bos en Alkemade Architecten;;;;;;;;1;;;1
Bredox B.V.;;;;;;;4;;;;4
Brezan Automaterialen B.V.;;;;;;;;1;;;1
Bronk B.V.;;;;;;;;;1;;1
Brood- en Banketbakkerij P.A. Bliek;;1;;;;;;;;;1
Buyitdirect.com B.V.;;;;;;;;2;;;2
Canon Nederland;;;;;;;;;7;;7
Car Repair Online Products;;;;;;;;;1;;1
Casala Palau;;;;;;;;1;;;1
CCV International B.V.;;;;;;;;;;1;1
CE Special Courier BV Groningen;;;;;1;;;;;;1
Cemex Trescon B.V.;;;;;;;;;1;;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;;;;;;1;;1
Centralpoint Nijmegen B.V.;;;;;;;;;9;;9
Choco Loca;;1;;;;;;;;;1
City Bakery Taart;;1;;;;;;;;;1
Clean air (Baker);;;;;;;;;1;;1
CoÃ¶peratief City Terminal UA;;;;;1;;;;;;1
CoÃƒÂ¶peratieve Rabobank UA;;;;;;;;;;5;5
Compass Group Nederland B.V.;;1;;;;;;;;;1
Compliment.nl;;1;;;;;;;;;1
Connection Systems;;;2;;;;;;;;2
Conrad Electronic Benelux B.V.;;;;;;;;1;1;;1
Coolblue B.V.;;;;;;;;;1;;1
COT Instituut voor Veiligheids-;;;1;;;;;;;;1
Cryo Solutions B.V.;;;;;1;;;;;;1
CSU B.V.;;;;1;;;;;;;1
CSU Groep B.V.;;;;1;;;;;;;1
Cymax E-Products B.V.;;;;;;;;;2;;2
D e Gouden Plak;;;;;;;;;1;;1
D. en P. van Beek;;;;;;;;;1;;1
de Brandwacht.nl B.V;;;1;;;;;;;;1
de Buffel;;;;;;;;;1;;1
de Jonge Internationale Berging en Transport;;;;;1;;1;;;;1
De Kantoorcentrale BV;;;;;;;;;1;;1
De Kopieerder V.O.F.;;;;;;;;;1;;1
De Kultuurkoerier;;;;;1;;;;;;1
De Raat Security Products B.V.;;;;;;;;1;;;1
De Ridder B.V.;;;;;;;;1;;;1
De Stempelplaats B.V.;;;;;;;;;1;;1
De Stickerkoning B.V.;;;;;;;;;1;;1
Decoma B.V.;;;;;;;;;1;;1
Delta Cargo Container Services B.V.;;;;;3;;;;;;3
Delta International Promotioneel B.V.;;;;;;;;;1;;1
Denios B.V.;;;;;2;;;1;;;2
Denton Design;;;;;;;;1;;;1
Destil B.V.;;;;;;;;;1;;1
DHL International B.V.;;;;;7;;;;;;7
Digital Revolution B.V.;;;;;;;;;1;;1
Digital Scan;;;;;;1;;;;;1
Dijkgraaf-Rijsdorp B.V.;;;;;;;;;1;;1
Dirksen Schoonmaakartikelen B.V.;;;;;;;;;7;;7
Discountoffice.nl B.V.;;;;1;;;;1;1;;1
Dnn Verhuur;;1;;;;;;;;;1
Dokkumer Vlaggen Centrale B.V.;;;;;;;;;1;;1
Douwe Egberts Horeca;;7;;;;;;;;;7
Dufare Duik- en watersportreparatie;;;;;;;;;2;;2
Dutch Darts B.V.;;;;;;;;1;;;1
Dutch Risk B.V;;;1;;;;;;;;1
Dynamo B.V.;;;1;;;;;;;;1
Ears4U;;;;;;;;;1;;1
Easy e-Sales;;;;;;;;1;;;1
Easy2send.nl B.V.;;;;;1;;;;;;1
ECT Delta Terminal;;;;;1;;;;;;1
Eden Springs Nederland B.V.;;1;;;;;;;;;1
Eindhoven Airport N.V.;;;1;;;;;;;;1
Eleshop.nl;;;;;;;;;1;;1
Emtek Ergonomics B.V.;;;;;;;;2;;;2
Enersafe B.V.;;;2;;;;;;;;2
Engels;;;;;1;;;;;;1
Ergo2Work B.V.;;;;;;;;1;;;1
Ese International B.V.;;;1;;;;;;;;1
Esra Handelmaatschappij B.V.;;;;;2;;;;;;2
Etalagepoppengigant B.V.;;;;;;;;;1;;1
Etikettenkoning B.V.;;;;;;;;1;1;;1
Eurofins LabCo;;;;;;;;1;;;1
Europcar Autoverhuur B.V.;;;1;;;;;;;;1
Eurovacuum B.V.;;;;;;;;;1;;1
Euser Speciaal Transport B.V.;;;;;1;;;;;;1
EVC (Verpakking) B.V.;;;;;1;;;;;;1
EVO Fenedex;;;;;1;;;;;;1
Ex-Ox-Tox;;;;;;;;;1;;1
F. v.d. Mosselaar Autorec. & Autodemont. B.V.;;;;;;;1;;;;1
Faber Vlagtechniek B.V.;;;;;;;;;1;;1
Facilicom PPS Doetinchem Exploitatie B.V.;4;;;;;;;;;;4
Federal Express Europe Inc.;;;;;1;;;;;;1
Feenstra's Transporten B.V.;;;;;1;;;;;;1
Firecom;;;;;;;;1;;;1
Firetexx B.V.;;;1;;;;;;;;1
Fireware;;;1;;;;;;;;1
Firma Banketbakkerij Lindeboom;;1;;;;;;;;;1
Fitness Seller;;;1;;;;;;;;1
Flash Rental Services B.V.;;;;;;;;1;;;1
Flexchair B.V.;;;;;;;;1;;;1
Foto Linthout;;;;;;;;1;;;1
Frama Nederland;;;;;;;;;1;;1
Frans Beekwilder B.V.;;;;;;;;;1;;1
Friesland Sportprijzen;;;;;;;;;1;;1
Fristads Kansas Benelux bv;;;;;;;;;1;;1
G4M B.V.;;;;;;;;1;;;1
G4S Cash Management B.V.;;;1;;;;;;;;1
G4S Cash Solutions B.V.;;;1;;;;;;;;1
G4S Security Services B.V.;;;2;;;;;;;;2
Gasvrij Centrale Nederland B.V.;;;;;;;1;;;;1
Gebr. Ferwerda Vastgoed B.V.;;;;;;;;1;1;;1
Giant Publicity B.V.;;;;;;;;;1;;1
Giftsware;;;;;;;;;1;;1
Giroflex Nederland B.V.;;;;;;;;;1;;1
Gispen Kantoorinrichting;;;;;;;;1;;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;;7;;7
Groningen Airport Eelde N.V.;;;1;;;;;;;;1
GSA Facilitaire Diensten B.V.;1;;;;;;;;;;1
Haagh Protection B.V.;;;;;;;;1;;;1
Hagisto;;;;;;;;1;;;1
Handboekbinderij Bronsgeest-Habi;;;;;;;;;1;;1
Handelsonderneming J.P. Mulder;;;;;;;;;1;;1
Hans Ouderwets Lekker;;1;;;;;;;;;1
HBL Online B.V.;;;;;;;;1;;;1
HBM Machines B.V.;;;;;;;;1;;;1
Health2Work B.V.;;;;;;;;1;;;1
Henk Maas Weegschalen B.V.;;;;;;;;;1;;1
Het Medaillehuis Suurd;;;;;;;;;1;;1
Het Stille Verzet;;;;;;;;2;;;2
Hijdra.com;;;;;;;;1;;;1
Hof Catering B.V.;;5;;;;;;;;;5
Hofland Rotterdam B.V.;;;;;;;;1;;;1
Hollander Techniek B.V.;;;4;;;;;1;;;4
Houwen's Vlaai B.V.;;1;;;;;;;;;1
Huibers Test & Measurement B.V.;;;;;;;;;1;;1
Hulshof Business Cases B.V.;;;;;;;;;1;;1
I.T.S. International Technical Service;;;1;;;;;;;;1
IBP INTERIEURBOUW BV.;;;;;;;;1;;;1
Idtechnology B.V.;;;;;;;;;1;;1
Iedema Projectstoffering;;;;;;;;4;;;4
Imming Logistics Fine Art B.V.;;;;;1;;;1;;;1
Inbraakpreventie 'M.I.B.' B.V.;;;1;;;;;;;;1
ING Bank;;;;;;;;;;1;1
ING Bank N.V.;;;;;;;;;;7;7
Initial B.V.;;;;6;;;;;;;6
Inspiration Office;;;;;;;;5;;;5
Intercédé B.V.;;;;;1;;;;;;1
Interseco Security;;;2;;;;;;;;2
Invi concepts;;;;;;;;;1;;1
i-POS.nl B.V.;;;;;;;;;1;;1
Isero Woerden;;;;;;;;1;;;1
