FID,vrt_code,vrtnaam,haven_vaar,meetpunt,waterst_gw,waterst_hw,waterst_lw,waterst_ll,plaatsnaam,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
waterstand_nap.1,180g,Oosterschelde - Brabantsche Vaarwater,,0,,1.58,-1.39,-1.69,Stavenisse,,2438,,,POINT (51.52450000099998 4.052999999000008)
waterstand_nap.2,225e,Lekkanaal,,4.157,,1.62,0.63,-0.35,Hagestein beneden,,2448,,,POINT (52.00310000000002 5.103100002000019)
waterstand_nap.3,405b2,Gat van Schiermonnikoog en de Groote Siege,,3.304,,1.04,-1.24,-1.7,Schiermonnikoog,,2870,,,POINT (53.446500000000015 6.149400000000014)
waterstand_nap.4,403,"Vaargeul langs Pollendam, Blauwe Slenk, Vliestroom en Zuider Stortemelk",,28.863,,0.83,-1.17,-1.5,Terschelling Noordzee,,2908,,,POINT (53.316100000999995 5.116599999000016)
waterstand_nap.5,102g,Merwehaven,,0.26,,1.14,-0.45,-0.7,Vlaardingen,,3055,,,POINT (51.902899999 4.414799999000024)
waterstand_nap.6,402d,Veerhaven 't Horntje,,3.267,,0.63,-0.78,-1.07,Oudeschild,,3247,,,POINT (52.9914 4.78860000100002)
waterstand_nap.7,401a1,Vlieter,,0.231,,0.86,-0.91,-1.18,Kornwerderzand,,3300,,,POINT (52.97379999999998 5.10469999899999)
waterstand_nap.8,024a6,Nieuwe Voorhaven,,0,,0.9,-0.9,-1.2,Harlingen,,3327,,,POINT (53.17779999999999 5.413800001000027)
waterstand_nap.9,152a,Afgesneden Maas en havengebied te Roermond,,8.513,14.3,,,,Roermond Beneden,,3469,,,POINT (51.213500001 5.980599998999992)
waterstand_nap.10,405a3,Zuid Oost Lauwers,,2.873,,1.02,-1.29,-1.7,Lauwersoog,,3506,,,POINT (53.49879999799998 6.426300000000026)
waterstand_nap.11,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,0,21.1,,,,Stevensweert,,3551,,,POINT (51.154199999000014 5.887200001999986)
waterstand_nap.12,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,33.792,,1.06,-0.5,-0.8,D) Maassluis,,3560,,,POINT (51.940699998000014 4.196199997999997)
waterstand_nap.13,103f,Stuwkanaal Hagestein,,1.249,,1.62,0.63,-0.35,Hagestein beneden,,3582,,,POINT (51.991300002 5.133400000999984)
waterstand_nap.14,405f,Zuidoost Lauwers Boschgat,,1.34,,1.04,-1.24,-1.7,Schiermonnikoog,,3661,,,POINT (53.47910000000002 6.449499998000022)
waterstand_nap.15,188,Keeten - Roompot,,25.164,,1.58,-1.39,-1.69,Stavenisse,,3692,,,POINT (51.615800001000025 3.9189999999999827)
waterstand_nap.16,129b,Tholensche Gat naar de Bergsediepsluis en Oosterschelde,,3.777,,1.86,-1.6,-1.94,Bergsediepsluis west,,3699,,,POINT (51.51029999899998 4.173099997999998)
waterstand_nap.17,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,6.751,44,,,,"Borgharen, Julianakanaal",,3881,,,POINT (50.870000000999994 5.699799999999982)
waterstand_nap.18,186,Tholensche Gat - Oosterschelde,,7.4,,1.6,-1.4,-1.7,Stavenisse,,4205,,,POINT (51.527199998000015 4.018100000999993)
waterstand_nap.19,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,37.101,,1.38,-0.33,-0.6,Gouda brug,,4445,,,POINT (52.14220000099999 4.647399999000015)
waterstand_nap.20,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,11.78,8.8,,,,IJsselkop,,4515,,,POINT (51.95089999999999 5.951200001000018)
waterstand_nap.21,130b2,Toeleidingskanaal via de Oostsluis/Oostbuitenhaven naar de Westerschelde,,0,,2.29,-1.9,-2.44,Terneuzen,,4619,,,POINT (51.32840000099998 3.820900000999984)
waterstand_nap.22,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,99.202,10.95,,,,Well Dorp (L),,4674,,,POINT (51.54740000100003 6.092199999999991)
waterstand_nap.23,403c1,Schuitengat en Oosterom,,36.967,,0.83,-1.17,-1.5,Terschelling Noordzee,,4814,,,POINT (53.42520000000002 5.567899997999973)
waterstand_nap.24,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,78.276,1.45,,,,Wijhe,,4957,,,POINT (52.392000000999985 6.125100002000011)
waterstand_nap.25,270,"Gouwe, Gouwekanaal en voorhaven Julianasluis",,14.962,,1.38,-0.33,-0.6,Gouda brug,,4994,,,POINT (51.996800001999986 4.69029999899999)
waterstand_nap.26,108b,Zuid Hollandsch Diep,,0.755,,0.65,0.39,0.15,Moerdijk,,5081,,,POINT (51.70819999999998 4.615200001999995)
waterstand_nap.27,403b,"Westmeep, Noordmeep en Oostmeep",,0.526,,0.95,-0.95,-1.18,Harlingen,,5382,,,POINT (53.293000000999996 5.1792000010000265)
waterstand_nap.28,131,Westerschelde,,0,,2.7,-2.1,-2.6,B) Bath,,5508,,,POINT (51.417100000999994 4.03159999799999)
waterstand_nap.29,113,Spui en Beningen,,19.973,,0.67,0.4,0.15,Middelharnis,,5690,,,POINT (51.797699998999974 4.191799998000022)
waterstand_nap.30,401a,Vaarwater benoorden langs Afsluitdijk,,0.198,,0.86,-0.91,-1.18,Kornwerderzand,,5716,,,POINT (52.941700000000026 5.045000001999995)
waterstand_nap.31,406,"Vaarwater naar Emden, Gaatje Bocht, Oostfriesche Gaatje, Doekegat, Randzelgat en Westereems",,15.983,,1.35,-1.64,-2.07,Delfzijl,,5766,,,POINT (53.32270000099999 7.026900001000001)
waterstand_nap.32,404,"Veerbootroute Ameland, Brandgat, Molengat, Borndiep en Westgat",,0,,1.04,-1.27,-1.81,Holwerd,,6690,,,POINT (53.39530000100001 5.879200000000026)
waterstand_nap.33,152a3,Stuwkanaal Roermond,,2.777,14.8,,,,B) Roermond Beneden,,6697,,,POINT (51.22659999899997 5.988000001999978)
waterstand_nap.34,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,185.54,,0.84,0.68,0.2,Hedel,,6840,,,POINT (51.739300001000004 5.266399997999997)
waterstand_nap.35,150h,Haven van Waalwijk,,0,,0.69,0.41,0.15,B) Keizersveer,,6878,,,POINT (51.71200000099998 5.0542000010000265)
waterstand_nap.36,152a,Afgesneden Maas en havengebied te Roermond,,0,16.8,,,,A) Roermond Boven,,6990,,,POINT (51.2038 5.982299997999974)
waterstand_nap.37,117a,Haringvliet bezuiden Tiengemeten,,13.362,,0.67,0.4,0.15,Middelharnis,,7053,,,POINT (51.754700001 4.233100001000025)
waterstand_nap.38,401a2,Javaruggen,,0.189,,0.72,-0.82,-1.1,Den Oever,,7095,,,POINT (53.01529999799999 5.186999999000022)
waterstand_nap.39,1251,Havens te Scheveningen,,0,,1.1,-0.7,-0.9,Scheveningen,,7162,,,POINT (52.100900002 4.257300000999976)
waterstand_nap.40,405a,"Oort, Lutjewad, Spruit, Zuid Oost Lauwers en het Ra Eemswadje",,4.294,,1.04,-1.24,-1.7,Schiermonnikoog,,7615,,,POINT (53.43120000099998 6.254799998999999)
waterstand_nap.41,109a,Ruigt of Reugt,,8.773,,0.65,0.39,0.15,Moerdijk,,8007,,,POINT (51.737300000999994 4.738400001000002)
waterstand_nap.42,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,0.007,4.27,,,,Zutphen Noord,,8051,,,POINT (52.168000000999996 6.191599999000005)
waterstand_nap.43,120a,Dode Maasarm,,0,,0.74,0.54,0.2,Heesbeen,,8539,,,POINT (51.754999999000006 5.142999998999983)
waterstand_nap.44,110a,"Otterkanaal (n.o. gedeelte), Kikvorskil, Helsloot en Helkanaal",,0,,0.92,0.13,0,Dordrecht,,8637,,,POINT (51.793299999 4.762099999999975)
waterstand_nap.45,102g,Merwehaven,,0.26,,1.2,-0.38,-0.64,Rotterdam,,8652,,,POINT (51.902899999 4.414799999000024)
waterstand_nap.46,109b,Oostkil,,0.028,,0.65,0.39,0.15,Moerdijk,,9022,,,POINT (51.725900002 4.8469000009999945)
waterstand_nap.47,403b,"Westmeep, Noordmeep en Oostmeep",,0.526,,0.83,-1.05,-1.37,West-Terschelling,,9030,,,POINT (53.293000000999996 5.1792000010000265)
waterstand_nap.48,405a,"Oort, Lutjewad, Spruit, Zuid Oost Lauwers en het Ra Eemswadje",,8.545,,1.02,-1.29,-1.7,Lauwersoog,,9141,,,POINT (53.432500000999994 6.316799998000022)
waterstand_nap.49,131,Westerschelde,,87.804,,2.05,-1.81,-2.32,Vlissingen,,9268,,,POINT (51.430500000999984 3.5760000010000113)
