objectid;jaar;richting;omschrijving;url;geo_shape;geo_point_2d;periode
538;2007;211;Floraplein;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/868dd2e5980ea46b9b270757faca91fc;"{""coordinates"": [5.499544230523183, 51.417235514360826], ""type"": ""Point""}";51.417235514360826, 5.499544230523183;2007
540;2007;255;Kruidenbuurt;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/b5a04bcaab911136cf25b0a79692a160;"{""coordinates"": [5.501566543498289, 51.42111665972096], ""type"": ""Point""}";51.42111665972096, 5.501566543498289;2007
545;2007;305;Kruidenbuurt;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/486f822b21524dba5f8055d2527d7c3d;"{""coordinates"": [5.496062338465882, 51.42199383966856], ""type"": ""Point""}";51.42199383966856, 5.496062338465882;2007
549;2007;40;Kerstroosplein (buurt);https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/76afbbfce0a45da012fbd2c66f11b2d6;"{""coordinates"": [5.490211074406542, 51.415716070049946], ""type"": ""Point""}";51.415716070049946, 5.490211074406542;2007
550;2007;25;Kruidenbuurt;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/5e927efa0d2b92e6bb875edede64d47a;"{""coordinates"": [5.494409977030894, 51.4163055321718], ""type"": ""Point""}";51.4163055321718, 5.494409977030894;2007
553;2007;61;Kerstroosplein (buurt), Floraplein;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/ae7a1032a51240082749de2d8ae57cca;"{""coordinates"": [5.494118929320155, 51.414795698909856], ""type"": ""Point""}";51.414795698909856, 5.494118929320155;2007
556;2007;194;Floraplein;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/9103b8ad7d5a43be250642cad713ae3b;"{""coordinates"": [5.499096758490693, 51.41648988388876], ""type"": ""Point""}";51.41648988388876, 5.499096758490693;2007
560;2007;310;Basisschool Floralaan;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/bf7fa65973d62c137b50ec400719410f;"{""coordinates"": [5.490012621108935, 51.416956684887815], ""type"": ""Point""}";51.416956684887815, 5.490012621108935;2007
562;2007;32;Basisschool Floralaan;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/e15ef88ae835e261d840dc3f7549c798;"{""coordinates"": [5.489982188441875, 51.41621065041498], ""type"": ""Point""}";51.41621065041498, 5.489982188441875;2007
1666;2007;19;Zwembad Ir. Ottenbad;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/e69e7d240d206127115b9e995109bd6b;"{""coordinates"": [5.456434253307863, 51.47558761525789], ""type"": ""Point""}";51.47558761525789, 5.456434253307863;2007
1667;2007;52;Zwembad Ir. Ottenbad;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/220b2b6c0fad6c6654e05b51b923133d;"{""coordinates"": [5.456534832934138, 51.475470702916645], ""type"": ""Point""}";51.475470702916645, 5.456534832934138;2007
1671;2007;195;Thermen Prinsejagt, Fakkellaan 6;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/22bcf46dd8e426de2838c063dcf81854;"{""coordinates"": [5.458981145075874, 51.47505574160031], ""type"": ""Point""}";51.47505574160031, 5.458981145075874;2007
1675;2007;44;GGzE De Grote Beek;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/943e82b4344a9e7770c4502eafda80ed;"{""coordinates"": [5.442891373741192, 51.465302884097845], ""type"": ""Point""}";51.465302884097845, 5.442891373741192;2007
1676;2007;68;GGzE De Grote Beek;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/aff57a4d8139feffeb040c1907617c6e;"{""coordinates"": [5.441550994784042, 51.463586685913704], ""type"": ""Point""}";51.463586685913704, 5.441550994784042;2007
1678;2007;84;GGzE De Grote Beek;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/04efc6bba6a7f1f69e18444cd7b7b345;"{""coordinates"": [5.44478945740431, 51.46412444520565], ""type"": ""Point""}";51.46412444520565, 5.44478945740431;2007
1681;2007;48;Philips gebouw, Boschdijk;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/4fcc3a151935e0b3b1d14d8d055d98b1;"{""coordinates"": [5.453172158234971, 51.459382968883546], ""type"": ""Point""}";51.459382968883546, 5.453172158234971;2007
1682;2007;124;Vredeoord (buurt);https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/2341ef337480023fe8d0563280b82bf7;"{""coordinates"": [5.451043179006628, 51.459788646453404], ""type"": ""Point""}";51.459788646453404, 5.451043179006628;2007
1688;2007;243;De Mispelhoef, Oirschotsedijk 9;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/a035afb32bf1571e71ab517bd7d3d5e0;"{""coordinates"": [5.407620916905066, 51.4676874740201], ""type"": ""Point""}";51.4676874740201, 5.407620916905066;2007
1693;2007;0;De Mispelhoef, Oirschotsedijk 9;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/f8f6c0f24884c33c0afa675f51b335cc;"{""coordinates"": [5.405605770104761, 51.46681591500843], ""type"": ""Point""}";51.46681591500843, 5.405605770104761;2007
1696;2007;180;Luchthavengebouw Eindhoven Airport;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/3def9cb2543378dbaa00700fc1d9aefd;"{""coordinates"": [5.394235507053084, 51.458466720823914], ""type"": ""Point""}";51.458466720823914, 5.394235507053084;2007
1697;2007;183;Luchthavengebouw Eindhoven Airport;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/3beddd1b0b5c3a4c7ad378267fa44e30;"{""coordinates"": [5.393803881372935, 51.45866449776437], ""type"": ""Point""}";51.45866449776437, 5.393803881372935;2007
1698;2007;193;Luchthavengebouw Eindhoven Airport;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/9c15393bdd8921c9239e4d9bab003d21;"{""coordinates"": [5.39423557338565, 51.45889817657732], ""type"": ""Point""}";51.45889817657732, 5.39423557338565;2007
1703;2007;339;Luchthavengebouw Eindhoven Airport;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/38b8162e1ea1a489e8e75fab49e0fc26;"{""coordinates"": [5.391142017692222, 51.458844398439865], ""type"": ""Point""}";51.458844398439865, 5.391142017692222;2007
1706;2007;35;Eindhoven Airport;https://data.eindhoven.nl/api/v2/catalog/datasets/historische-vogelvluchtfotos/files/aedff87710307b0d6c734315f9c4c072;"{""coordinates"": [5.388393738678916, 51.45652539118855], ""type"": ""Point""}";51.45652539118855, 5.388393738678916;2007
