Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
(C)-Mill B.V.;;;;1;1
(NIET GEBRUIKEN) Menno Rietema V.O.;;;;1;1
3Bplus;1;;;;1
A&S Gebouwenservice;2;;;;2
A. Prop Beplantingswerken;6;;;;6
A.M.K. Oirschot;;;;1;1
A3CM Management & Consultancy;;;;1;1
Aannemingsmaatschappij Hegeman;;;;7;7
Aap Klimsportspecialist;2;;;;2
Aardnet;1;;;;1
ABB;1;;;;1
Abbink International;2;;;;2
Abeln Projectstoffering;2;;;;2
Aben & Slag Advocaten;;;;2;2
Able Installatiebureau;2;;;;2
Abn-Amro Bank (incl. Fortis);;;;3;3
Abo lasservice;1;;;;1
ABS Trading;1;;;;1
Abus Kraansystemen;4;;;;4
AC-Autocare Nederland BV;2;;;;2
Acces Toegangstechniek;1;;;;1
Accres Apeldoorn;;;;1;1
Acorius Advies;;;;2;2
Actemium / Industrial Solutions Zuid Oost;4;;;;4
Activa Rent;2;;;1;2
Ad Bressers Schildersbedrijf;4;;;;4
Addvoltage;;;;2;2
Adecco Group (incl. Ajilon, Ajilon TTP, vh DNC);2;;;;2
Adema Betonrenovatie BV;2;;;;2
Adriaansen Electrotechniek;1;;;;1
AEG Power Solutions;2;;;;2
AEH Deurplus;1;;;;1
Aero Dynamiek;2;;;;2
Aesy Liften;1;;;;1
Afvalwater Services;3;;;;3
Agel Adviseurs;2;;;3;3
Agterberg Bedrijven;1;;;;1
Aib-Vincotte;3;;;;3
AIC Aannemers Inkoop Centrale;1;;;;1
Air Group;4;;;;4
Air Liquide;1;;;;1
Aircoshop;2;;;;2
AirFan B.V.;1;;;;1
Airport Maintenance Service BV;1;;;;1
Airport Property Management;;;;3;3
Akkerman Installatiebedrijf;2;;;;2
Akkerman Vloeren;1;;;;1
Akkermans Infra;1;;;;1
Akobe brandbeveiliging;1;;;;1
Aksys;2;;;;2
Albin BV;1;;;1;1
Alert Systems Benelux;1;;;;1
Alferink Installatietechniek B;;;;1;1
Algeco;2;;;;2
Alkondor;1;;;;1
All Climate;1;;;;1
All-Plating;;;;1;1
Allsorb Air Filter;2;;;;2
Alltech / Applied Science;1;;;;1
ALM Afbouwgroep;1;;;;1
Alsar Cleaning;1;;;;1
Alsema;1;;;;1
Altavilla Bouwmanagement;;;;2;2
Altena Cleaning, Inspection;4;;;;4
Althuizen Zonwering;2;;;;2
Altop Kunststoftechniek;1;;;;1
Alument B.V.;1;;;;1
Alup Kompressoren;1;;;;1
AML Technologies;3;;;;3
Amsterdam Airport Schiphol;;1;;7;7
Ankerslot;1;;;;1
Apac Services;2;;;;2
Aqua Planning;2;;;;2
Aquaco;1;;;;1
Aquador;1;;;;1
Arfman Hekwerk;2;;;;2
Ark & Reau;1;;;;1
ARK audio video BV;1;;;;1
Arnhem Handelsonderneming;1;;;;1
ASB Inbraakbeveilging;1;;;;1
Asbreuk Service B.V.;2;;;;2
Asecos;1;;;;1
Asito;;;;2;2
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);4;;;;4
Atal Meettechniek;1;;;;1
Atlas Copco;1;;;;1
Attero (vh Essent Milieu, VAR);;;;2;2
Auto Palace;1;;;;1
AvA Milieuonderzoek;;;;1;1
AVBT bv;1;;;;1
Avex;;;;3;3
Aweka Brandertechniek;1;;;;1
B&A Groep;1;;;;1
B&G Hekwerk;4;;;;4
B.F. van Tienen Aannemersbedrijf;4;;;;4
Baas Aannemersbedrijf;2;;;;2
Baas BV;;;;3;3
Bakker Installatiebedrijf;1;;;;1
Bakker Professional;2;;;;2
Bakker Technisch Installatie B;;;;2;2
Bakker Zeefdruk;1;;;2;2
Balance Liftadvies;4;;;;4
Bartels Ingenieurs voor Bouw;1;;;;1
BATTERIJSERVICE NEDERLAND;1;;;;1
Bavak Beveiligingsgroep;1;;;1;1
BB (Bomen);2;;;1;2
BDA Groep (incl. BDA Geveladvies, BDA Dakadvies, BDA Onderbouw en BDA Zonne-energie);1;;;1;1
Beekhuizen-Hoekerd B.V.;1;;;;1
Beenen Technisch Bureau;2;;;;2
Beerstra Installatietechniek;3;;;;3
Beheer Accent;2;;;;2
Belderink Schildersbedrijf;2;;;;2
Belimo Servomotoren;1;;;;1
Benschop Installatietechniek;5;;;;5
Bergh Brandkasten;1;;;;1
BERGO CLEAN & CLEAR VOF;3;;;;3
Beveco Gebouwautomatisering B.;2;;;;2
Bevers Installatietechniek;6;;;2;6
BEW.VEREN. MERKESSTRAAT;1;;;;1
Biddle;1;;;;1
Bierens Incasso Advocaten;1;;;;1
Biesheuvel Groep;1;;;;1
Bilfinger (incl. Tebodin, Real Estate);;;;1;1
Biolab;4;;;;4
Biral Pompen;2;;;;2
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;;;;1
BK Groep;1;;;2;2
BKS Bours Klimaat Service;1;;;1;1
Blaauw-Perioverf B.V.;4;;;;4
Blansjaar 's-Gravenhage;1;;;;1
Bleyenberg Deurservice;2;;;;2
Blijham Dakwerk BV;4;;;;4
Bloem Schoonmaakbedrijf;1;;;;1
Bloemendal Bouw, Onderhoud, Techniek;5;;;;5
Blygold Nederland;4;;;;4
BM Holland;1;;;;1
Bodac;;;;2;2
Boels Verhuur (incl. HuurMax);1;;;;1
Boersen Bliksembeveiliging;3;;;1;3
Boode;1;;;;1
Boon Edam Nederland;2;;;;2
Borchstee Aannemingsbedrijf;2;;;;2
Borgondo Vastgoedmanagement B.V.;;;;4;4
Bork Asbestsaneringen;1;;;;1
Born Bos En Faunabeheer;2;;;;2
Borrenbergs Ad;2;;;;2
Borrenbergs Bouwbedrijf;7;;;4;7
Bos Elektro;1;;;;1
Bos Europe B.V.;2;;;;2
Bos Ontwerp en Reclame;;;;1;1
Bosan;;;;3;3
bouAd Adviesgroep (vh Nebest);2;;;;2
Bouman B.V. Electrotechniek;1;;;;1
Bouter;4;;;4;4
Bouwbedrijf Bovenhuis;1;;;4;4
Bouwbedrijf Gebr. van Stiphout;5;;;7;7
Braaksma Vloeren;1;;;;1
Brabant Water;1;5;;2;5
Brabantse Montage Dakbedekking;5;;;;5
Brakel Atmos;1;;;;1
Brammer;1;;;;1
Brand Boomverzorging;1;;;;1
Brand Interieurbouw en Aannemeningsbedrijf;1;;;;1
Brandsma Dakservice;;;;2;2
BRANTEN ISOLATIE TECHNIEKEN B.;;;;1;1
Breda Bouw BV;4;;;5;6
Bredenoord Aggregaten;6;;;;6
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;3;3
Breman Klimaat Service;3;;;2;3
Brenntag;1;;;;1
Breur Beveiligingen, Ijzerhandel;1;;;;1
Breustedt Chemie;1;;;;1
Bright Spark;1;;;;1
Brimos;1;;;;1
Brondool;1;;;;1
Bruil Infra;3;;;7;7
Bruins & Kwast;4;;;;4
BS Reklame;1;;;;1
BTA Montage;1;;;;1
BTL (incl. Advies, Bomendienst, Realisatie);6;;;2;6
BTN;1;;;;1
Bubbels V.O.F.;1;;;;1
Building Logistic Services;1;;;;1
Buko Infrasupport;2;;;4;4
Bultman Loon- en grondverzetbe;1;;;;1
Bumax;1;;;;1
Bumicom Telecom;1;;;;1
Burgland Bouw BV;;;;8;8
Burgman Security;1;;;;1
Buro Bakker Adviesburo voor Ecologie;1;;;2;2
BV Sport;;;;2;2
C.G. Holthausen;1;;;;1
CAIW Holding (incl. Caiway);1;;;;1
Caljan Rite-Hite Benelux BV;1;;;;1
Camfil Farr;1;;;;1
Camino Producties;1;;;;1
Carrier Heating, Air-Conditioning, Refrigeration;1;;;;1
Certiq;;2;;;2
Chemetall;1;;;;1
Chr. Muller Touw;2;;;;2
Ciat Nederland BV;4;;;;4
Cimitec Infra & Milieu;1;;;;1
Classens Kozijnservice;1;;;;1
Clysan Inspectie & Service;2;;;;2
Coform;2;;;;2
Colt International;3;;;;3
Comb Baggerbedrijf De Boer;6;;;;6
Compair airconditionering;1;;;;1
Compeer;1;;;2;2
Concordia Theater & Zalen;1;;;;1
Condair (vh Geveke Werktuigbouw, Klimaattechniek);2;;;;2
Coneco Building Automation;2;;;;2
Connection Systems;;;;1;1
Conrad Electronic;2;;;;2
Constructor Dexion Holland;1;;;;1
Corton Constructiebedrijf;1;;;;1
Couwenberg Noodverlichting;1;;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;2;;;3;3
CSC Ceelen Sport Constructies;1;;;;1
CSC Installatie b.v.;6;;;;6
CSO Adviesbureau voor Milieu onderzoek;3;;;1;3
Cumulus Nederland  BV;1;;;;1
Cuppens & Zn Interieurmakers;6;;;1;6
Cuprohaag Lichttechniek;1;;;;1
Cybercon;1;;;;1
D & M Holland;1;;;;1
D&F Techniek B.V.;2;;;;2
Daallin B.V.;2;;;;2
