Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;3- uitbesteden
2useIT The Internet Academy;1;;;;;1
7Am;1;;;;;1
ABT Repro;;1;;;;1
ACTing People;;;1;;;1
Adriaan van den Heuvel makelaars en adviseurs;;;1;;;1
Adviesbureau Het Betere Cont(r)act;;;2;;;2
Agel Adviseurs;;;1;;;1
Alexander Hotel;2;;;;;2
Altuition;;;3;;;3
Anoniem;;;5;;;5
Antea (vh Oranjewoud, Save);;;1;;;1
APPM Management Consultants;;1;;;;1
Arcadis (incl. Prc./Bouwcentrum, Alkyon);;;1;;;1
Architectuurstudio Herman Hertzberger;;;1;;;1
Ardis Management Development;;;1;;;1
Argos adviesonderzoek, advies en coaching;;;1;;;1
Arkiva Horeca (Het Wapen van Rijsenburg);1;;;;;1
Arnicon;;1;1;;;1
Asp4All Hosting;;;6;;;6
Atos;3;;4;;;4
Avensus Nederland;;;1;;;1
Balance2 - Texts and Translations;1;;;;;1
Balans & Impuls;;;2;;;2
BALANSYS B.V.;1;;;;;1
BBN Adviseurs;;;;;2;2
BCM Consultancy;;;2;;;2
BDO Accountants & Belastingadviseurs;2;;;;;2
Becis;;;2;;;2
Bentley Systems;;;4;;;4
Bergman Bakkerij;1;;;;;1
Bernheze Makelaars & Adviseurs;;;1;;;1
BERT STADMAN MAKELAARDIJ O.G.;;;1;;;1
Blauw Research;;;2;;;2
Bluelink;1;;;;;1
Boek & Offermans Makelaardij;;;2;;;2
Bogaard & Roenhorst Amsterdam;;;1;;;1
Bugelhajema Adviseurs;;;1;;;1
Bureau G.I.T;1;;;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;;2;1;;2
Capgemini;2;;6;;;6
CapitalP;;;1;;;1
Carthago ICT;;;2;;;2
