objectid;doel;jaarbouw;jaarsloop;complexid;functie;bron;bijzonderheden;categoriebouwcomplex;jaarbouwonzekerheid;jaarslooponzekerheid;categoriegebruik;typeactiviteit;naam;oprichter;jaarstart;jaarstartonzekerheid;jaareinde;jaareindeonzekerheid;geo_shape;geo_point_2d
580;;;;636;;Melssen 2003, 23, perceel 21 in 1700;leerlooierij;AmbachtIndustrie;;;AmbachtIndustrie;Leerlooierij;?;?;1662;0;1662-01-01;0;"{""coordinates"": [5.4824198940116124, 51.4364236398016], ""type"": ""Point""}";51.4364236398016, 5.4824198940116124
581;;;;637;;Kadasterkaart 1832;leerlooierij;AmbachtIndustrie;;;AmbachtIndustrie;Leerlooierij;?;?;1832;0;1832-01-01;0;"{""coordinates"": [5.474498383179349, 51.437859049264524], ""type"": ""Point""}";51.437859049264524, 5.474498383179349
583;;;;639;;RHCE/SR;leerlooierij;AmbachtIndustrie;;;AmbachtIndustrie;Leerlooierij;H van Vlokhoven;;1858;0;;0;"{""coordinates"": [5.447092051701829, 51.42039340186608], ""type"": ""Point""}";51.42039340186608, 5.447092051701829
587;;;;643;;RHCE/SR;leerlooierij/leertouwerij;AmbachtIndustrie;;;AmbachtIndustrie;Leerlooierij;W E Hoffmann;;1889;0;;0;"{""coordinates"": [5.475448692300258, 51.438424619064016], ""type"": ""Point""}";51.438424619064016, 5.475448692300258
588;;;;644;;Oorschot, v 122;luciferfabriek;AmbachtIndustrie;;;AmbachtIndustrie;Houtindustrie;Mennen en Keunen;Mennen, C H F, Keunen, E;1870;0;1907-01-01;0;"{""coordinates"": [5.475991081880265, 51.436459882068604], ""type"": ""Point""}";51.436459882068604, 5.475991081880265
594;;;;650;;RHCE/SR;machinefabriek;AmbachtIndustrie;;;AmbachtIndustrie;Metaalnijverheid;J Mandigers;;1920;0;1934-01-01;0;"{""coordinates"": [5.487854639624665, 51.435744917661616], ""type"": ""Point""}";51.435744917661616, 5.487854639624665
597;;;;654;;RHCE/SR;machinefabriek;AmbachtIndustrie;;;AmbachtIndustrie;Metaalnijverheid;Stoomketelfabriek  C E Schröder en Zonen;Schröder,C E;1921;0;;0;"{""coordinates"": [5.486476651065069, 51.43695058318154], ""type"": ""Point""}";51.43695058318154, 5.486476651065069
598;;;;655;;RHCE/SR;machinefabriek;AmbachtIndustrie;;;AmbachtIndustrie;Metaalnijverheid;Landbouwmachinefabriek P J van Beek & Zn;Beek, P J;1920;0;;0;"{""coordinates"": [5.474209165416947, 51.43703230786265], ""type"": ""Point""}";51.43703230786265, 5.474209165416947
601;;;;659;;Arts 1994, 140;mandenmaker;AmbachtIndustrie;;;AmbachtIndustrie;Overige nijverheid;;?;1619;0;1619-01-01;0;"{""coordinates"": [5.478945881606212, 51.43957246539506], ""type"": ""Point""}";51.43957246539506, 5.478945881606212
602;;;;660;;Arts 1994, 140;mandenmaker;AmbachtIndustrie;;;AmbachtIndustrie;Overige nijverheid;;?;1788;0;1788-01-01;0;"{""coordinates"": [5.478945881606212, 51.43957246539506], ""type"": ""Point""}";51.43957246539506, 5.478945881606212
