Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;;;;;;2;1;;2
123kamerplanten;;;;;;;1;;;1
2D3D - Bureau Voor 2- en 3-Dimensionale Vormgeving;;;;1;;;;;;1
3Hamy;;;;1;;;;;;1
A Lab Stichting;1;;;;;;;;;1
A. van der Linden Wassen en Stomen;;;1;;;;;1;;1
Absoluta Food and Facilities;1;;;;;;;;;1
Ad Hosman Bloemsierkunst;;;;;;;1;;;1
Adiform;;;;;;;2;;;2
Administratieve oplossingen;;;;;;;;1;;1
AED Solutions;;1;;;;;;;;1
Afterpay;1;;;;;;;;;1
Aiwos;;;;;;;;1;;1
Ajax Chubb Varel;;2;;;;;;;;2
Albyco;;;;;1;;;;;1
Algemene Vereniging Schoolleiders;;;;;1;;;;;1
Alice Overmeer Scheepsarcheologie;;;;;1;;;;;1
Alltech / Applied Science;;;;;;;;1;;1
Aloys Roemaat Transport;;;;1;;;;;;1
Amarantha Bloemsierkunst;;;;;;;1;;;1
Amfors Groep (incl. Mailfors, Detafors, Carefors);;;;2;;;;;;2
Amilco Benelux;1;;;;;;;1;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;2;;;1;;2
Antonides;;;;;;;;1;;1
Aon Nederland;;;;;;;;1;;1
A-One Spoedkoeriers;;;;1;;;;;;1
Apples n More;;;;;;;;1;;1
Architectenbureau Cepezed;;;;;;;1;;;1
Art Handling Services b.v.;;;;;;;1;;;1
Arval Bnp Paribas Group;1;;;;;;;;;1
ASB-Security;;1;;;;;;;;1
Ascom;;1;;;;;;;;1
Asito;;;5;;;4;;;;5
Atelier NL;;;;;;;1;;;1
Atelier van Zijderveld;;;;;;;1;;;1
ATIR Schoonmaakstrategen;;;1;;;;;;;1
Atos;1;;;;;;;;;1
Avex;;;;;;;;2;;2
Bakker Boogers;1;;;;;;;;;1
Balance2 - Texts and Translations;;;;;1;;;;;1
Banketbakkerij Prins;1;;;;;;;;;1
Banketbakkerij Theo Blom;1;;;;;;;;;1
Barako;;;;;;;1;;;1
Bart van Overbeeke Fotografie;;;;;;;;1;;1
Bart van Vlijmen Fotografie;;;;;1;;;;;1
Bas - Business Art Service;;;;;;;1;;;1
Bax-Shop.nl;;;;;;;;1;;1
BCL Archaeologcial Support;;;;1;;;;;;1
BeauVin wijnhandel;1;;;;;;;;;1
Bedrijfskleding van der Burght;;;;;;;;1;;1
Bestdeal Factors (incl. Solid Factors);;;2;;;;;;;2
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;;;;;;;1;;1
Bloemsierkunst De Klerk;;;;;;;1;;;1
Bol.Com;1;;;;;;;1;;1
Bo-mij Beheer (incl. Bo-rent);;;;;;;;1;;1
Borgmans;;;;;;;1;;;1
Bos en Zn.J. Rywielgigant;1;1;;;;;;;;1
BPI Services;;1;;;;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;;;;;;1;;1
Break Out Events;1;;;;;;;;;1
Breur Beveiligingen, Ijzerhandel;;;;;;;;1;;1
Brievenbuswinkel;;;;;;;;1;;1
Bristol Coatings Holland;;;;;;;;1;;1
Broodje van Coot;1;;;;;;;;;1
Broodje van Martin;1;;;;;;;;;1
Brouwers Tours;;;;;1;;;;;1
Bulthuis Truck- en Traileronderdelen;;1;;;;;;;;1
Buro van Riel Schoonmaakbedrijf;;;1;;;;;;;1
Buwalda Multiservice;;;2;;;;;;;2
Buy It Direct;;;;;;;;1;;1
Cabin Crew;;;;;;;1;;;1
Cadre D'Or;;;;;;;;1;;1
Canon (incl. Océ Nederland);;;;1;1;;;1;;1
Card Vision;;;;1;1;;;1;;1
Carl Zeiss;;;;;;;;1;;1
Cartonnagefabriek Succes;;;;;;;;1;;1
Catec;;;;;;;;1;;1
Catering de Leest;2;;;;;;;;;2
CB Centraal Boekhuis (incl. Facturatie);;;;1;;;;;;1
CCV Services;;;;;;;;1;1;1
Centraal Bureau Genealogie;;;;7;;;;;;7
Central Point;;;;;;;;1;;1
Chemdry;;;2;;;;;;;2
Christiana van Lammeren;;;;;;;1;;;1
Claire Phan Tan Luu Papierrestaurat;;;;;;;;1;;1
Compacon & Partners;;;;;1;;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);4;;;;;;;1;;4
Conrad Electronic;;1;;;;;;1;;1
Coolblue - Pda Shops;;;;;;;;1;;1
Corim Dental Products;;;;;;;;1;;1
Creabea;;;;;;;;1;;1
Crockery;;;;;;;;1;;1
CSU Schoonmaak (vh. City Service);;;6;;;;1;;;6
Cuban Cultural Ventures;;;;;;;;1;;1
CWS Nederland;;;1;;;;;;;1
Cycloon Post en Fietskoeriers;;;;1;;;;;;1
Daphne Heemskerk;;;;1;;;;;;1
DB Audio Video Systemen;;;;;;;;1;;1
De Bazel;1;;;;;;;;;1
De Boog;;;;;;;1;;;1
De Braacken;1;;;;;;;;;1
De Kopijwinkel;;;;1;;;;;;1
De Kruyter Banket;1;;;;;;;;;1
De Marne Grafische Industrie;;;;;;;;1;;1
De Observant Stadscafé;1;;;;;;;;;1
De Pastinaeck;1;;;;;;;;;1
De Poort van Kleef Café-Restaurant;1;;;;;;;;;1
De Pudding/Saroma [Puddingfabriek];;;;;1;;;;;1
De Sleutelspecialist;;;;;;;;1;;1
De Talentmanagers;;;;;;;;1;;1
De Tuinkamer;1;;;;;;;;;1
De Vries Project Design;;;;;;;;1;;1
De Witte Vosch;1;;;;;;;;;1
DeLaMar Theater;1;;;;;;;;;1
DFS Dutch Flooring Solutions;;;;;;;2;;;2
Digital Revolution;;;;;;;;1;;1
Dik Trom Catering;1;;;;;;;;;1
Discountoffice.nl;1;;;;;;;1;;1
Dokkumer Vlaggen;;;;;1;;;;;1
Domino's Pizza;1;;;;;;;;;1
Dom-Nederland;1;;;;;;;;;1
Don Hofstee;;;;;;;1;;;1
