Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-personele exploitatie
4D;;;;2;;;;2
Alliance Francaise De La Haye;;;;1;;;;1
Andersson Elffers & Felix;;;;1;;;;1
Annelies Kraan & partners;;;;2;;;;2
Ardis Management Development;;;;2;;;;2
Argos adviesonderzoek, advies en coaching;;;;1;;;;1
Argus Etiketten;;;;;;;1;1
Athene Palace Grieks Restaurant;;1;;;;;;1
Ayers Rock Evenementencentrum;;;;;1;;;1
B+B Vakmedianet;;;;1;;;;1
Banketbakkerij Boheemen;;1;;;;;;1
Bastion Hotels;;;;;;;1;1
Berlage Brasserie;;1;;;;;;1
Bilderberg Hotels;;;;1;;;;1
Buiten Strandpaviljoen;;1;;;;;;1
C. Wagener;;;;1;;;;1
Capgemini;;;;1;;;;1
Carat Nederland;;;;;;1;;1
Centrum Quadraat;;;;1;;;;1
Christian Restaurant;;1;;;;;;1
Ciao! Ciao! Restaurant;;;;;1;;;1
Communicatie Support;;;;1;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;;;2;;;2
Conducto;;;;1;;;;1
Cooking & Booking;;1;;;;;;1
Cuisine Royale;;1;;;;;;1
D&D Daniels & Dekkers Schuldhulpverlening;;;;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;2;;;;2
De Byzantijn Bloembinderij;;1;;;;;;1
De Federatie;;;;1;;;;1
De Franse Stap Culinair;;1;;;;;;1
De Limes Nieuw Organiseren;;;;1;;;;1
De Poedtjak Indonesisch Restaurant;;1;;;;;;1
De Raaff Training en Advies;;;;1;;;;1
De Redactie (Automotive Publishing);;;;1;;;;1
Debatrix;;;;1;;;;1
Deluca Restaurant;;1;;;;;;1
Designthinkers;;;;1;;;;1
Disconsult (incl. Dior Opleidingen);;;;2;;;;2
Dream in Colours;;;;;1;;;1
Dudok (Horeca Exploitatie WWZ IV);;1;;;;;;1
Easy Template;;;;1;;;;1
EB Ellis Buis Tekst & Training;;;;1;;;;1
Ebbinge & Company;;;;1;;;;1
Entopic;;;;1;;;;1
Esstilo imagadvies;;;;1;1;;;1
Euromast;;1;;;;;;1
EYE Bar Restaurant;;1;;;;;;1
F. de Raat;;;;1;;;;1
Feel@home;;;;;;;1;1
Forsa Advies;;;;1;;;;1
Fuentes;;;;1;;;;1
GITP (incl. Pi Company);;;;1;;;;1
Golden Tulip;;;;;;;1;1
Gusto Mangia E Bevi;;1;;;;;;1
H.F. Borsboom Banketbakkerij;;1;;;;;;1
H.M.G. Dittmar Communicatie Training;;;;2;;;;2
Havana (Santé Horeca Beheer);;1;;;;;;1
Havanna;;;;;1;;;1
Het Kabinet Eten en Drinken;;1;;;;;;1
Hogeschool van Utrecht;;;;1;;;;1
Hollandse Hoogte;;;;1;;;;1
Hoogendijk Coaching en Opleiding;;;;1;;;;1
Hotel Des Indes Le Meridien, Lehwood;;;;;;;1;1
House of Lords;;1;;;;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;1;;;;;;1
ICM Holding;;;;1;;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;1;;;;1
Istana Indonesisch Restaurant;;1;;;;;;1
Kessels & Smit Learning Company;;;;2;;;;2
KLM;1;;;;;;;1
Koken Op Maat;;;;;1;;;1
KWD Sporthallen;;;;;1;;;1
La Cubanita;;1;;;;;;1
La Vina Restaurant;;1;;;;;;1
Lagerweij & Partners;;;;1;;;;1
Le Connaisseur Grand Restaurant;;1;;;;;;1
Logeion Vereniging Voor Communicatie;;;;1;;1;;1
LOI Leidse Onderwijsinstelling;;;;1;;;;1
Lusso;;1;;;;;;1
M. Albertina;;;;;;;1;1
MACentertainment;;;;;1;;;1
Mandarin Palace;;1;;;;;;1
Maritiem Museum Rotterdam;;1;;;;;;1
Media Academie;;;;1;;;;1
Mercure Hotels;;;;;;;1;1
MOA Markt Onderzoek Associatie;;;;1;;1;;1
Momfer De Mol Cafe;;1;;;;;;1
MSI Communication;;;;1;;;;1
MWG Stichting Media;;;;;;1;;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;1;;;;1
Nevi/Neho;;;;2;;1;;2
Nielsen Media Research;;;;;;1;;1
Nieuwspoort;;1;;;;;;1
NIMA - Nederlands Instituut voor Marketing;;;;1;;;;1
NIOW Taaltrainingen, Vaardigheidstrainingen, Advies & Opleiding;;;;1;;;;1
NL-Jug;;;;;;1;;1
Novotel;;;;;;;1;1
NS - Spoorwegen Nederlandse;;;;;;;2;2
NSOB Nederlandse School Voor Openbaar Bestuur;;;;2;;;;2
Oker Restaurant;;1;;;;;;1
P.H. Schouten Bestuursadviseurs;;;;1;;;;1
Pantem / Leopold Cafe-Restaurant;;;;;1;;;1
PBLQ (HEC, ROI, Zenc);;;;1;;1;;1
Peltzer voor advies coaching en trai;;;;1;;;;1
Protinus It;1;;;;;;;1
Public Partners;;;;1;;;;1
Raatwerk;1;;;;;;;1
Restaurant Nina;;;;;1;;;1
Rhodos, Grieks Restaurant;;1;;;;;;1
Ropeni (incl. Schlemmer);;1;;;1;;;1
Scheidegger Opleidingen;;;;1;;;;1
