GEMEENTE;CBS_GEMEENTE_CODE;STEMBUREAU_OF_AFGIFTEPUNT;NUMMER_STEMBUREAU_OF_AFGIFTEP;NAAM_STEMBUREAU_OF_AFGIFTEPUNT;GEBRUIKERSDOEL_HET_GEBOUW;WEBSITE_LOCATIE;WIJKNAAM;CBS_WIJKNUMMER;BUURTNAAM;CBS_BUURTNUMMER;BAG_REFERENTIENUMMER;STRAATNAAM;HUISNUMMER;HUISLETTER;HUISNUMMERTOEVOEGING;POSTCODE;PLAATS;EXTRA_ADRESAANDUIDING;X;Y;LONGITUDE;LATITUDE;OPENINGSTIJDEN_14_03_2022;OPENINGSTIJDEN_15_03_2022;OPENINGSTIJDEN_16_03_2022;MINDERVALIDEN_TOEGANKELIJK;AKOESTIEK;AUDITIEVE_HULPMIDDELEN;VISUELE_HULPMIDDELEN;MINDERVALIDE_TOILET_AANW;KIESKRING_ID;HOOFDSTEMBUREAU;TELLOCATIE;CONTACTGEGEVENS;BESCHIKBAARHEID;VERKIEZINGEN;ID1
Vlaardingen;GM0622;Stembureau;1;Stadskantoor;Kantoor;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.039.312;Westnieuwland;6;;;3131VX;Vlaardingen;;83.023,986000000000;436.032,544000000000;4,341207380222;51,908131955205;07:30 tot 21:00 uur;07:30 tot 21:00 uur;07:30 tot 21:00 uur;Ja;;;ja;ja;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;3 dagen;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;2;Stadhuis Burgerzaal;Stadhuis;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.024.769;Mark;11;;;3131CV;Vlaardingen;;83.054,838840299000;436.064,819929671000;4,341649000000;51,908426000000;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;3;Stadsgehoorzaal;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Oostwijk;GM062204;Oostbuurt;BU06220402;622.200.000.041.771;Schiedamseweg;51;;;3134BB;Vlaardingen;;83.385,000000000000;436.176,000000000000;4,346430400000;51,909467800000;07:30 tot 21:00 uur;07:30 tot 21:00 uur;07:30 tot 21:00 uur;Ja;;;ja;ja;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;3 dagen;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;4;Kerkgebouw de Fontein;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.039.792;Groen van Prinstererstraat;65;A;;3131GD;Vlaardingen;;82.934,366637980700;436.640,269257192000;4,339778000000;51,913582000000;;;07:30 tot 21:00 uur;Ja;;;ja;ja;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;5;Rehobothkerk;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Indische Buurt;BU06220101;622.200.000.038.630;Billitonlaan;104;;;3131LL;Vlaardingen;;82.301,540934180200;436.568,312267837000;4,330597000000;51,912853000000;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;6;CBS Het Visnet;Onderwijsfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Vettenoordse Polder Oost;BU06220102;622.200.000.031.509;Stationsstraat;117;;;3131PS;Vlaardingen;;83.119,279000000000;435.581,012000000000;4,342686295311;51,904086328769;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;7;Wooncentrum De Bolder;Sportfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Vettenoordse Polder;GM062203;Maasboulevard;BU06220307;622.200.000.008.289;Columbusstraat;5;;;3133BA;Vlaardingen;;83.447,666000000000;435.184,859000000000;4,347539741878;51,900568387547;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;8;Johannes Calvijnschool;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Westwijk;GM062202;Wetering;BU06220203;622.200.000.039.272;Claudius Civilislaan;30;;;3132JB;Vlaardingen;;81.835,838070985600;436.467,393148081000;4,323851000000;51,911885000000;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;9;OBS De Wereldwijzer;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Westwijk;GM062202;Hoogkamer;BU06220201;622.200.000.038.243;Erasmusplein;1;;;3132EL;Vlaardingen;;81.326,139000000000;436.299,852000000000;4,316480177314;51,910312068951;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
Vlaardingen;GM0622;Stembureau;10;Wijkcentrum Westÿ;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Westwijk;GM062202;Zuidbuurt;BU06220202;622.200.000.026.276;Professor Teldersstraat;10;;;3132AZ;Vlaardingen;;81.534,728000000000;435.991,565000000000;4,319576957378;51,907569071383;;;07:30 tot 21:00 uur;Ja;;;ja;nee;14;Dordrecht;ja;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;1 dag;Gemeenteraadsverkiezingen;NLODSGM0518stembureaus20220316009
