X,Y,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.75023112101106,51.5939478371968,306,4815NC003.07,Stadion toren 3,Stadionstraat,9,,,4815 NC,Breda,BUI - Voetbal,
4.85539983436973,51.557787451681,307,4854NN002.01,Clubhuis Schietvereniging Sint Hubertus,Blookweg,2,,,4854 NN,Bavel,BUI - Schieten,
4.758098569883,51.5639058360067,308,4837BW004.08,Tribune Atletiekvereniging Sprint,Dr. Schaepmanlaan,4,,,4837BW,Breda,BUI - Atletiek,
4.75407727680129,51.5193411170774,309,4836MC020.01,Toiletgebouw Galderse meren,Moerstraat,16,,,4836 ME,Breda,BUI - Zwemmen,
4.8103809384076,51.5861731265025,310,4817GN004.03,Slaghal Honk- en Softbal Club Jeka,Langveld,4,,,4817 GN,Breda,BUI - Honkbal,
4.75281585761103,51.5725365317268,311,4812GT110.00,Speeltuingebouw Heuvel,Heuvelbrink,110,,,4812 GT,Breda,BUI - Overig,
4.7398971500444,51.6033994202598,312,4824PN015B.01,Kleedkamers Voetbalvereniging The Gunners,Wikketuin,15,B,,4824 PN,Breda,BUI - Voetbal,
4.80314063892249,51.5598128029097,313,4834SN105.07,Machine- en kleedruimte,Wolfslaardreef,105,,,4834 SN,Breda,BUI - Zwemmen,
4.78233372476288,51.551505070877,314,4836AC051.4,Modelspoorbaan clubhuis,Reeptiend,23,,,4836 AT,Breda,BUI - Overig,
4.70867161316861,51.6055148695369,315,4841EG037.51,Clubhuis Tennisvereniging Prinsenbeek,Heikantsestraat,37,A,,4841 EG,Prinsenbeek,BUI - Tennis,
4.70663306395435,51.6010205190779,316,4841NA015.00,Sporthal de Heisprong,Heisprong,15,,,4841 NA,Prinsenbeek,BIN - Sporthal,
4.8264457157538,51.5576090084832,317,4854PN005.05,Clubhuis Tennisvereniging Bavel,Bavelse Hei,5,,,4854 PN,Bavel,BUI - Tennis,
4.79781181649462,51.5564836198157,318,4851AT004.56,Clubhuis Ulvenhoutse Tennisvereniging,Jeugdland,4,,,4851 AT,Ulvenhout,BUI - Tennis,
