Nummer;Totaal van;Jaar;Maand;Type aanvraag;Beslissing;Nationaliteit;Aantal beslissingen
1;Jaar;2017;;;;;42100
2;Jaar, Maand;2017;1;;;;3870
2;Jaar, Maand;2017;2;;;;4470
2;Jaar, Maand;2017;3;;;;4760
2;Jaar, Maand;2017;4;;;;3920
2;Jaar, Maand;2017;5;;;;4080
2;Jaar, Maand;2017;6;;;;3500
2;Jaar, Maand;2017;7;;;;2740
2;Jaar, Maand;2017;8;;;;3040
2;Jaar, Maand;2017;9;;;;3110
2;Jaar, Maand;2017;10;;;;3040
2;Jaar, Maand;2017;11;;;;3010
2;Jaar, Maand;2017;12;;;;2550
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - 1e aanvraag;;;2010
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - hasa;;;140
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - Hervestiging;;;100
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - Nareis;;;1300
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - Relocatie;;;120
3;Jaar, Maand, Type aanvraag;2017;1;Asiel - zij-instroom;;;200
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - 1e aanvraag;;;1830
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - hasa;;;140
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - Hervestiging;;;120
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - Nareis;;;2120
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - Relocatie;;;90
3;Jaar, Maand, Type aanvraag;2017;2;Asiel - zij-instroom;;;170
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - 1e aanvraag;;;2030
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - hasa;;;190
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - Hervestiging;;;180
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - Nareis;;;1910
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - Relocatie;;;200
3;Jaar, Maand, Type aanvraag;2017;3;Asiel - zij-instroom;;;250
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - 1e aanvraag;;;1540
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - hasa;;;170
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - Hervestiging;;;220
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - Nareis;;;1690
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - Relocatie;;;140
3;Jaar, Maand, Type aanvraag;2017;4;Asiel - zij-instroom;;;160
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - 1e aanvraag;;;1820
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - hasa;;;180
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - Hervestiging;;;250
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - Nareis;;;1480
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - Relocatie;;;140
3;Jaar, Maand, Type aanvraag;2017;5;Asiel - zij-instroom;;;220
3;Jaar, Maand, Type aanvraag;2017;6;Asiel - 1e aanvraag;;;1730
3;Jaar, Maand, Type aanvraag;2017;6;Asiel - hasa;;;200
3;Jaar, Maand, Type aanvraag;2017;6;Asiel - Hervestiging;;;230
3;Jaar, Maand, Type aanvraag;2017;6;Asiel - Nareis;;;940
