Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 705;;;;;;1;;;;1
Anoniem 706;;;;;;;1;;;1
Anoniem 707;;;1;;;;;;;1
Anoniem 709;;;;1;;;;;;1
Anoniem 713;;;;2;1;;;;;2
Anoniem 715;;;;;;1;;;;1
Anoniem 717;;;;1;;;;;;1
Anoniem 72;;;;;;1;;;;1
Anoniem 723;;;;;;1;;;;1
Anoniem 725;;;;;;1;;;;1
Anoniem 728;;;;;;1;;;;1
Anoniem 732;;;;;;1;;;;1
Anoniem 734;;;;;;;1;;;1
Anoniem 739;;;;;1;;;;;1
Anoniem 740;;;;;1;;;;;1
Anoniem 743;;;;;;;1;;;1
Anoniem 746;;;;;;1;;;;1
Anoniem 748;;;;1;;;;;;1
Anoniem 751;;;;1;;1;;;;1
Anoniem 753;;;;;1;;;;;1
Anoniem 76;;;;;;1;;;;1
Anoniem 762;;;;;;1;;;;1
Anoniem 767;;;;;;1;;;;1
Anoniem 768;;;1;;;;;;;1
Anoniem 773;;;;;;1;;;;1
Anoniem 777;;;;;;1;;;;1
Anoniem 78;;;;;1;;;;;1
Anoniem 781;;;;;;1;;;;1
Anoniem 782;;;;;;1;;;;1
Anoniem 783;;;;;;1;;;;1
Anoniem 785;;;;;;1;;;;1
Anoniem 79;;;;;;1;;;;1
Anoniem 790;;;;;;;1;;;1
Anoniem 796;;;;;;;1;;;1
Anoniem 798;;;;;;;1;;;1
Anoniem 799;;;;;1;;;;;1
Anoniem 8;;;;;;1;;;;1
Anoniem 80;;;;;;1;;;;1
Anoniem 800;;;;1;;;;;;1
Anoniem 801;;;;1;;;;;;1
Anoniem 803;;;;;;1;;;;1
Anoniem 805;;;;;;;1;;;1
Anoniem 811;;;;;;1;;;;1
Anoniem 812;;;;;;1;;;;1
Anoniem 813;;;;;;;1;;;1
Anoniem 815;;;;1;;;;;;1
Anoniem 816;;;;;;1;;;;1
Anoniem 817;;;;1;;;;;;1
Anoniem 820;;;;;;;1;;;1
Anoniem 825;;;;;;1;;;;1
Anoniem 831;;;1;;;;;;;1
Anoniem 833;;;;1;;;;;;1
Anoniem 834;;;;;;;1;;;1
Anoniem 835;;;;;;;1;;;1
Anoniem 838;;;;1;;;;;;1
Anoniem 84;;;;;;;1;;;1
Anoniem 840;;;;;;1;;;;1
Anoniem 841;;;;;1;;;;;1
Anoniem 844;;;;1;2;1;;;;2
Anoniem 847;;;;;;;1;;;1
Anoniem 849;;;;;;1;;;;1
Anoniem 850;;;;;;1;;;;1
Anoniem 852;;;;;1;;;;;1
Anoniem 853;;;;;;;1;;;1
Anoniem 856;;;;;;3;;;;3
Anoniem 861;;;;1;;1;;;;1
Anoniem 863;;;;1;;;;;;1
Anoniem 865;;;;;;;1;;;1
Anoniem 868;;;;;;1;;;;1
Anoniem 869;;;;;;;1;;;1
Anoniem 87;;;;;;1;;;;1
Anoniem 870;;;;;2;;;;;2
Anoniem 871;;;;;;1;;;;1
Anoniem 872;1;;;;;;3;;;3
Anoniem 874;;;;;;1;;;;1
Anoniem 876;;;;;;1;;;;1
Anoniem 878;;;;;;;1;;;1
Anoniem 879;;;;;;2;;;;2
Anoniem 884;;;;;;1;;;;1
Anoniem 892;;;;;1;;;;;1
Anoniem 896;;;;;1;;;;;1
Anoniem 897;;;;;;1;;;;1
Anoniem 901;;;;;;1;;;;1
Anoniem 904;;;;1;;;;;;1
Anoniem 905;;;;;;;1;;;1
Anoniem 906;;;;;;1;;;;1
Anoniem 907;1;;;;;;;;;1
Anoniem 913;;;;1;;;;;;1
Anoniem 916;;;;;;1;;;;1
Anoniem 918;;;;1;;;;;;1
Anoniem 919;;;;;;1;;;;1
Anoniem 92;;;;;;1;;;;1
Anoniem 920;;;;;;1;;;;1
Anoniem 921;;;;;;1;;;;1
Anoniem 922;;;;;1;;;;;1
Anoniem 923;;;;;;;1;;;1
Anoniem 930;;;;;;1;;;;1
Anoniem 943;;;;2;;;;;;2
Anoniem 945;;;;;;1;;;;1
Anoniem 947;;;;;1;;;;;1
Anoniem 948;;;;;1;;;;;1
Anoniem 951;;;;;1;;;;;1
Anoniem 954;;;1;;;1;1;;;2
Anoniem 955;;;;;;1;;;;1
Anoniem 958;;;;;;;1;;;1
Anoniem 963;;;;;;1;;;;1
Anoniem 965;;;;;;1;1;;;1
Anoniem 966;;;;;;;1;;;1
Anoniem 975;;;;;;1;;;;1
Anoniem 976;;;;;;2;;;;2
Anoniem 977;;;1;;;;;;;1
Anoniem 978;;;;1;;;;;;1
Anoniem 979;;;;;;1;;;;1
Anoniem 98;;;;;;;1;;;1
Anoniem 983;;;;;;;1;;;1
Anoniem 984;;;;;;1;;;;1
Anoniem 988;;;;;;1;;;;1
Anoniem 991;;;;;;;1;;;1
Antiekkomtbijuthuis.nl;;;;1;;;;;;1
Antonides;;;1;;;;;;;1
ANWB-Rijopleiding;;;;;;3;;;;3
AOB Compaz B.V.;;;;;;1;;;;1
AOG Contractonderwijs B.V.;;;;;;2;;;;2
APCOA Parking Nederland B.V.;;;;;;;;;1;1
Apotheek A15 B.V.;;;1;;;;;;;1
Apotheekhoudende Huisartsenpraktijk Marken;;;;;1;;;;;1
APP A Perfect Promotion;;;;;;;1;;;1
Applus RTD Certification;;;;;;1;;;;1
APPLY Opleidingen en Advies B.V.;;;1;;;1;;;;1
Aqua Light Nederland B.V.;;;;;;;1;;;1
ARA Groep B.V.;;;;;1;;;;;1
ARBO Opleidingscentrum B.V.;;;1;;;;;;;1
Arbode B.V.;;;;;;1;;;;1
Arbody B.V.;;;;;;1;;;;1
ArboNed B.V.;;;;;4;1;;;;4
Archie Europe B.V.;;;;;;1;;;;1
Arendje Verhuur B.V.;;;;;;1;;;;1
Arko Sports Media B.V.;;;1;;;;;;;1
Art Print Design;;;;;1;;;;;1
ArtEZ Hogeschool voor de kunsten;;;;;;1;;;;1
Artihove Regina B.V.;;;;1;;;1;;;1
Art-Quake;;;;1;;;;;;1
Artra B.V.;;;1;;;;;;;1
Ascent Safety B.V.;;;;;;1;;;;1
At Computing B.V.;;;1;;;2;;;;2
Atlantis Arnhem B.V.;;;;1;;;;;;1
Atletiek Vereniging Sprint;;;1;;;;;;;1
Atletiekvereniging Attila;;;1;;;;;;;1
ATO-Bedrijfstrainingen B.V.;;;1;;;1;;;;1
Attractie Verhuur Moonen B.V.;;;;1;;1;1;;;1
Auberge De Zwaan Oirschot B.V.;;;;;;;1;;;1
Auto- en Motor Hobbyclub Mineurshallen;;;;1;;;1;;;1
Auto- en Motorrijschool 'Actief';;;1;;;;;;;1
Auto Wessel B.V.;;;;;;1;;;;1
Automotive Publishing B.V.;;;;;;1;;;;1
Autorecycling A. Kossen;;;;;;1;;;;1
Autorijschool Bruinsma B.V.;;;;;;1;;;;1
Autorijschool De Weerd B.V.;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;;2;;;;2
Avans Hogeschool MB B.V.;;;;;;2;;;;2
Avéro Achmea;;;;;;;1;;;1
Avetica B.V.;;;;;;1;;;;1
Avex B.V.;;;;;;2;;;;2
Aviation War Books;;;;;;1;;;;1
AVT Benelux B.V.;;;;;1;;;;;1
AWVN (Algemene Werkg.ver. Nederland);;;;;;1;;;;1
Axiell ALM Netherlands B.V.;;;;1;;;;;;1
Axitraxi B.V.;1;;;;;;1;;;1
Ayers Rock Island B.V.;;;;1;;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;;;;1;;;1
Azerty;;;;;;;1;;;1
Aziatisch restaurant 'Tong Fong';;;;;;;1;;;1
B&G Catering Service;;;;;;;1;;;1
B. Braun Medical B.V.;;;1;;;;;;;1
B.C. van den Adel Beheer B.V.;;;;;;;1;;;1
B.G.L. & Partners B.V.;;;;;;3;;;;3
B.V. Algemeen Nederlands Persbureau ANP;;;;;;1;;;;1
B.V. Auberge de Rousch;;;;1;;;;;;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;;;;;1;;;1
B.V. Ned. Instrumenten Compagnie 'Nedinsco';;;2;;;;;;;2
B.V. Princeville Exploitatie;;;;;;1;;;;1
B.V. Sport;;;1;;;;;;;1
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
Baars Horeca B.V.;;;;;;;1;;;1
Babel;;;;;;1;;;;1
Babel B.V.;;;;;;2;;;;2
Baco B.V.;;;;1;;;;;;1
Bacoadviesbureau;;;1;;;;;;;1
Badhotel Scheveningen V.O.F.;;;;;;1;1;;;1
BAKER'S SONS B.V.;;;;;;;1;;;1
Bakker Computer Opleidingen;;;;;;1;;;;1
Bakker Geluidsverhuur;;;;1;;;;;;1
Bakkerij Extra;;;;1;;;;;;1
Bakkerij P. van Oers V.O.F.;;;;;;1;;;;1
Bakx & Wagenaar B.V.;;;2;;;;;;;2
Balans & Impuls B.V.;;;;;;2;;;;2
Bally's eten & drinken;;;;1;;;;;;1
Bandzoeker.nl;;;;;;;1;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij De Jong;;;;;;;1;;;1
Banketbakkerij Gosselaar;;;;;;;1;;;1
Banketbakkerij-Tearoom H. van Haaren;;;;;;1;;;;1
Bar Restaurant Pavlov B.V.;;;;;;;1;;;1
Barlucca;;;;1;;;;;;1
Basaal;;;;;;;1;;;1
Bastion Hotel Breda B.V.;;;;;;;1;;;1
Bastion Hotel Rijswijk B.V.;;;;;;;;;1;1
Baston Service B.V.;;;;1;;;;;;1
Bax Juwelier Goudsmid B.V.;;;;;;;2;;;2
Bax Verkeersscholen B.V.;;;;;1;1;;;;1
Bax-shop.nl B.V.;;;;;1;1;;;;1
BBKwadraat (BB²);;;;;;1;;;;1
BCD Travel Nederland B.V.;;;2;;;4;1;;9;9
Beach Club Royal;;;;;;;1;;;1
Beachclub De Karavaan;;;;;;;1;;;1
Beachclub Leef B.V.;;;;1;;;;;;1
Bedrijven Contactdagen Drenthe B.V.;;;;;1;;;;;1
Bedrijvenvereniging Zuidwesthoek;;;;1;;;;;;1
Bedrukt;;;;1;;;;;;1
Beeuwkes Holding B.V.;;;;;;1;;;;1
BeGlobal Relatiegeschenken;;;;1;;;;;;1
Beheerder Brandmeld B.V.;;;;;;1;;;;1
Beker- en Biljarthuis Lambregts V.O.F.;;;;1;;;1;;;1
Belgisch Biercafé Olivier B.V.;;;;1;;;1;;;1
Beltraco Benelux B.V.;;;;;1;;;;;1
Belvedair;;;;1;;;;;;1
Ben de Wild Productions B.V.;;;;;1;;;;;1
Benefit Inkoopadviesgroep B.V.;;;2;;;;;;;2
Bentley Systems Netherlands B.V.;;;;;;1;;;;1
Ber.ver. Advis. Belonings- en Format.managem.;;;;;1;;;;;1
Berends Bloemsierkunst;;;;1;;;;;;1
Berenschot B.V.;;;;;;3;;;;3
Berenschot Groep B.V.;;;;;4;1;;;;4
Berg & Dal B.V.;;;;;;;1;;;1
Bergh Delisse Events;;;;;;;1;;;1
Berghauser Pont Academy B.V.;;;;;;1;;;;1
Berghauser Pont B.V.;;;;;;;1;;;1
Berlitz Schools of Languages B.V.;;;;;;1;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;1;;2;1;;;;2
Best Alert B.V.;;;;;;1;;;;1
BestSales promotions;;;;;1;;1;;;2
Bestuursacademie;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;;2
'Betonvereniging';;;;;;1;;;;1
Bever B.V.;;;;1;;1;;;;1
Beweeg Mee B.V.;;;;;;1;;;;1
Biblionet Drenthe;;;;;1;;;;;1
BID B.V.;;;;;;1;;;;1
Bie d'r Joep;;;;;;;1;;;1
Bierbrouwerij De Koningshoeven B.V.;1;;;;;;1;;;1
Biesenhof Horeca;;;;1;;;;;;1
Bij Floor;;;;1;;;;;;1
Bijvang Consultancy;;;;;;3;;;;3
Bikeflex B.V.;;;1;;;;;;;1
BIKE-ZONE;;;;;;1;;;;1
Bilderberg Hotel De Buunderkamp;;;;1;;;;;;1
Bilderberg Hotel De Keizerskroon;;;;2;;;;;;2
BioControl Systems B.V.;;;1;;;;;;;1
Bison Bowling;;;;;;;1;;;1
Bistro De Zoete Inval V.O.F.;;;;;;;1;;;1
Bistro Mer B.V.;;;;1;;;;;;1
Bitmove B.V.;;;;;2;;;;;2
Bizon Events B.V.;;;;;;;1;;;1
Bizzdesign;;;;;;3;;;;3
Bizzdesign Academy B.V.;;;;;;2;;;;2
Björn & Marieke's Bloembinderij;;;;1;;;;;;1
BK Ingenieurs B.V.;;;;;;1;;;;1
BKV Artsen Intermediair B.V.;;;3;;;;;;;3
Blanchard International B.V.;;;;;;5;;;;5
Bloem- en Tuincentrum Van der Maat B.V.;;;;1;;;1;;;1
Bloembinderij Bert Lubberman;;;;1;;;;;;1
Bloembinderij De Kelk;;;;1;;;;;;1
Bloembinderij de Vuurdoorn;;;;1;;;;;;1
Bloembinderij Irene;;;;1;;;;;;1
Bloembinderij Quino Damen V.O.F.;;;;1;;;;;;1
Bloemenboutique Nicole V.O.F.;;;;1;;;1;;;1
Bloemenhuis Duivenvoorden;;;;1;;;;;;1
Bloemenhuis Terweijden V.O.F.;1;;;;;;;;;1
Bloemenhuis van Brunschot;;;;1;;;;;;1
Bloemenkas Eindhoven;;;;1;;;;;;1
Bloemenmeisje.nl;;;;1;;;;;;1
Bloemisterij Gaal;;;;;;;1;;;1
Bloemisterij Labberton;;;;1;;;1;;;1
Bloemisterij Labberton B.V.;;;;1;;;;;;1
Bloemsierkunst Beimer;;;;1;;;;;;1
Bloemsierkunst BLOEM;;;;1;;;;;;1
Bloemsierkunst 'De Carlton' John Koene;;;;1;;;;;;1
Bloemsierkunst De Carlton Marjoke Koene;;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;;;;1;;;1;;;1
Bloemsierkunst De Roozelaar;;;;1;;;1;;;1
Bloemsierkunst Frank van Kemenade;;;;;;;1;;;1
Bloemsierkunst HE-AS;;;;1;;;;;;1
Bloemsierkunst Voorhorst V.O.F.;;;;1;;;;;;1
Blom Beroepsopleidingen B.V.;;;;;;2;;;;2
Blom Opleidingen;;;1;;1;2;;;;2
blooming hotel en conferentielandgoed B.V.;;;;;;;1;;;1
Blygold Laboratories B.V.;;;;;;1;;;;1
Blygold Nederland B.V.;;;;;;1;;;;1
BMC Software Distribution B.V.;;;;;;1;;;;1
Bob van der Heijden Sport B.V.;;;;1;;;;;;1
Bob's Bloemen en Zo;;;;;;;1;;;1
Body Brain Dynamics;;;;;1;;;;;1
Bodymind Opleidingen;;;;;;1;;;;1
Boeketcadeau.nl;;;;1;;;;;;1
Boels Party- en Evenementenverhuur;;;1;;;;;;;1
Boels Verhuur;;;1;;;;1;;;1
Boels Verhuur Ede;;;2;;;;;;;2
Boels Verhuur Oosterhout;;;;;;1;;;;1
Boer & Croon Management B.V.;;;;;2;;;;;2
Boerenwijsheden B.V.;;;;;;1;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;5;;;;5
Bohn Stafleu Van Loghum;;;;;1;;;;;1
Bojo B.V.;;;;;;1;1;;;1
bol.com B.V.;;;;1;;1;2;;;2
Bongo Belevenisbon;;;;1;;;;;;1
Bonnema Watersport B.V.;;;;;;;1;;;1
Bontekoe Produkties V.O.F.;;;;;1;;;;;1
Boom B.V.;;;1;;;;;;;1
Boom uitgevers Amsterdam B.V.;;;;;;1;;;;1
Boomerang Beach;;;;;;;1;;;1
Boon & Pool gelegenheidsdranken;;;;1;;;;;;1
Bora Bora B.V.;;;;1;;;;;;1
Bos Verhuur;;;;;;;1;;;1
Bosman Letters & Reklame Amsterdam;;;;;;1;;;;1
Boterhal;;;;;;1;1;;;1
Boulevard Utrecht B.V.;;;;;;;1;;;1
Bouman Seminars B.V.;;;;;;1;;;;1
Bouvigne Paradijs B.V.;;;;1;;;;;;1
Bouwmaat Nederland B.V.;;;;;;1;;;;1
Bouwradius Training & Advies B.V.;;;;;;1;;;;1
Bovenkade 1 B.V.;;;;1;;;;;;1
Bowling en Party Centrum Breda;;;;1;;1;1;;;1
Bowling- en Partycentrum Putter Eng;;;;;;;1;;;1
Bowling Kartcentrum Westfriesland B.V.;;;;;;;1;;;1
Bowling Westland B.V.;;;;1;;;;;;1
Bowling-Bistro Merlijn B.V.;;;;;;;1;;;1
Bowlingcentrum Schagen B.V.;;;;;;;1;;;1
Bowlo B.V.;;;;;;;1;;;1
Brab.-Zeeuwse Chr. Werkgeversvereniging;;;;1;;;;;;1
Brabanthallen;3;;;;;;;;;3
Brain Box Mediatraining B.V.;;;;;;2;;;;2
Brainport Development N.V.;;;;;2;;;;;2
Brand Commerce B.V.;;;;;;1;;;;1
Brandbeveiliging Van Erp;;;;;;1;;;;1
Brandpreventie Academy B.V.;;;;;;1;;;;1
BrandWay;;;;1;;;;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;;;;;2;;;;2
Brasserie De Bank;;;;1;;;;;;1
Brasserie de Berk B.V.;;;;;;;2;;;2
Brasserie de Cuyper;;;;;;;1;;;1
Brasserie de Rosmolen;;;;1;;;;;;1
Brasserie Het Nieuwe Jachthuis B.V.;;;;;;;1;;;1
Brasserie Kriebelz;;;;1;;;;;;1
Brasserie 't Zusje Uden B.V.;;;;;;;1;;;1
Bravo 24 B.V.;;;;;;;1;;;1
Break Free Fun Company;;;;;;1;1;;;1
Break-Out Evenementen;;;;;;;1;;;1
Breakout Rotterdam;;;;;;;1;;;1
Breda Print;;;;;;1;;;;1
Bredemeijer Group B.V.;;;;1;;;1;;;1
Breukhoven B.V.;;;;;;1;;;;1
Brezo-Elan B.V.;1;;;1;1;1;1;;;1
Brocacef B.V.;;;2;;;;;;;2
Broekhuis Twente B.V.;;;;;;1;;;;1
Broers;;;;;;;1;;;1
Bron Gascare B.V.;;;;;;1;;;;1
Brood & Banket Service B.V.;;;;1;;;;;;1
Brood- en Banketbakkerij L. Förster;;;;;;;1;;;1
Brood&Banket Service;;;;1;;;;;;1
Brooklyn Groningen B.V.;;;;;;1;;;;1
Brouwershuys Moorees B.V.;;;;;;1;1;;;1
Bruna Marsdijk B.V.;;;;;;;1;;;1
Bruseco B.V.;;;;;;1;;;;1
Brutaal Communicatie B.V.;;;;;;1;;;;1
BS Aviation Training;;;;;;2;;;;2
BSI Group The Netherlands B.V.;;;;;;2;;;;2
Bucky's Catering;;;;1;;;;;;1
Buffel Outdoor Activities B.V.;;;;;;;1;;;1
Buijtendijk B.V.;;;;;;1;;;;1
Buitenpoort Catering B.V.;;;;1;;;;;;1
Buko Infrasupport B.V.;;;;;;1;;;;1
Bullit House;;;;1;;;;;;1
Bunkerstation Heijmen B.V.;;;;;;1;;;;1
Bureau Helderder;;;;;;5;;;;5
Bureau Tromp B.V.;;;;;1;4;;;;4
Bureau Van Vliet B.V.;;;;;1;;;;;1
Bureau Veritas Industrial Services;;;1;;;1;;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;2;;;;2
Bureau voor Overheidscommunicatie B.V.;;;;;1;;;;;1
Bureau Zuidema B.V.;;;;;;2;;;;2
BurgGolf Purmerend B.V.;;;2;;;;;;;2
Buro Brand Visuele Communicatie;;;;;;1;;;;1
Buro ''Op Eigen Kracht'' B.V.;;;;;;1;;;;1
Buro Q B.V.;;;;1;;;;;;1
Buro Transportopleidingen B.V.;;;;;;1;;;;1
BURO2010 B.V.;1;;;;;;;;;1
Business Bloemist Melenhorst;;;;1;;1;1;;;1
Business Marketing Services Opleidingen B.V.;;;;;;1;;;;1
Business Talent Network B.V.;;;;;1;;;;;1
Buxus Bloemenatelier;;;;1;;;;;;1
BuzzMaster B.V.;;;;;1;;;;;1
BVO Opleidingen B.V.;;;;;;1;;;;1
Bvolve B.V.;;;;;;1;;;;1
C. van Heezik Maarssen B.V.;;;;;;1;;;;1
Caap;;;;;;1;;;;1
Cable Waterskicenter Brabant B.V.;;;1;;;;;;;1
CACI B.V.;;;;;;2;;;;2
Cadeau Concepten B.V.;;;;1;;;;;;1
Cadettencorps;;;;;;1;;;;1
Café Bern;;;;;;;1;;;1
Café De Hamer;;;;1;;;;;;1
Café Party Centrum 'De Deel';;;;;;;1;;;1
Café Rest. Slijterij 'De Vergulde Leeuw';;;;;;1;1;;;1
Café Restaurant De Beyerd;;;;;;1;;;;1
Café/Restaurant 'De Zwarte Ruiter';;;;;;;1;;;1
Café-Eeterij 't Vermaeck;;;;;;;1;;;1
Café-Restaurant De Westerbouwing B.V.;;;;2;;;;;;2
CAI-Advies B.V.;;;;;;4;;;;4
Capabel Onderwijs Groep B.V.;;;2;;1;1;;;;2
Capgemini Educational Services B.V.;;;;;;2;;;;2
Capgemini N.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Captain Cook's;;;;1;;;;;;1
Care Training Group B.V.;;;;;;1;;;;1
Cargese B.V.;;;;;;1;;;;1
Cargonaut Nederland B.V.;;;;;;1;;;;1
Carl Schenck Machines en Installaties B.V.;;;;;;2;;;;2
Carlton Ambassador Hotel B.V.;2;;;;;;;;;2
Carpe Fleur;;;;1;;;;;;1
Caseware Idea B.V.;;;;;;1;;;;1
Catering Hanenburg B.V.;;;;;;;1;;;1
Cauberg-Huygen Raadgevende Ingenieurs B.V.;;;;;;1;;;;1
Cave Nieuwegein B.V.;;;;;;1;;;;1
CBRE B.V.;;;;;;;1;;;1
CCB Groep B.V.;;;;;;1;;;;1
Centennium Advies en Opleidingen B.V.;;;;;;1;;;;1
Center Parcs Netherlands N.V.;;;;;;;3;;;3
Central Point Nederland B.V.;1;;;;1;1;1;;;1
Centrale Rino B.V.;;;;;;3;;;;3
Centrale Wapenhandel Dorhout Mees B.V.;1;;1;1;;1;1;;;1
Centrum voor Conflicthantering B.V.;;;;;;4;;;;4
Certium B.V.;;;;;;1;;;;1
Charelli B.V.;;;;1;;1;;;;1
Charraoue Boeken;;;;1;;;;;;1
Chartervaart Harderwijk B.V.;;;;;;;1;;;1
Chat.hot.-Rest. Havesathe De Havixhorst B.V.;;;;;;;2;;;2
China Wok Schagerbrug;;;;;;;1;;;1
Chinees-Indisch Afhaal Restaurant Regent;;;;;;;1;;;1
Chinees-Indisch Restaurant Wan Sing;;;;1;;;;;;1
Chocolat B.V.;;;;;;1;1;;;1
Chocolaterie Bruns;;;;;;;1;;;1
Christelijke Hogeschool Ede;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;;1
Ciano Netherlands B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;2;;;;2
CIMAC Nat. Members Association Netherlands;;;;;;1;;;;1
Cinema Zevenskoop;;;;;;1;;;;1
Cinop Advies B.V.;;;;;;1;;;;1
CIO Platform Nederland;;;;;;1;;;;1
Cirkel Cleaning B.V.;;;;;;1;;;;1
CITAVERDE College;;;1;;;;;;;1
CitySense B.V.;;;;2;;;;;;2
Closer2Talent B.V.;;;;;;1;;;;1
Cloudwatch B.V.;;;;;;1;;;;1
CLS Computertrainingen;;;;;;1;;;;1
Clubgebouw JST Waalsdorp;;;;;;;1;;;1
CM Partners B.V.;;;;;;2;;;;2
CMB Holding B.V.;;;;;;1;;;;1
'CMDz';;;;;;2;;;;2
CMedia B.V.;;;;;;1;;;;1
CME-Online;;;;;;1;;;;1
CN Trading;;;;1;;;;;;1
CNC-Consult & Automation B.V.;;;;;;1;;;;1
Coachboulevard B.V.;;;;;;2;;;;2
Cocolishi B.V.;;;;;1;;;;;1
Collé Sittard Verhuur B.V.;;;;;;;1;;;1
College of Multimedia;;;;;;1;;;;1
Com-Connect B.V.;;;;;;1;;;;1
Comic House Amsterdam B.V.;;;;;;1;;;;1
COMPAREX Nederland B.V.;;;;;;1;;;;1
Competence Factory;;;;;;1;;;;1
Composiet Expertise Centrum B.V.;;;;;;1;;;;1
Compressor Service Techniek B.V.;;;;;;1;;;;1
Compu'Train;;;1;;;3;;;;3
Computrain Opleidingen;;;1;;1;3;;;;3
Con Fuego;;;;;;;1;;;1
Concorde Group B.V.;;;;;;2;;;;2
Conducto Opleidingen B.V.;;;;;;1;;;;1
Conrad Electronic Benelux B.V.;1;;;1;1;1;1;;;1
Consilium Benelux Data Capture Solutions B.V.;;;;;1;1;;;;1
Consolid Openbaar Vervoer B.V.;;;;;1;;;;;1
Constructiebedrijf Broecks B.V.;;;;;;1;;;;1
Constructor Dexion Holland B.V.;;;;;;1;;;;1
Coolblue B.V.;;;1;;1;1;;;;2
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;1;4;;;;4
Coöperat. Pulsar Persoonlijke Ontwikkeling UA;;;;;;1;;;;1
Coöperatie ACS partners UA;;;;;;3;;;;3
Coöperatie Profportaal Zorg UA;;;;;;1;;;;1
Cordys Nederland B.V.;;;;;;2;;;;2
Cortex B.V.;;;1;;;3;;;;3
CoThink B.V.;;;;;;2;;;;2
Cottus Vakschool B.V.;;;;;1;;;;;1
Coyote Breda B.V.;;;;;;1;;;;1
Crazy Air;;;;;;;1;;;1
Crazy Piano's Scheveningen B.V.;;;;;;1;1;;;1
Creative Soup;;;;;;1;;;;1
Crinc B.V.;;;;;;;1;;;1
Crisiscontrol B.V.;;;;;;1;;;;1
Croy Sterrenbosch B.V.;;;;1;;;;;;1
Cruise With Us B.V.;;;;;;;2;;;2
CSC Computer Sciences B.V.;;;;;;2;;;;2
Ctac B.V.;;;;;;1;;;;1
CTG Group B.V.;;;;;;;1;;;1
Cuba's Sigarenspeciaalzaak en Slijterij;;;;;;;1;;;1
Culinair Centrum Beverwijk;;;;;1;1;;;;2
Cure & Care Development B.V.;;;;;;1;;;;1
Custom Media B.V.;;;;1;;;;;;1
CVmonitor B.V.;;;;;2;;;;;2
Cycle Center 53-11;;;1;;;;;;;1
Cygnific;;;;;;;1;;;1
D&F Consulting B.V.;;;;;;1;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;1;3;;;;3
Da Attilio B.V.;;;;;;1;;;;1
Dagje Volendam;;;;;;;1;;;1
Damon Educatie B.V.;;;;;1;;;;;1
Dansschool Corma;;;;;;1;;;;1
DataExpert B.V.;;;;;;3;;;;3
Datec;;;;;1;;;;;1
David Nicholas Trading B.V.;;;;;;;1;;;1
daVinci Dynamics B.V.;;;;;1;;;;;1
Da-Xin B.V.;;;;;;;1;;;1
DC Scharendijke B.V.;;;;;;;1;;;1
DDJ Music B.V.;;;;;;1;;;;1
De Ambachtelijke Bakker Theo Engelen;;;;;;;1;;;1
De Avontuurfabriek Onroerend Goed B.V.;;;;1;;;1;;;2
De Baak Administratie;;;;;;2;;;;2
De Baak B.V.;;;;;;1;;;;1
De Baak Noordwijk B.V.;;;;;;1;;;;1
De Ballentent;1;;;;;;;;;1
De Baron;;;;;;;1;;;1
De Bazar B.V.;;;;;;;1;;;1
De Blomster;;;;1;;;;;;1
De Boekdrukker;;;;1;;;;;;1
De Boerenschuur;;;;;;;1;;;1
De Boerinn B.V.;;;;;;;1;;;1
'De Bosrand';;;;;;;1;;;1
De Branding Utrecht B.V.;;;;1;;;;;;1
De Commandostichting;;;;1;1;;;;;1
de Context;;;;;;1;;;;1
De Distel Biljarts;1;;;;;;;;;1
De Effectieve Financial B.V.;;;;;;1;;;;1
De Efteling B.V.;;;;;;;1;;;1
De Friese Bierbrouwerij B.V.;;;;1;;;;;;1
De Gouden Ton;;;;1;;;;;;1
De Groot Lasopleidingen B.V.;;;;;;2;;;;2
De Grote Keizer B.V.;;;;;;;1;;;1
De Harmonie;;;;1;;;;;;1
