;9410 - Lokale belastingen - waterschapslasten;9520 - BZK specifiek;9540 - EZ specifiek;9560 - I&M specifiek;Eindtotaal
&Morgen;;;;1;1
&Samhoud Nederland B.V.;;;;2;2
.DOC V.O.F.;;;;2;2
0/24 Research & Organization Development;;;;1;1
073 Meeting Company B.V.;;;;1;1
10Tree Projects;;;;4;4
10uur communicatie & creatie B.V.;;;;1;1
12% of Meer;;;;1;1
123magazijninrichting.nl B.V.;;;;1;1
1-Vormatie;;;;1;1
2 Know How;;;;2;2
2000nu Communicatie;;;;1;1
23G;;;;1;1
2Bprojects B.V.;;;;4;4
2Coach B.V.;;;;1;1
2CoolMonkeys B.V.;;;;2;2
2FLUX stad projectontwikkeling;;;;1;1
2KNOWHOW, art of change B.V.;;;;2;2
2KnowIt B.V.;;;;1;1
2nd Nature B.V.;;;;3;3
2VO;;;;2;2
2Ways B.V.;;;;2;2
348 suites B.V.;;;;1;1
36 Cycling B.V.;;;;1;1
3B Bureau Bodem en Milieubeleid;;;;2;2
3pm The Sustainable Mobility Company;;;;2;2
4 Seasons Events;;;;1;1
4cast B.V.;;;;5;5
4HumanIT B.V.;;;;1;1
4RISK B.V.;;;;1;1
52 graden noorderbreedte;;;;2;2
53 Graden Noord B.V.;;;;1;1
7Beaufort;;;;5;5
A. Booth B.V.;;;;1;1
A. den Bakker & Zn. B.V.;;;;1;1
A. Timmerman's IJzerhandel B.V.;;;;2;2
A. van Helden Relatiegeschenken B.V.;;;;1;1
A. Veenstra Beheer B.V.;;;;4;4
A.G.M. Machinefabriek Fijnmechanica B.V.;;;;1;1
A.M.O.;;;;2;2
A.T.C. Nederland B.V.;;;;2;2
A1 Truckpoint Deventer B.V.;;;;5;5
A12 Van der Valk Hotel Veenendaal B.V.;;;;1;1
A3MC Management & Consultancy B.V.;;;;2;2
A3Smit Advies;;;;2;2
A5tien B.V.;;;;1;1
AA milieu- en adviesbureau B.V.;;;;1;1
AAA Display B.V.;;;;1;1
Aaaaha! The Actor Factory B.V.;;;;1;1
Aalbers Consultancy & Support;;;;1;1
Aaliyah Productions;;;;1;1
Aan de Beek B.V.;;;;1;1
Aan_Z Projectbeheersing B.V.;;;;2;2
Aann.- & Verh.bedr. J. Hoondert & Zn. B.V.;;;;1;1
Aannemersbedrijf Gebr. VD Aa B.V.;;;;2;2
Aannemersbedrijf Hogekant;;;;1;1
Aannemingsbedrijf G. van der Ven B.V.;;;;2;2
Aannemingsbedrijf H. de Boer Muiderberg B.V.;;;;1;1
Aannemingsbedrijf J. van den Broek B.V.;;;;3;3
Aannemingsbedrijf Netjes B.V.;;;;1;1
Aannemingsbedrijf P. Klein en Zoon B.V.;;;;1;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;;;;10;10
Aannemingsbedrijf W. Stienstra & Zn. B.V.;;;;7;7
Aannemingsmaatschappij van Gelder B.V.;;;;9;9
Aara rentmeesters & makelaars;;;;4;4
AB Initio B.V.;;;;1;1
ABB B.V.;;;;8;8
Abbink Verkeerstechniek;;;;2;2
ABC Display Industry B.V.;;;;2;2
ABC Events Nederland;;;;1;1
ABC Hekwerk-Oost;;;;1;1
Abel. Grand Café Restaurant B.V.;;;;1;1
ABF Group B.V.;;;;2;2
ABF Research B.V.;;;;2;2
Abilitec Professionals B.V.;;;;4;4
Abiom Communication Systems (A.C.S.) B.V.;;;;1;1
Abiom Fleet Systems B.V.;;;;2;2
ABN AMRO Bank N.V.;;;;1;1
ABO Milieuconsult B.V.;;;;3;3
Aboma;;;;1;1
ABOO Bouwkundig Advies;;;;1;1
Absoluta B.V.;;;;1;1
Abus Kraansystemen B.V.;;;;1;1
Acacia Water B.V.;;;;1;1
Accidental Spill Control Consultancy B.V.;;;;1;1
Accordo ondernemend notariaat en advies;;;;1;1
Accountor Nederland B.V.;;;;1;1
Achmea Bank N.V.;;;;1;1
ACNielsen (Nederland) B.V.;;;;1;1
ACNO Beheer B.V.;;;;1;1
Acon B.V.;;;;1;1
AcquiMedia;;;;1;1
Acquire Publishing B.V.;;;;1;1
ACR+;;;;1;1
act2do;;;;1;1
Actendo B.V.;;;;1;1
ACTIVA CONGRESOS - TERRAENVISION;;;;1;1
Actual Design;;;;1;1
Acuerdis B.V.;;;;2;2
ACW English Language Services;;;;1;1
Ad Hoc Beheer B.V.;1;;;;1
Ad Hoc Onderhoud B.V.;;;;1;1
Ad Hoc Security B.V.;;;;2;2
Ad Rem Debat en Strategie;;;;1;1
ADC Nederland B.V.;;;;1;1
Adinf B.V.;;;;3;3
ADoBZ;;;;2;2
Adriaanse van der Weel Advocaten;;;;2;2
Adromi B.V.;;;;2;2
Adse Holding B.V.;;;;2;2
Adv.bur. Instandh. Weg-&Waterbouwkund. Werken;;;;3;3
Adv.bur. Schadeverg. J.R.M. van der Poel B.V.;;;;4;4
Adventure Eefde;;;;1;1
Adverio Waste Systems B.V.;;;;1;1
Adviesbur. voor Bouwconstruct. Wagemaker B.V.;;;;4;4
Adviesbureau C2 B.V.;;;;3;3
Adviesbureau E.C.O. Logisch B.V.;;;;1;1
Adviesbureau ir. J.G. Hageman B.V.;;;;3;3
Adviesbureau Kiene B.V.;;;;1;1
Adviesbureau Kusters B.V.;;;;3;3
Adviesbureau Leycon B.V.;;;;1;1
Adviesbureau Lüning B.V.;;;;2;2
Adviesbureau STATEMA B.V.;;;;2;2
Adviesbureau VEM;;;;2;2
Adviesbureau Wiechers;;;;1;1
Adviesbureau Wieland;;;;3;3
Adviesburo Scholten;;;;1;1
Adviesdienst Mens & Veiligheid B.V.;;;;5;5
Adviesgroep in Automatiseringen/Opleid. B.V.;;;;1;1
Advin B.V.;;;;7;7
Advitec B.V.;;;;2;2
Advocatenkantoor Boot;;;;2;2
Aebi Schmidt Nederland B.V.;;;;7;7
AED-Partner;;;;1;1
Aegolius B.V.;;;;2;2
Aeneas B.V.;;;;2;2
AEQUATOR Groen & Ruimte B.V.;;;;1;1
Aeres Hogeschool Dronten;;;;1;1
Aeres Hogeschool Wageningen;;;;1;1
Aeret;;;;2;2
Aerial Pro B.V.;;;;3;3
Aerophoto-Schiphol.nl;;;;1;1
Aesy Liften B.V.;;;;1;1
AEVES B.V.;;;;4;4
AEVO Zuid-Holland;;;;2;2
Afdeling Buitengewone Zaken;;;;2;2
AFT Techniek B.V.;;;;1;1
Afvalwater Services B.V.;;;;4;4
Agathos M&O;;;;2;2
Agence Nationale de la Recherche;;;;1;1
AgileSource;;;;1;1
AGL Engineering S.A.;;;;3;3
AGM Inspectie;;;;1;1
AGOTEC B.V.;;;;3;3
Agrima II B.V.;;;;1;1
Agrio Uitgeverij B.V.;;;;1;1
AgriShop.nl;;;;1;1
Agriteam Makelaars B.V.;;;;1;1
Agterberg Vastgoed B.V.;;;;1;1
Agtersloot Hydraulisch Advies B.V.;;;;2;2
Ahead Recruitment B.V.;;;;4;4
Ahoy' Horeca B.V.;;;;1;1
Ahoy Rotterdam N.V.;;;;3;3
AICOM V.O.F.;;;;2;2
Aiki Art;;;;1;1
Aiki Coaching;;;;1;1
Aikima;;;;1;1
Airborne Laserscanning International B.V.;;;;4;4
Aircr. Develop. and Systems Engineering B.V.;;;;4;4
Airpack Nederland B.V.;;;;2;2
a'Justin pro audio;;;;1;1
akkiDO milieuadvies;;;;1;1
Aktis Hydraulics B.V.;;;;4;4
Alarm en Telefoon Service Nederland B.V.;;;;1;1
Alba Concepts B.V.;;;;2;2
Alba Secretarisdiensten & Advies;;;;1;1
Albers Zeilmakerij B.V.;;;;1;1
Albert Heijn B.V.;;;;1;1
Albron Nederland B.V.;;;;2;2
Alcom Electronics B.V.;;;;1;1
Alcon Holding B.V.;;;;1;1
ALcontrol Laboratories;;;;1;1
ALEX advocaten B.V.;;;;2;2
Alex Pitstra Media;;;;1;1
Alfa Laval Benelux B.V.;;;;1;1
Algemeen Octrooi- en Merkenbureau B.V.;;;;1;1
Alientrick Media Creators;;;;1;1
All In Verhuur B.V.;;;;1;1
Allekabels B.V.;;;;1;1
Allgifts.nl B.V.;;;;1;1
ALLIANCE FOR LOGISTIC INNOVATION;;;;1;1
Allianz Direct;;;;1;1
Allied Forces;;;;1;1
Allinco Systems B.V.;;;;1;1
All-round Catering Service Hapjesgigant M & M;;;;1;1
Allround Computer Service B.V.;;;;1;1
Allround Fire Safety;;;;1;1
Almere Marktonderzoek Advies;;;;2;2
Alnic B.V.;;;;6;6
Alpha Holland B.V.;;;;1;1
Alphatron Marine B.V.;;;;1;1
Altea B.V.;;;;2;2
Altec Industriële Identificatie;;;;1;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;;;3;3
Alterego Consult B.V.;;;;1;1
Alternate Computerversand Nederland;;;;1;1
Alticom B.V.;;;;1;1
Altijd Zondag - Voor beeld en tekst;;;;1;1
Altran Netherlands B.V.;;;;6;6
Alt-Tab Bedrijfsondersteuning;;;;1;1
Always Green B.V.;;;;1;1
AL-West B.V.;;;;5;5
