Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
&Samhoud;;;;;;6;;;;6
2 Know How;;;;;;2;;;;2
2useIT The Internet Academy;;;;;;2;;;;2
3Khoreca;;;;;;;1;;;1
3Masters Opleidingen B.V.;;;;;;1;;;;1
5 Hart It Oracle Experts Opleidingen;;;;;;3;;;;3
7Am;;;;;;1;1;;;1
7habits B.V.;;;;1;;;;;1;1
8th B.V.;;;;1;;;;;;1
A&A (Apart & Anders) De Mandenpost;;;;;;;1;;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;;2;;;;;;2
A.B. Geluidstechniek;;;;;;;1;;;1
A.G. van den Heuvel Trading & Services;;;;;;;;;1;1
A.J. catering & Meer;;;;1;;;;;;1
A4 Training;;;;;;1;;;;1
Aandacht voor Eten Restaurant;;;;1;;;;;;1
ABM Arie Beljaars Management;;;;;;;;;1;1
ABP-Reclame;;;;;;;1;;;1
Abrikoos Mediterraans en Tapas Restaurant;;;;1;;;1;;;1
Abutilon Bloemenboetiek;;;;1;;;;;;1
AC Restaurants & Hotels;;;;;;;;;1;1
Academie voor het Leven;;;;;1;;;;;1
Academie voor Psychologica;;;;;;1;;;;1
Academy Payroll Professionals;;;;;;1;;;;1
Accor Hotel Operator;;;;;;;;;1;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;2;;;;;;;2
ACS Auditing & Consulting Services;;;;;;1;;;;1
Acte De Presence;;;;;;2;;;;2
Active Opleidingen en Training;;;;;;2;;;;2
Adamex Amsterdam Experience;;;;1;;;;;;1
Ademtherapie en Cognitieve Gedragstherapie;;;;;;1;;;;1
Adromi Groep;;;;;;2;;;;2
Adviesbureau Di-Mensie;;;;;;1;;;;1
AdviSafe Risk Management;;;;;;1;;;;1
Advocaten Nivra;;;;;;1;;;;1
Advyt (vh Amethist);;;;;;1;;;;1
Aerovision;;;;;;1;;;;1
Agnita Twigt - Organisaties in verandering;;;;;;1;;;;1
Agos Beheer;;;;;;;1;;;1
Agrarisch Bedrijf Wynia;;;;;;;;;1;1
Agrip Advies;;;;;;;1;;;1
Agro Connect;;;;;;1;;;;1
Ahuis Organisatieontwikkeling;;;;;;2;;;;2
Aimed Solutions;;;;;;1;;;;1
Aktiviteitenpark De Wilgenweard;;;;1;;;;;;1
Alba Academie;;;;;;1;;;;1
Albron Catering;;;;2;;;2;;;3
Alert Management Consultants;;;;;;1;;;;1
Alex Aalders Bloemist;;;;;;1;;;1;1
Alien's Boeketterie;;;;;;;1;;;1
All Solutions;;;;;;1;;;;1
Allfo;;;;1;;;;;;1
Alliance Francaise De La Haye;;;;;;1;;;;1
Almere Restaurant Boathouse;;;;;;;;;1;1
Alpha Language Services;;;;;;1;;;;1
Alpina van Houwening & Ijsselstijn;;;;1;;;1;;;1
Altena Cleaning, Inspection;;;;;;1;;;;1
Amazing Bread Company (incl. Mammomi);;;;;;1;1;;1;1
American Express Int;;;;;;;;;1;1
American Hotel;;;;;;;;;2;2
Amershof Restaurant-Hotel-Zalencentrum;;;;1;;1;;;1;1
Amonett;;;;;;1;;;;1
Amstelplein 4 B.V.;;;;;;;;;1;1
Amsterdam Airport Schiphol;;;;;;;;;3;3
Amsterdam City Centre;;;;;;;;;1;1
Amsterdam Hospitality Company;;;;;;;;;1;1
Amsterdam Institute of Finance;;;;;;1;;;;1
Andriessen & Partners;;;;;;1;;;;1
Anton Arts Management B.V.;;;;;;;;;1;1
Aoc Friesland (Nordwin College);;;;;;2;;;;2
AOG Contractonderwijs (incl. Academie voor Management);;;;;;4;;;;4
ApartHotel;;;;;;;1;;;1
Aquafleur International;;;;;;1;;;;1
Ara Hotel;;;;;;;;;1;1
Arab Translation Service;;;;;;;1;;;1
Arbo Unie;;;1;;;;;;;1
ArboVitale;;;7;;;;;;;7
Archeon Novum;;;;1;;;;;;1
Architectuurcentrum Aorta;;;;;;;1;;;1
Ardis Management Development;;;;;;4;;;;4
Arenda Oomen Fotografie;;;;1;;;;;;1
Arjen de Boer Fotografie;;;;1;;;;;;1
Artemis Amsterdam;;;;;;;;;1;1
Artiestenburo Rotterdam;;;;;;;1;;;1
Artihove;;;;1;;;;;;1
Asgard Hotel;;;;;;;;;1;1
ASS Autofauteuils;;;1;;;;;;;1
Asser Bowling Centrum Veldkamp;;;;1;;;1;;;1
Athene Palace Grieks Restaurant;;;;;;;1;;1;1
