FID,foto,se_anno_cad_data,gdb_geomattr_data,shape
fotos.1,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_62,7e_glasscherm.jpg",,,POINT (138223.30600000173 451613.6259999983)
fotos.2,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_62,8e_kop_links_bewz.jpg",,,POINT (138251.02800000086 451517.54300000146)
fotos.3,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_62,6x_kop_rechts_bewz.jpg",,,POINT (138141.21799999848 451666.3779999986)
fotos.4,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2r_86,65_vldtrp_bewz.jpg",,,POINT (142183.65900000185 433168.15300000086)
fotos.5,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2r_87,0_kop_links_bewz.jpg",,,POINT (142331.86100000143 432889.0720000006)
fotos.6,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2r_86,7_vldr_bewz.jpg",,,POINT (142197.13199999928 433146.98099999875)
fotos.7,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_93,33_kop_rechts.jpg",,,POINT (145542.63500000164 427436.8040000014)
fotos.8,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_93,18_kop_links.jpg",,,POINT (145452.14600000158 427565.5)
fotos.9,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_93,33_kop_rechts_bewz.jpg",,,POINT (145582.85300000012 427446.8579999991)
fotos.10,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_93,78_kop_links_bewz.jpg",,,POINT (145761.9759999998 427027.1460000016)
fotos.11,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_69,28_kop_rechts.jpg",,,POINT (133089.9609999992 447672.4059999995)
fotos.12,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_68,2c_kop_links.jpg",,,POINT (132982.34099999815 448744.7010000013)
fotos.13,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_64,5h_bewz.jpg",,,POINT (133119.96400000155 452355.8189999983)
fotos.14,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_64,51h_bewz.jpg",,,POINT (133114.46200000122 452346.19099999964)
fotos.15,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_66,6_bewz.jpg",,,POINT (132876.71700000018 450305.90300000086)
fotos.16,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_69,29_kop_rechts_bewz.jpg",,,POINT (133089.88899999857 447665.4979999997)
fotos.17,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_71,28_kop_recht.jpg",,,POINT (133686.45899999887 445796.7109999992)
fotos.18,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_71,13_kop_links.jpg",,,POINT (133706.51799999923 445946.22100000083)
fotos.19,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_71,18_kop_rechts_bewz.jpg",,,POINT (133663.72399999946 445886.5769999996)
fotos.20,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_71,28_kop_recht_bewz.jpg",,,POINT (133692.34299999848 445798.0480000004)
fotos.21,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_71,12_kop_links_bewz.jpg",,,POINT (133708.92500000075 445940.0700000003)
fotos.22,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_73,9_kop_rechts.jpg",,,POINT (135069.75400000066 443615.28500000015)
fotos.23,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_72,72c_kop_links.jpg",,,POINT (134215.89499999955 444450.12099999934)
fotos.24,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_72,55_bewz.jpg",,,POINT (134134.12099999934 444568.8979999982)
fotos.25,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_73,4_vld_bewz.jpg",,,POINT (134685.3669999987 443975.86300000176)
fotos.26,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_73,6_bewz.jpg",,,POINT (134873.1719999984 443821.6559999995)
fotos.27,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_73,7_bewz.jpg",,,POINT (134894.70899999887 443802.7039999999)
fotos.28,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_68,51_kop_rechts.jpg",,,POINT (143943.03500000015 452314.63599999994)
fotos.29,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_69,30_kop_links.jpg",,,POINT (144694.13100000098 452258.1629999988)
fotos.30,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_69,6_kop_links_bewz.jpg",,,POINT (145027.32299999893 452212.9840000011)
fotos.31,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_69,6_watergang.jpg",,,POINT (144985.53299999982 452210.7259999998)
fotos.32,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_69,30_kop_links_bewz.jpg",,,POINT (144691.87200000137 452238.9620000012)
fotos.33,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a12r_69,50_detail_bewz.jpg",,,POINT (144914.37700000033 452223.1499999985)
fotos.34,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_55,65_bewz.jpg",,,POINT (130014.32400000095 459655.6739999987)
fotos.35,"https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/foto/a2l_55,5_kop_links_bewz.jpg",,,POINT (129980.56899999827 459693.6490000002)
