Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
&ranj B.V.;;;;;2;;2
A.M.S. Firma A. Vos & Zoons;;1;;;;;1
AAF-International B.V.;;1;;;;;1
AB Sciex EDC B.V.;;;4;;;;4
acdegroot publishing;;;;;1;;1
Afvalwater Services B.V.;1;;;;;;1
Agilent Technologies Netherlands B.V.;;1;2;;;;3
Aig Europe (Netherlands) N.V.;;;;;;2;2
Air Products Nederland B.V.;;1;;;;;1
Air Quality Monitoring Consultancy;;;;;2;;2
Alere Health B.V.;;1;;;;;1
Alfa Wassermann B.V.;;1;;;;;1
Alliance Healthcare;;2;;;;;2
Alltech/Applied Science B.V.;;1;;;;;1
Altec Industriële Identificatie;;1;;;1;;1
Alverpak B.V.;;1;;;;;1
Ameco Adviesgroep Milieubeleid B.V.;;;;;2;;2
Annelies Bakker Tekst;;;;;1;;1
anoniem;;;;;;7;7
Anthos Labtec B.V.;;;1;;;;1
Antonides;;1;;;;;1
Aon Global Risk Consulting B.V.;;;;;;1;1
Apotheek Beek en Donk B.V.;;;;;;1;1
Apotheek Nassau B.V.;;;;;;1;1
Apotheek Planetenbaan;;1;;;;;1
Applied Biosystems;;;2;;;;2
ARAS Security B.V.;;1;;;;;1
ARCADIS Nederland B.V.;;;;;2;;2
ARIE BLOK B.V.;;;;2;;;2
Arko Sports Media B.V.;;;;;1;;1
Associatie Chirurgen Laurentius Zkh. Roermond;1;;;;;;1
AUV Groothandel B.V.;;1;;1;;;1
Avantes B.V.;;1;;;;;1
Aviv B.V.;;;;;4;;4
Azbil Telstar Benelux B.V.;;1;2;;;;3
B. Braun Medical B.V.;;1;;;;;1
B.&A. Services B.V.;;;1;;;;1
B.V. Aluglas Verenigde Bedrijven;;2;;;;;2
B.V. Verenigde Instrumenthandel Salm & Kipp;;2;1;;;;2
Bactimm B.V.;;;;;;1;1
BAM Techniek;;;1;;;;1
BAM Techniek - Fire Protection;;;1;;;;1
BaseClear B.V.;5;3;;;;;5
Baxter B.V.;;1;;;;6;6
BCON Instruments B.V.;;1;;;;;1
Beckman Coulter Nederland B.V.;;2;2;;;;3
Becton Dickinson;;4;3;;;;4
Beldico B.V.;;1;;;;;1
Belimed B.V.;;2;4;;;;4
Berenschot B.V.;;;;;1;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;;;1;;1
Beun- de Ronde B.V.;;1;2;;;;2
Bevaplast B.V.;;1;;;;;1
Beweegwijs B.V.;;;;;1;;1
BHV Competent;;;;;;1;1
Biesheuvel Groep B.V.;;1;;;;;1
BIJ12;;;;;1;;1
Bilthoven Biologicals B.V.;3;4;7;;5;6;7
Bio Services B.V.;;1;3;1;;;3
Bio Trading Benelux B.V.;;4;;;;;4
Bio-Connect B.V.;;3;;;;;3
Bio-Connect Diagnostics B.V.;;3;;;;;3
Bio-Connect Services B.V.;;5;;;;;5
Biognost;;4;1;;;;4
Biolegio B.V.;;2;;;;;2
bioMérieux Benelux B.V.;;2;2;;;;3
Bio-Rad Laboratories B.V.;;4;3;;;;5
Biosolve B.V.;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;1;;;;1
Blonk Milieu Advies B.V.;;;;;2;;2
Bodinco B.V.;;1;;;;;1
Bojan Advies;;;;;2;;2
Bolder Consultancy;;;;;2;;2
Boom B.V.;;4;1;;;;4
BPI Services B.V.;;;;;;2;2
Bronson Incubator Services B.V.;;3;1;;;;3
Bruker Nederland B.V.;;1;2;;;;2
Brunschwig Chemie B.V.;;3;;;;;3
Buchem B.V.;;1;;;;;1
Bureau Blueland;;;;;2;;2
Bureau Gerlings;;;;;1;;1
Bureau Veritas Industrial Services;;;2;;;;2
Buro Blauw B.V.;;1;;;;;1
Buro JuRo;;;;;1;;1
Business Line Cleanroom;;;1;;;;1
Butraco;;1;;;;;1
Buveco Gasdetection B.V.;;;1;;;;1
BWT Nederland B.V.;;1;;;;;1
CACI B.V.;;;;;1;;1
Caliz B.V.;;;1;;;;1
CapitalP B.V.;;;;;1;;1
CareFusion Netherlands 238 B.V.;;1;1;;;;1
CarePack Holland B.V.;;2;;;;;2
Carl Zeiss B.V.;;1;1;;;;1
CASA Den Haag;;;;;;1;1
CASA Goes;;;;;;1;1
