Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
!JES jij en scheiden;;;;;1;;;;1
"""""""De Borckerhof"""" Buitenverblijven""";;;1;;;;;;1
.bos Ontwikkeling en Organisatie;;;;;2;;;;2
@Nieuwkuijk B.V.;;;;;;;;1;1
050 taxicentrale;;;;;;;;1;1
1 van de jongens;;;;;1;;;;1
12Twelve12;;;;;1;;;;1
1892;;;;;;;;1;1
2 Know How;;;;1;2;;;1;2
2-improof;;;;3;;;;;3
2MB Consultancy;;;;;2;;;;2
2-nice;;;;;1;;;;1
2useit;;;;;1;;;;1
3DMens;;;1;;1;;;;1
3K Horeca B.V.;;;1;;;;;1;1
3M Nederland B.V.;;;1;;2;;;;2
42on B.V.;;;;;1;;;;1
4D organisatieontwikkeling & opleiding;;;;;1;;;;1
4DotNet B.V.;;;;;2;;;;2
4Inspire;;;;;1;;;;1
4Meetings & Events;;;;;1;;;;1
4Visualization;;;1;;;;;;1
4XM Music, Media, Management & More;;;;;1;;;;1
5 broden 2 vissen;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;1;;3;;;;3
7AM Den Haag B.V.;;;1;;1;;;1;1
A & P Investments B.V.;;;2;;1;;;;2
A C Kenniscentrum;;;3;;;;;1;3
A en R Food Company B.V.;;;1;;;;;;1
A&A Bloemen;;;1;;;;;;1
A&A Vlaaien V.O.F.;;;1;;;;;;1
A. Krosenbrink Coach., Supervisie en Training;;;;;1;;;;1
A. Langeveld V.O.F.;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;2;;;;;;2
A.A.L.O.;;;;;1;;;;1
A.B. van Vugt B.V.;;;;;;;;1;1
A.F.M. Kral t.h.o.d.n. The Read Shop Express;;;1;;;;;;1
A.M. van Dijke (Bootje Varen);;;1;;1;;;;1
A.P.F. Toonen Beheer B.V.;;;;;1;;;;1
A.P.S.;;;1;;;;;;1
A.S. Golbaz t.h.o.d.n. Soho Den Bosch;;;;;;;;1;1
A12 Van der Valk Hotel Veenendaal B.V.;;;1;;1;;;1;2
A1-City B.V.;;;1;;;1;;;1
A1-Plaza B.V.;;;1;;;;;;1
Aaaaha! The Actor Factory B.V.;;;2;;1;;;;2
AAC Talenpracticum Zuid;;;1;;;;;;1
Aalders Wassalon/Stomerij;;;1;;;;;;1
Aaltje Vincent & Company;;;;;2;;;;2
Aantjes Advocaten B.V.;;;1;;;;;;1
Aardoom & de Jong;;;;2;;;;;2
Aaron A. de Haas Training B.V.;;;;;2;;;;2
Aartsen Hekman Lodder Advocaten;;;1;;;;;;1
AAS Opleiding en Training;;;;;1;;;;1
AB Tax;;;;;;;;1;1
ABC communicatie & mediaproducties;;;;;1;;;;1
ABC Publicaties;;;;1;;;;;1
Abdijhuis;;;;;;;;1;1
ABEE Outdoor;;;;;1;;;;1
Abel. Grand Café Restaurant B.V.;;;1;;1;;;;1
Abeng Taal & Tekst;;1;;;;;;;1
Abode Beheer B.V.;;;;;1;;;;1
About Flowers;;;1;;;;;1;1
About Time Institute People Investors (ATIP);;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;1;;;;;1;1
Absolute Delicious;;;1;;;;;;1
ABVAKABO FNV;;;;;1;;;;1
Academie Amsterdam;;;;;1;;;;1
Academie Lokale Belastingen;;;1;;;;;;1
Academie Louman;;;;;1;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1
