2;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
@13;1;;;;;;;;1
123boekingen.nl;;;1;;;;;;1
1910 Restaurant;;;1;;;;;;1
2 Know How;;;;;1;;;;1
2de Spoor B.V.;;;;1;;;;;1
4 Seasons Events;;;;;;1;;;1
50+ Beurs & Festival;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;5;;;;5
7AM Den Haag B.V.;;;;;;;;1;1
A. Boezen;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;1;1;;;;;;1
A.C.A. van Zon;1;;;;;;;;1
A.G.U. Robertus;;;1;;;;;;1
a.t. werkt;;;;2;;;;;2
A.W. Zwaard Arbeidsomstandigheden;;;;;1;;;;1
A.Z. N.V.;;;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;1;;;1
A1-City B.V.;;;1;;;;;;1
AAA Reclame;;;1;;;;;;1
Abalo;;;;;1;;;;1
Abel. Grand Café Restaurant B.V.;;;1;;;;;;1
A'bella Vita;1;;;;;;;;1
About Flowers;1;;1;;;;;;1
ABS Autoherstel Den Elzen;;;;;1;;;;1
Academie Lokale Belastingen;;;;;1;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1
Accor CPA S.A.;;;;;;;;1;1
ACT Management B.V.;;;;;2;;;;2
Acte De Présence;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;4;;;;4
Active Learning;;;;;1;;;;1
Adams Activity;;;;;;1;;;1
Adlib Gebruikersgroep;;;;;1;;;;1
Adventure and Thrill;;1;;;;;;;1
Adventure Eefde;;;1;;;;;;1
Adventure Veluwe B.V.;;;1;;;;;;1
Adviesbureau Atim B.V.;;;;;1;;;;1
Advocatenkantoor Dijkgraaf B.V.;1;;;;;;;;1
against all odds H.O. Café Charlies;;;1;;;;;;1
Agile Consortium (AC);;;;;1;;;;1
Agrima II B.V.;;;1;;;;;;1
Aikido in Company;;;;;1;;;;1
Akhnaton C.V.;;;1;;;;;;1
Al Mundo;;;1;;;;;;1
Alba-academie;;;;;2;;;;2
Ale House B.V.;;;2;;;;;;2
Alg. Ver. van Bel.deurw. en belastinginvord.;;;;;2;;;;2
Ali Hekman, coach en reïntegratiedeskundige;;;;1;;;;;1
Alkmaars Nek Centrum;;;;1;;;;;1
Alkmaarse Rugby Union Football Club;;;1;;;;;;1
All that matters & Marleen;;;;;1;;;;1
Allan Vos;;;;;1;;;;1
Alliance Francaise de La Haye;;;;;1;;;;1
Altimos B.V.;;;;;1;;;;1
Altrecht;;;;;1;;;;1
Amaze Escape Events;;;1;;;;;;1
Amazing Bread Company B.V.;;;1;;1;;;;1
Amerik Horeca Exploitatie B.V.;;;1;;;;;;1
AMIER;;;1;;;;;;1
Amphion-Doetinchem;;;;;;1;;;1
AmstelveenSport;;;1;;;;;;1
Amsterdam Identity Apartments B.V.;;;1;;;;;;1
AnalyzeData B.V.;;;1;;;;;;1
Andersson Elffers Felix;;;2;;;;;;2
Andriessen & Partners B.V.;;;;;5;;;;5
Angelique Fierens;;;;;1;;;;1
Anke van der Hoek;1;;;;;;;;1
anoniem 1;;;1;;1;1;;;1
anoniem 13;;;;;;;;1;1
anoniem 14;;;1;;;;;;1
anoniem 15;;;;;;;;1;1
anoniem 16;;;;;1;;;;1
anoniem 17;;;1;;;;;;1
anoniem 18;;;;;;1;;;1
anoniem 20;;1;;;;;;;1
anoniem 23;;;;;;;;1;1
anoniem 8;;;;;;;1;;1
Antropia B.V.;;;2;;;;;;2
ANWB Pers.-Ontsp.-Verenig. 'Planken Wambuis';;;1;;;;;;1
ANWB-Rijopleiding;;;;;1;;;;1
AOG Contractonderwijs B.V.;;;;;1;;;;1
Aparthotel 't Suyderduyn B.V.;;;;;;1;;;1
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;1;;;;;;1
Apenheul;;;3;;;1;;;3
APG Groep N.V.;;;;1;;;;;1
Aquamed B.V.;;;;;1;;;;1
Arbeid Medische Expertises B.V.;;;;2;;;;;2
Arbeidsmarktkansen.nl B.V.;;1;;;;;;;1
Arbody B.V.;;1;;;;;;;1
Ardis Opleidingen B.V.;;;;;5;;;1;5
Ardis Organisatieontwikkeling B.V.;;;;;1;;;;1
A-REA artsen en arbeidsdeskundigen B.V.;;2;;;;;;;2
Arieso Holding B.V.;;;2;;;;;;2
Arissa Thais Restaurant;;;1;;;;;;1
Art Café Sam Sam;;;1;;;;;;1
Art to Art;;;1;;;;;;1
Artemis Training & Coaching;;;;;1;;;;1
