;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
A. Heijnen Consulting B.V.;;;2;;2
Accenture B.V.;;2;;;2
Adviesbureau Veiligheid en Handhaving;;;1;;1
Ãƒâ€šrztekasse Rechtsmedizin;1;;;;1
Agroisolab GmbH;1;;;;1
Andersson Elffers Felix;;;2;;2
Applied DNA Sciences;1;;;;1
Aqualab Zuid B.V.;;;;;
Baker Tilly Berk Eindhoven;;;3;;3
BaseClear B.V.;3;;;;3
Berenschot Groep B.V.;;;3;;3
Bert Kreemers Adv. Onderz. Communicatie B.V.;;;1;;1
BMC Advies B.V.;;;1;;1
Bureau Beke;;;2;;2
Buro Magis;;;2;;2
Buro Opaal;;;1;;1
C. Jansen Grondverzet B.V.;1;;;;1
CAOP;1;;;;1
Cellebrite GmbH;3;;;;3
CINOP B.V.;;;2;;2
Common Eye B.V.;;;2;;2
Compass Group Nederland B.V.;1;;;;1
Computest Services B.V.;1;;;;1
Continental Automotive Germany;;;;;
Cybersafety4u B.V.;;;1;;1
De Bossche Specialisten Coöperatie UA;1;;;;1
De Galan Groep B.V.;;2;;;2
Deloitte Risk Advisory B.V.;;;2;;2
Diagnostisch Centrum Eindhoven;3;;;;3
Diatomella;1;;;;1
DPA Finance B.V.;;;;4;4
Driekwadraat Coöperatie UA;;;2;;2
DSP-Groep B.V.;;;3;;3
DSTL B.V.;1;;;;1
Edith Brocken Ergo & Arbeid;1;;;;1
Efectis Nederland B.V.;2;;;;2
Effectory Holding B.V.;;;1;;1
Element Breda;2;;;;2
Ernst & Young Accountants LLP;;;;2;2
Ernst & Young Belastingadviseurs LLP;;;;3;3
Eurofins Forensics Belgium bvba;5;;;;5
Eurofins Medigenomix Forensik GmbH;5;;;;5
Eva Klooster Onderzoek & Advies;;;1;;1
Firm Ground;;1;;;1
Forensisch Artsen Rotterdam-Rijnmond B.V.;1;;;;1
Gartner Nederland B.V.;;;2;;2
GGzE;2;;;;2
Groene Hart Ziekenhuis;4;;;;4
Huis van Verbeelding;;1;;;1
ICM Opleidingen & Trainingen B.V.;1;;;;1
Intertek Nederland B.V.;1;;;;1
Iso-Analytical Limited;1;;;;1
JC Zaanstad;2;;;;2
Kantar Netherlands B.V.;;;2;;2
Kiwa Technology;2;;;;2
Klachtenmanagement Zorg;1;;;;1
Koetsenruijter Conflictmanagement en Bemid.;1;;;;1
Kopinga Boomadvies;1;;;;1
KPMG Audit;;;3;3;4
Kreis Mediconsultancy B.V.;1;;;;1
krijn van beek;;;2;;2
Lef Interim;;;1;;1
LGC Limited;;;;;
M&O Poort van Den Haag B.V.;1;;;;1
Maatschap MSB Gouda;1;;;;1
Maatschap S. Zwart en A. Zwart-Klok;1;;;;1
Marlou Kleve, Coach. en Mindfulnesstrainingen;1;;;;1
Medische Laboratoria dr. Stein & Collegae;6;;;;6
Miele Nederland B.V.;;;;;
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;3;;3
No Gutz No Glory;;;2;2;3
Nutrilab B.V.;1;;;;1
Omegam;1;;;;1
P.I. Research B.V.;1;;;;1
PBLQ B.V.;;;;2;2
PJAVR;;;2;;2
PQR B.V.;;1;;;1
Pricewaterhousecoopers Accountants N.V.;;;;2;2
Pricewaterhousecoopers N.V.;;;4;2;4
Privacy Company B.V.;2;;;;2
Q.P. Nedlab;1;;;;1
Quint;;2;;;2
RDM Nederland B.V.;;3;;;3
Regioplan Beleidsonderzoek B.V.;;;1;;1
Regulator;;;1;;1
Right Marktonderzoek en Advies B.V.;;;2;;2
Rijnconsult B.V.;;;2;;2
RINO Amsterdam;1;;;;1
Robert Bosch B.V.;1;;;;1
Sanquin Diagnostiek B.V.;1;;;;1
Schotpoort Connect B.V.;1;;;;1
SCRN;;2;;;2
SGS Intron B.V.;1;;;;1
Significant Public B.V.;;;2;;2
Smits Van Burgst Beveiliging B.V.;;;2;;2
Start People;;;;;
Stavoor B.V.;1;;;;1
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;;;4;;4
Stg. Onderz.centr. Ketenzorg Chron. Ziekten;1;;;;1
Sticht. Quality Assur. Netherl. Universities;;;2;;2
Stichting Alrijne Zorggroep;2;;;;2
Stichting Halt;2;;;;2
Stichting Hanzehogeschool Groningen;;;2;;2
Stichting Maasstad Ziekenhuis;4;;;;4
Stichting Werken op Maat;2;;;;2
Stichting Ziekenhuisgroep Twente;1;;;;1
Strategy Alliance B.V.;1;;;;1
The Maastricht Forensic Institute B.V.;7;;;;7
TNO Corporate Staforganen;;;;;
TRConsult B.V.;;;1;;1
TRES internet B.V.;;2;;;2
Triskelion B.V.;1;;;;1
Trompetter & Partners B.V.;2;;;;2
Twynstra Gudde Veiligheid B.V.;;;2;;2
TwynstraGudde;;;4;;4
Universitaire Ziekenhuizen Leuven;1;;;;1
Universitat Regensburg;1;;;;1
Universiteit Gent;1;;;;1
Vanberkel Professionals B.V.;;;;3;3
Verwonderzoek;;;2;;2
vhp Human Performance B.V.;;;2;;2
VRH Informatisering B.V.;2;;;;2
Ziekenhuis Amstelland;1;;;;1
Eindtotaal;8;4;7;5;8
