Leveranciersnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
1.2.3. Sloten Service B.V.;1;;;;1
1001Produkties.nl;1;;;;1
A. Agterberg B.V.;1;;;;1
Aakwadraat Networks B.V.;3;;;;3
Aan de Stegge Bouw & Werktuigbouw;4;;;;4
Aannemersbedrijf G.B. van Hoek B.V.;2;;;;2
Aannemersbedrijf van Zoelen B.V.;1;;;;1
Aanneming Wegenbouw G. Hemmen B.V.;1;;;;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;;;;3;3
Aannemingsmaatschappij Bos B.V.;5;;;;5
Aardgasservice Noord B.V.;;1;;;1
ABC Afbouwcentre;1;;;;1
ABR Kantoorinrichting B.V.;;;1;1;1
Acquire Publishing B.V.;1;;;;1
Adviesbureau Sijperda B.V.;1;;;;1
Advin B.V.;4;;;;4
Aebi Schmidt Nederland B.V.;2;;;8;8
AEVES B.V.;2;;;;2
Afmitech Friesland B.V.;1;;;;1
Agilent Technologies Netherlands B.V.;;;;6;6
AH to go Eindhoven Airport;;;;1;1
Ahrend Inrichten;;;;6;6
Ahrend Nederland B.V.;1;;;;1
Alarma 33;4;;;;4
Algemene Vlaggenhandel Nederland;1;;;;1
Alkema Tuinwerk;2;;;;2
Altenburg & Wymenga Ecologisch Onderzoek B.V.;2;;;;2
ALTER - HAAGLANDEN sleutels - sloten;1;;;;1
Altrex B.V.;1;;;;1
Alvero Kantoormeubelverhuur B.V.;2;;;;2
Ambius B.V.;5;;;;5
Amenddak;1;;;;1
Anoniem 1056;2;;;;2
Anoniem 1177;1;;;;1
Anoniem 118;1;;;;1
Anoniem 1186;;;;1;1
Anoniem 1424;5;;;;5
Anoniem 1460;1;;;;1
Anoniem 1461;1;;;;1
Anoniem 1462;1;;;;1
Anoniem 1463;1;;;;1
Anoniem 1464;4;;;;4
Anoniem 1465;1;;;;1
Anoniem 1466;2;;;;2
Anoniem 1496;1;;;;1
Anoniem 184;6;;;8;8
Anoniem 207;1;;;;1
Anoniem 282;1;;;;1
Anoniem 322;;;;3;3
Anoniem 334;;;;1;1
Anoniem 429;1;;;;1
Anoniem 473;;;;1;1
Anoniem 574;1;;;;1
Anoniem 606;1;;;;1
Anoniem 635;1;;;;1
Anoniem 664;;;;1;1
Anoniem 695;1;;;;1
Anoniem 708;3;;;2;3
Anoniem 71;;;;1;1
Anoniem 715;4;;;;4
Anoniem 795;1;;;;1
Anoniem 807;1;;;;1
Anoniem 878;;;;1;1
Anoniem 885;;;;1;1
Anoniem 896;;;;1;1
Anoniem 911;;;;1;1
Anoniem 920;;;;1;1
Ansul;1;;;;1
Antea Nederland B.V.;2;;;;2
Aqua Vision B.V.;;;;6;6
AquaTerra-KuiperBurger;1;;;;1
Arborendement V.O.F.;1;;;;1
ARCADIS Nederland;4;;;;4
ARCADIS Nederland B.V.;5;;;;5
Art de Co;3;;;;3
Artona Asset Management B.V.;2;;;;2
Ascom (Nederland) B.V.;1;;;;1
Asecos B.V.;1;;;;1
At Computing B.V.;;1;;;1
At Osborne B.V.;2;;;2;3
ATK Grootkeukentechniek B.V.;1;;;;1
Atlas Schilder- en Onderhoudsbedrijf;1;;;;1
Atos Nederland B.V.;7;;;;7
Avex B.V.;;;;1;1
Aviste B.V.;1;;;;1
Axent Groen B.V.;1;;;;1
Aydo webshops;1;;;;1
Bakker Installaties V.O.F.;1;;;;1
BAM Accommodatie Asset Management B.V.;5;;;;5
BAM Bouw en Techniek B.V.;9;;;2;9
Bandsma-Bultje Verhuizingen B.V.;1;;;;1
BBA Binnenmilieu B.V.;2;;;;2
BEFIMMO PROPERTY SERVICES NV;2;;;;2
Beheer&Water2 B.V.;4;;;;4
Benegas;;2;;;2
Berkx maatwerk voor woning en bedrijf;1;;;;1
Best Environmental & Safety Technology B.V.;;;;1;1
Beurs van Berlage C.V.;;;;2;2
BG Techniek B.V.;1;;;;1
Biljoen Groen Velp N.V.;3;;;;3
Bilthoven Biologicals B.V.;2;;;;2
BIOTAGE SWEDEN AB;;;;2;2
BNRA Gladheid;1;;;;1
Boeg B.V.;1;;;;1
Boels Verhuur;1;;;1;1
Bordbusters B.V.;1;;;;1
Bos Elektro B.V.;1;;;;1
Bosveld Gerechtsdeurwaarders & Incasso's;;1;;;1
Boudesteijn Verhuizers B.V.;;;1;;1
Bouter B.V.;1;;;;1
Bouwbedrijf A. Schollee B.V.;1;;;;1
Bouwbedrijf Kremer en Zonen B.V.;2;;;;2
Bouwbedrijf Meliskerke B.V.;3;;;;3
Bouwbedrijf Zegers Arnhem B.V.;3;;;;3
Bovenregionaal kantoor;2;1;;;2
Brabant Water N.V.;1;2;;;2
Break Free Fun Company;;;1;;1
Breijer Contractonderhoud B.V.;3;;;;3
Breur IJzerhandel Vlietlaan B.V.;1;;;;1
Breustedt Chemie;1;;;;1
BTD Beveiligingstechniek Dordrecht B.V.;;;;1;1
Burst Video B.V.;2;;;;2
Buyitdirect.com N.V.;;;;2;2
BVI Services B.V.;2;;;;2
C.J. van Klaveren Holding B.V.;1;;;;1
Caljouw-Rademaker Verhuizingen;2;;1;;2
Camelot Vastgoedbeheer B.V.;1;;;;1
Campro Scientific GmbH;;;;3;3
Capgemini Nederland B.V.;2;;;;2
CBRE B.V.;2;;;;2
CertiQ B.V.;1;1;;;1
Charissa's Lavanderia;1;;;;1
Chubb Fire & Security Amsterdam;4;;;;4
Chubb Fire & Security B.V.;2;;;;2
Co̦p. Inkoopver. van Visserijbenodigdheden UA;;1;;;1
Conrad Electronic Benelux B.V.;1;;;;1
Convoi Nederland;;;1;;1
Cornelissen Service en Onderhoud B.V.;1;;;;1
Coteq Netbeheer B.V.;;3;;;3
Croissanterie Aad de Groot B.V.;1;;;;1
Cryotrans;;1;;;1
Culitech Benelux B.V.;;;;2;2
CZAV;;1;;;1
Dalmolen Horeca- en grootkeukentechniek;1;;;;1
Damen Shiprepair Rotterdam;;;;2;2
Damen Vastgoed Pernis;;;;4;4
Dassen Bouw B.V.;1;;;;1
DCI Electronics B.V.;1;;;;1
De Rie IJzerwaren en Gereedschappen B.V.;1;;;;1
De Sleutelspecialist';1;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;1;;;;1
De Toekomst Bouw B.V.;5;;;;5
De Vries Projekt Design B.V.;3;;;;3
De Wilt-Cyrox Groep B.V.;1;;;;1
DECO;1;;;;1
Decolux Holding B.V.;4;;;;4
Deloitte Consulting B.V.;;4;;;4
DELTA Comfort B.V.;1;1;;;1
DELTA N.V.;;3;;;3
DELTA Safety Training;;1;;;1
Dijkstra-Vereenigde B.V.;;;;2;2
Discountoffice.nl B.V.;1;;;;1
DNWG Infra B.V.;2;;;;2
Donkergroen B.V.;2;;;;2
Dorigo-Wierper B.V.;1;;;;1
Douwe Egberts Horeca;1;;;1;2
Drentea Kantoormeubelen;3;;;7;7
Dunea N.V.;;2;;;2
Dura Vermeer Infrastructuur Noord West;2;;;;2
Dutch Property Company Rembrandt 4 B.V.;;;;2;2
DuurzaamNL B.V.;2;;;;2
Dynamic No-Break B.V.;1;;;;1
E. de Boer en Zn. Aannemersbedrijf B.V.;4;;;;4
E.A.L. Electronic Application Laboratory B.V.;5;;;;5
E.A.M. Groenewegen Holding B.V.;;1;;;1
Eden Springs Nederland B.V.;;1;;;1
Eijkelboom B.V.;1;;;;1
Eijkelkamp Soil & Water B.V.;;;;3;3
Elbenk Com B.V.;1;;;;1
Electro-Techn. Inst.bedr. 'Leerkes' B.V.;1;;;;1
Elek.-Techn. Inst.bur. Ben van Schoor B.V.;1;;;;1
Elektro-Four B.V.;2;;;;2
Endenburg Elektrotechniek B.V.;1;;;;1
Endinet;;2;;;2
Enduris B.V.;;2;;;2
Eneco Services B.V.;1;8;;;8
Eneco Zakelijk;;9;;;9
ENGIE Energie Nederland N.V.;;1;;;1
Equipe Quality Products B.V.;1;;;1;1
Erdi Wegbebakening B.V.;1;;;;1
Ergolift B.V.;1;;;;1
Essent Energie Verkoop Nederland B.V.;;5;;;5
Eureka Internationaal B.V.;1;;;;1
EURO-ARGO ERIC _ EUROPEAN RESEARCH;3;;;;3
European Energy Auction B.V.;;6;;;6
EV-Box;1;;;;1
Evident Projectstoffering B.V.;3;;;;3
Evides N.V.;;5;;;5
Exposize B.V.;1;;;;1
Fa. van der Neut Uw Groene Vakwinkel;1;;;;1
Fakton B.V.;2;;;;2
Farnell (Netherlands) B.V.;1;;;;1
Farwick Groenspecialisten;4;;;;4
FEDIMMO;4;;;;4
Fidato B.V.;1;;;;1
FietsNED B.V.;1;;;;1
Fleurop-Interflora Nederland B.V.;3;;;;3
Flevo Landscaping B.V.;3;;;;3
Florisse De Maas B.V.;2;;;;2
Formido Bouwmarkten B.V.;1;;;;1
Frisia Bergum B.V.;3;;;;3
Frisse Lucht B.V.;1;;;;1
Fudura B.V.;1;3;;;3
Fugro NL Land B.V.;1;;;;1
Fujitsu Technology Solutions B.V.;;;;6;6
G&Z Groep B.V.;2;;;;2
Gasned B.V.;;1;;;1
Geijtenbeek B.V.;1;;;;1
Geotherm E.S.;1;;;;1
Gerritse IJzerwaren;1;;;;1
Gispen Groningen;1;;;;1
Glasservice Friesland B.V.;1;;;;1
GLOBAL IMAGINATION;2;;;;2
Gouweloos Elektrotechniek B.V.;1;;;;1
