Verkiezing		Provinciale Staten Zuid-Holland 2019																																																																		
Datum		20-3-2019																																																																		
Gebied		Gemeente Dordrecht																																																																		
Nummer		505																																																																		
																																																																				
Lijstnummer	Aanduiding	Volgnummer	Naam kandidaat	Totaal	Stadhuis	Stadskantoor	't Zeepaert	Centrum Stapal	Dordrechts Museum	't Klockhuys, bij toren Grote Kerk	School Vest	Hogeschool InHolland	Energiehuis	Centraal Station, Portacabin op bordes	School Noordhove	Gebouw De Driesprong	Zorgcentrum De Linde	Kerkgebouw Pinkstergemeente	Dordtse Vrije School	School De Repelaer	Sportcomplex Sport+	Wantijschool	School De Regenboog	Zorgcentrum Merwelanden	Prinses Julianaschool	Prinsemarij	Gebouw Dorswedo	Prins Bernhardschool	Het Weizigt NMC	School De Fontein	Het Waterwiel	Speeltuin Zeehavenkwartier	Wijkcentrum De Admiraal	Wooncentrum Watersteijn	Postillion Hotel	Wooncentrum De Klockelaer	J.F. Kennedyschool	Trefpunt de Nieuwe Stoof	Zorgcentrum Vreedonk	Bewonersvereniging 't Trefpunt	Winkelcentrum Sterrenburg	Cultureel Centrum Sterrenburg	Albert Schweitzerziekenhuis, Dordtwijk	Verpleeghuis De Sterrenlanden	Polyanderschool	School De Driehoek	Portacabin Eulerlaan	Gymzaal Ockenburg	Ontmoetingskerk	School De Meridiaan	School Het Kristal Dependance	School Het Kristal	Verzorgingshuis Dubbelmonde	Beatrixschool, de boerderij	Verpleeghuis Het Parkhuis	Postduivenvereniging 'De Luchtbode'	OBS Dubbeldam	De Gravenhorst	Hotel De Watertoren	School De Griffioen	Lucina Verloskundigenpraktijk	Geert Grooteschool	Wielborgh, Het Polderwiel	Portacabin Parkeerplaats Stadspolderring	Kandelaarkerk	Speeltuin Stadspolders	School De Bever	Johan Frisoschool Dependance
Gebiednummer					1	2	3	4	5	6	7	8	9	10	14	15	17	19	20	22	23	26	27	29	33	34	36	37	38	42	50	51	52	54	55	60	61	65	66	70	71	72	73	74	75	76	77	78	81	82	83	84	91	93	94	95	96	97	98	102	103	105	106	107	109	110	111	112
Postcode					3311 CR	3311 GR	3311 BT	3311 TV	3311 XP	3311 CJ	3311 LG	3311 KB	3311 RR	3311 JV	3312 EP	3312 GD	3312 GT	3312 AM	3312 NB	3312 LN	3312 KJ	3313 GL	3313 BN	3313 EM	3314 KT	3314 JR	3314 GR	3314 WZ	3314 BH	3314 TN	3317 NJ	3317 ZV	3317 BC	3317 NV	3316 EH	3317 JR	3317 KM	3317 LA	3317 HS	3318 JJ	3318 JW	3318 CB	3318 AT	3328 HN	3328 GD	3328 KG	3328 KC	3328 TG	3328 DN	3328 AE	3328 VC	3328 ME	3319 PH	3319 EL	3319 GB	3319 ET	3319 SC	3319 PK	3319 LC	3315 AE	3315 TD	3315 SB	3315 KA	3315 CK	3315 KW	3315 TR	3315 MB	3315 WX
	opgeroepenen			89488	1978	2022	783	1343	1414	677	1545	1530	1705	2414	1136	1781	1876	921	1282	1333	410	1187	1008	1045	1112	2329	1690	1306	1203	1855	1237	309	1192	964	603	1080	1123	1483	1035	1294	1361	1568	1263	1495	1064	1343	1163	746	2345	1543	717	1778	2163	1618	2300	410	1825	1531	1095	1854	1447	2149	2390	1630	968	1018	1934	1565
	geldige stempas			41555	1119	1113	419	682	690	339	738	311	660	1031	496	832	995	398	602	704	176	506	438	504	494	1006	827	598	562	661	486	138	481	475	289	477	475	629	484	583	852	728	531	755	467	764	363	341	1145	703	333	842	1010	731	878	377	821	756	710	784	707	997	1146	783	529	499	866	719
	geldig volmachtbewijs			4615	98	151	44	69	67	39	106	35	91	76	49	96	108	53	57	73	21	72	35	43	74	134	0	77	65	78	45	36	77	63	31	33	53	53	43	66	88	67	56	86	65	87	49	30	117	77	26	93	123	101	123	39	107	76	95	102	85	123	90	104	46	56	99	94
	geldige kiezerspas			30	0	5	3	0	0	2	0	0	0	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	3	0	0	1	0	1	0	0	0	0
	toegelaten kiezers			46200	1217	1269	466	751	757	380	844	346	751	1111	545	930	1103	451	659	777	198	578	473	547	568	1140	827	675	627	740	531	174	558	538	321	510	528	683	527	649	941	795	587	841	532	851	412	371	1263	780	359	935	1133	834	1001	416	928	833	808	886	792	1121	1236	888	575	555	965	813
	geldige stembiljetten			45997	1212	1260	466	744	752	380	840	346	748	1103	544	925	1099	450	656	772	197	579	468	547	560	1135	824	671	624	758	550	173	553	533	321	504	524	673	528	647	928	789	584	834	533	846	410	368	1261	778	359	936	1125	830	994	415	924	826	804	881	790	1110	1226	881	572	552	964	811
	blanco stembiljetten			107	2	3	0	3	5	1	2	0	1	4	1	1	2	0	1	0	1	0	4	0	5	2	3	2	1	3	3	0	0	2	0	3	0	3	0	2	5	0	0	5	0	4	1	1	1	1	0	1	1	3	4	0	1	1	2	3	0	7	1	2	0	2	1	0
	ongeldige stembiljetten			145	3	3	0	4	0	0	2	0	2	4	0	2	2	1	2	3	0	0	1	0	3	3	1	3	2	4	6	1	5	3	0	5	4	6	0	1	2	6	3	8	0	1	1	1	1	0	0	2	6	1	5	1	3	3	2	2	2	4	4	5	3	1	1	1
