UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
UPL-naam nog niet beschikbaar,http://standaarden.overheid.nl/owms/terms/UPL-naam_nog_niet_beschikbaar,X,X,X,X,,,,,,,,,,,,,,
aangifte vertrek buitenland,http://standaarden.overheid.nl/owms/terms/AangifteVertrekBuitenland,X,,,X,X,,,D1,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_43,Artikel 2.43 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=5&artikel=2.43
aanleunwoning,http://standaarden.overheid.nl/owms/terms/aanleunwoning,,,,X,X,,,,,,,,,,,,,
aanpassing zelfgebouwd vliegtuig melding,http://standaarden.overheid.nl/owms/terms/aanpZelfbVliegtMeld,X,,,,X,,,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/RegAmLuchtv_art_7,Artikel 7 Regeling amateurbouwluchtvaartuigen,https://wetten.overheid.nl/jci1.3:c:BWBR0013494&Paragraaf=4&artikel=7
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_125,Artikel 125 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=125
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/PW_art_122,Artikel 122 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=122
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_61,Artikel 61 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=IX&Paragraaf=4&artikel=61
aansprakelijkstelling overheid,http://standaarden.overheid.nl/owms/terms/aansprStOverh,,X,X,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_6_art_162,Artikel 162 Burgerlijk Wetboek Boek 6,https://wetten.overheid.nl/jci1.3:c:BWBR0005289&boek=6&titeldeel=3&afdeling=1&artikel=162
aanvullende beurs kwijtschelding,http://standaarden.overheid.nl/owms/terms/aanvBeursKwijtsch,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_6_2,Artikel 6.2 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=6&Paragraaf=6.1&artikel=6.2
aanvullende inkomensvoorziening ouderen,http://standaarden.overheid.nl/owms/terms/aanvInkVzOuder,X,,,,X,,,B9,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_47a,Artikel 47a Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=5&Paragraaf=5.4&artikel=47a
