"Stadsdeel","Naam","Adres","Postcode","Plaats","Telefoonnummer","E-mailadres","Website","Type","Aantal hallen","Naam gebiedsgerichtwerkengebied","Vastgoedeigendom (incl. erfpacht/opstal)","Exploitatie","Verhuuradministratie","x","y"
"Nieuw-West","Sportcomplex Amsterdam Pirates","Herman Bonpad 5","1067 SN","Amsterdam","020-6162151","communicatie@amsterdampirates.nl","www.bpsports.center","Sporthal","1","Osdorp","Sportvereniging Pirates","Sportvereniging Pirates","Sportvereniging Pirates","4,79847299","52,36662879"
"Oost","Tennishal TV Tie-Breakers","Valentijnkade 132","1095 KH","Amsterdam","020-6683784","robbert@tiebreakers.nl","www.tiebreakers.nl","Sporthal","1","Indische Buurt, Oostelijk Havengebied","Tennisvereniging Tie-Breakers","Tie-Breakers","Tie-Breakers","4,95434169","52,35913146"
"Oost","Tennishal A.S.T.V. Chip & Charge","Radioweg 80A","1098 NJ","Amsterdam","020-5258932","bestuur@chipencharge.nl","www.chipencharge.nl","Sporthal","1","Watergraafsmeer","Gemeente Amsterdam","Chip & Charge","Chip & Charge","4,94757924","52,34765569"
"Oost","Sporthal en schiethal APGS","Ouderkerkerdijk 150","1096 CR","Amsterdam","088-1690969","apgs.amsterdam@gmail.com","www.apgs-amsterdam.nl","Sporthal","1","Watergraafsmeer","Politie","APGS","APGS","4,9054468","52,3276652"
"Zuidoost","Amstelborgh/Borchland","Borchlandweg 6-10","1114 BD","Duivendrecht","020-5633333","info@borchland.nl","www.borchland.nl","Sporthal","1","","Amstelborgh/Borchland BV","Amstelborgh/Borchland BV","Amstelborgh/Borchland BV","4,9276264","52,31582756"
"Oost","Amstelcampus","Tweede Boerhaavestraat 10","1091 AN","Amsterdam","020-5258075","info@usc.uva.nl","www.usc.uva.nl","Sporthal","1","Oud-Oost","Universiteit van Amsterdam","USC","USC","4,91002045","52,35863353"
"Zuid","Apollohal","Apollolaan 4","1077 BA","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","www.amsterdam.nl/sport/sporthallen/apollohal/","Sporthal","1","Oud-Zuid","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,88444373","52,34806995"
"Zuidoost","Bijlmer Sportcentrum","Anton de Komplein 157","1102 DR","Amsterdam","020-6973220","infobijlmersportcentrum@optisport.nl","www.optisport.nl/bijlmersportcentrum","Sporthal","1","Bijlmer-Centrum, Amstel III","Gemeente Amsterdam","Optisport","Optisport","4,95762875","52,31527429"
"Zuid","Frans Otten stadion","IJsbaanpad 43","1076 CV","Amsterdam","020-6628767","info@fransottenstadion.nl ","www.fransottenstadion.nl","Sporthal","2","Oud-Zuid","Internationale Tennisclub Amsterdam B.V.","Frans Otten stadion","Frans Otten stadion","4,850591","52,33911327"
"Noord","Friendship Sports Centre","Beemsterstraat 652","1027 ED","Amsterdam","020-3331234","info@friendshipsc.nl","www.friendshipsc.nl","Sporthal","1","Noord-Oost","Stichting Friendship Sports Centre","Stichting Friendship Sports Centre","Stichting Friendship Sports Centre","4,95984695","52,40025203"
"West","Hogendorp Sportcentrum","Van Hogendorpstraat 921","1051 CE","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/hogendorp/","Sporthal","2","Westerpark","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,86758379","52,38164722"
