OBJECTID_1,OBJECTID,GEBIEDNR,WINKELGEB,type,Verkooppnt,m2_wvo,Dag,Niet_dag,Leegstand,factsheet,Shape_Leng,labelSPSS,Shape__Area,Shape__Length
1,1,2.11,Parijsplein,Wijkwinkelcentrum klein,11,3236,80.0371,19.9629,0,https://denhaag.maps.arcgis.com/sharing/rest/content/items/1d921efff56b4c8e816d2d2943289000/data,390.572729219,46,6978.01806259155,390.572729219119
2,2,7.6,Willem Royaardsplein,Wijkwinkelcentrum klein,9,2098,91.3727,8.6273,0,https://denhaag.maps.arcgis.com/sharing/rest/content/items/bd22ebfd02b44f4d9c991fbcdb48076f/data,351.782890537,67,4609.70774459839,351.782890536979
3,3,4.7,Tesselseplein,Buurtcentrum,8,1228,82.0847,5.7003,12.215,https://denhaag.maps.arcgis.com/sharing/rest/content/items/4390fd28de3c49429f684b702b9f97df/data,464.666158063,57,2273.53213500977,464.666158063482
4,4,1.7,Waldeck,Wijkwinkelcentrum groot,25,5593,55.1582,44.8418,0,https://denhaag.maps.arcgis.com/sharing/rest/content/items/7fcc045bbc484e95b201c45fae01dc74/data,1141.47626415,64,7321.80498313904,1141.47626415113
5,5,3.1,Appelstraat/Vlierboomstraat,Wijkwinkelcentrum groot,37,3785,20.8719,70.1453,8.9828,https://denhaag.maps.arcgis.com/sharing/rest/content/items/ebe6951104c749a6b0542ee3abec0257/data,2789.87054288,5,12893.7995491028,2789.87144678146
6,6,2.9,Leyenburg,Wijkwinkelcentrum klein,17,3630,80.7989,19.2011,0,https://denhaag.maps.arcgis.com/sharing/rest/content/items/6a84d57871a041ea93e0d5f2993194b5/data,604.429360976,37,5018.8684463501,604.429360975945
7,7,3.4,Goudsbloemlaan,Wijkwinkelcentrum klein,16,3162,87.4447,10.6578,1.8975,https://denhaag.maps.arcgis.com/sharing/rest/content/items/6f39ac8df9f349f7a973067645c36717/data,792.396067536,23,4113.82819747925,792.396067536109
8,8,3.2,Fahrenheitstraat/Thomsonlaan,Stedelijke winkelstraat,96,11549,26.7036,60.7758,12.5206,https://denhaag.maps.arcgis.com/sharing/rest/content/items/ee5db4cb740f4e40b0466ab0c9b0e9d0/data,4263.83820892,18,21606.9174041748,4263.84051299477
9,9,5.10,Zeeheldenkwartier,Stedelijke winkelstraat,92,11354,47.4987,41.6769,10.8244,https://denhaag.maps.arcgis.com/sharing/rest/content/items/234fad7f81364899bb6195e3043028f9/data,6040.94276504,69,36529.0648574829,6040.94044619454
10,10,5.14,Frederikstraat/Denneweg,Stedelijke winkelstraat,121,10307,7.1408,79.6158,13.2434,https://denhaag.maps.arcgis.com/sharing/rest/content/items/aa1e0253e73c4636a3bb28d1e202a24d/data,5316.21230929,20,27842.4737930298,5316.21372290636
11,11,5.1,Bankastraat,Wijkwinkelcentrum klein,20,2116,79.9149,20.0851,0,https://denhaag.maps.arcgis.com/sharing/rest/content/items/88f43811ecbf499a9abc74050c75b3d2/data,1107.53141356,7,4400.46496200562,1107.53099727872
12,12,2.5,De Stede,Wijkwinkelcentrum klein,24,6965,75.865,20.1149,4.0201,https://denhaag.maps.arcgis.com/sharing/rest/content/items/72aaca6b02634378b56d9094c24bea82/data,953.886518049,14,9700.18091964722,953.886518048741
13,13,2.3,Betje Wolffstraat,Wijkwinkelcentrum groot,31,3380,57.3669,29.6154,13.0178,https://denhaag.maps.arcgis.com/sharing/rest/content/items/fd847190bea24ba8924c7b50766cde21/data,1121.59995901,8,6870.03395080566,1121.59995900621
