Stadsdeel,Naam,Adres,Postcode,Plaats,Omschrijving,Telefoonnummer,E-mailadres,Website,Type,Scheidingswand,Beheer,Toegankelijk mindervaliden,Voorzieningen mindervaliden,Bijzonderheden,Gebiedsgerichtwerkengebied
Zuid,Boksschool Albert Cuyp,Albert Cuypstraat 241,1073 BH,Amsterdam,Boksteam VBSK Albert Cuyp,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/sportverhuur/,bokszaal,,Sport en Bos,,,,"De Pijp, Rivierenbuurt"
West,Bokszaal Hogendorp Sportcentrum,Van Hogendorpstraat 921,1051 CE,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,bokszaal,,Sport en Bos,,,,Westerpark
Zuid,Dojo Blaashal Gustav Mahler,Gustav Mahlerlaan 2920,1081 LA,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"Buitenveldert, Zuidas"
Oost,Dojo Centrum voor Vrije Tijd,Ed Pelsterpark 6,1087 EJ,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"IJburg, Zeeburgereiland"
West,Dojo Hogendorp Sportcentrum,Van Hogendorpstraat 921,1051 CE,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,Westerpark
West,Dojo Laan van Spartaan,Rinus Michelslaan 26,1061 MB,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,Bos en Lommer
Nieuw-West,Dojo Sportcentrum Caland,Eliza van Calcarstraat 2,1068 RR,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,Osdorp
Zuid,Dojo Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072 RD,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"De Pijp, Rivierenbuurt"
Nieuw-West,Dojo Sportcentrum Sloten,Sloterweg 1043T,1066 CC,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"De Aker, Sloten, Nieuw-Sloten"
Zuidoost,Dojo Sporthal Gaasperdam,Ravenswaaipad 5,1106 AW,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"Gaasperdam, Driemond"
Oost,Dojo Sporthal IJburg,Pampuslaan 1,1087 HP,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,dojo,,Sport en Bos,,,,"IJburg, Zeeburgereiland"
Oost,Dojo/bokszaal Sporthal Wethouder Verheij,Polderweg 300,1093 KP,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,bokszaal,,Sport en Bos,,,,Oud-Oost
Noord,Gymzaal Adelaarsweg 113,Adelaarsweg 113,1021 BZ,Amsterdam,Vogelnest/Kinderboom,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Oud-Noord
Nieuw-West,Gymzaal Akersluis 1B,Akersluis 1B,1066 ER,Amsterdam,Basisschool Het Bovenland,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,"De Aker, Sloten, Nieuw-Sloten"
Zuidoost,Gymzaal Alexander Dumaslaan 17,Alexander Dumaslaan 17,1102 WD,Amsterdam,De Schakel,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Bijlmer-Centrum, Amstel III"
Zuid,Gymzaal Antonio Vivaldistraat 15,Antonio Vivaldistraat 15,1083 HP,Amsterdam,Kindercampus Zuidas,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Buitenveldert, Zuidas"
Zuid,Gymzaal Arent Janszoon Ernststraat 112,Arent Janszoon Ernststraat 112,1082 LP,Amsterdam,MFA Binnenhof (Merkelbach en AICS),020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Buitenveldert, Zuidas"
Oost,Gymzaal Balistraat 79,Balistraat 79,1094 JE,Amsterdam,De Indische Buurtschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Indische Buurt, Oostelijk Havengebied"
Oost,Gymzaal Bankastraat 18,Bankastraat 18,1094 ED,Amsterdam,De Indische Buurtschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Indische Buurt, Oostelijk Havengebied"
Oost,Gymzaal Bert Haanstrakade 2000,Bert Haanstrakade 2000,1087 HR,Amsterdam,Basisschool De Archipel,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,"IJburg, Zeeburgereiland"
Oost,Gymzaal Borneokade 103,Borneokade 103,1019 KZ,Amsterdam,8e Montessori Zeeburg,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Indische Buurt, Oostelijk Havengebied"
Noord,Gymzaal Braeburnstraat 1,Braeburnstraat 1,1036 LD,Amsterdam,IKC Noordrijk,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,AED,Noord-West
Noord,Gymzaal Breedveld 7,Breedveld 7,1025 PZ,Amsterdam,Buikslotermeerschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-Oost
Oost,Gymzaal C. van Eesterenlaan 50,C. van Eesterenlaan 50,1019 JN,Amsterdam,Het Gouden Ei,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Indische Buurt, Oostelijk Havengebied"
Noord,Gymzaal Chrysantenstraat 28,Chrysantenstraat 28,1031 HT,Amsterdam,De IJsbreker,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Oud-Noord
West,Gymzaal Corantijnstraat 9,Corantijnstraat 9,1058 DA,Amsterdam,Corantijn,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Oud-West, De Baarsjes"
Noord,Gymzaal Dorpsweg Ransdorp 31,Dorpsweg Ransdorp 31,1028 BK,Amsterdam,De Weidevogel,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-Oost
Zuidoost,Gymzaal EGoli 6,EGoli 6,1103 AC,Amsterdam,Bijlmerhorst,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,AED,Bijlmer-Oost
Oost,Gymzaal Faas Wilkesstraat 453,Faas Wilkesstraat 453,1095 MD,Amsterdam,IKC Zeeburgereiland,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,"ja, lift",,AED,"IJburg, Zeeburgereiland"
Zuid,Gymzaal Fred. Roeskestraat 94B,Fred. Roeskestraat 94B,1076 ED,Amsterdam,British School,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Buitenveldert, Zuidas"
Oost,Gymzaal Galileïplantsoen 39,Galileïplantsoen 39,1098 LW,Amsterdam,5e Montessorischool Watergraafsmeer,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,Watergraafsmeer
Noord,Gymzaal Gedempte Insteekhaven 85,Gedempte Insteekhaven 85,1021 RA,Amsterdam,IJplein,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Oud-Noord
Zuidoost,Gymzaal Geerdinkhof 694,Geerdinkhof 694,1103 RP,Amsterdam,Wereldwijs,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,Bijlmer-Oost
Zuid,Gymzaal Heinzestraat 9,Heinzestraat 9,1071 SK,Amsterdam,Peetersschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Oud-Zuid
Zuidoost,Gymzaal Holendrechtplein 41,Holendrechtplein 41,1106 LP,Amsterdam,Holendrechtschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Gaasperdam, Driemond"
Noord,Gymzaal Houdringe 2,Houdringe 2,1025 BA,Amsterdam,De Piramide,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-Oost
Zuidoost,Gymzaal Huntum 15A,Huntum 15A,1102 JA,Amsterdam,Rozemarn,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,AED,"Bijlmer-Centrum, Amstel III"
Oost,Gymzaal J.F. van Hengelstraat 100,J.F. van Hengelstraat 100,1019 DC,Amsterdam,Achthoek,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,,"Indische Buurt, Oostelijk Havengebied"
Oost,Gymzaal James Wattstraat 10,James Wattstraat 10,1097 DM,Amsterdam,Het Spectrum,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Watergraafsmeer
Oost,Gymzaal John Hadleystraat 2,John Hadleystraat 2,1086 WB,Amsterdam,Montessorischool Steigereiland,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,,"IJburg, Zeeburgereiland"
Noord,Gymzaal Kampina 5,Kampina 5,1025 DD,Amsterdam,11e Montessori Boven 't IJ,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-Oost
Zuidoost,Gymzaal Kantershof 634,Kantershof 634,1104 HJ,Amsterdam,Basisschool Samenspel,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,Bijlmer-Oost
West,Gymzaal Lanseloetstraat 45,Lanseloetstraat 45,1055 BC,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Bos en Lommer
Zuid,Gymzaal Lekstraat 35,Lekstraat 35,1079 EM,Amsterdam,Basisschool De Rivieren,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"De Pijp, Rivierenbuurt"
Nieuw-West,Gymzaal Louis Davidsstraat 103,Louis Davidsstraat 103,1068 SJ,Amsterdam,De Ichthusschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Osdorp
Zuidoost,Gymzaal Mijehof 300,Mijehof 300,1106 HW,Amsterdam,Basisschool De Brink,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Gaasperdam, Driemond"
Noord,Gymzaal Molenwijk 8,Molenwijk 8,1035 EE,Amsterdam,De Krijtmolen,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-West
Nieuw-West,Gymzaal Ottho Heldringstraat 204 T,Ottho Heldringstraat 204 T,1066 AZ,Amsterdam,Einsteinschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,Slotervaart
Centrum,Gymzaal Palmstraat 13,Palmstraat 13,1015 HP,Amsterdam,Vinse school,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Centrum-West
Noord,Gymzaal Pandorinastraat 7A,Pandorinastraat 7A,1035 VR,Amsterdam,Basisschool 't Twiske,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-West
