OBJECTID;ADRES;ADRES_TYPE;SOORTADRES;OPENBARERUIMTENAAM;HUISNUMMER;HUISLETTER;TOEVOEGING;POSTCODE;GEBRUIKSDOEL;BUURTNAAM;WIJKNAAM;STADSDEELNAAM;WOONPLAATSNAAM;BAG_ID_VERBLIJFSOBJECT;BAG_ID_ADRES;BAG_ID_PAND;VVE;AARD_ZAKELIJKRECHT;CULTUURBEBOUWD;KADAANDUIDING_APPARTEMENTSRECHT;SPLITSINGSTYPE;ONTSTAANUIT_SPLITSING;KADAANDUIDING_PERCELEN;KADCONTROLE;X;Y;LONG;LAT
10;Torenstraat 93 2513BP 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;93;;;2513BP;winkelfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000577150;0518200000577149;0518100000281181;Vereniging Van Eigenaars Torenstraat 89,90,91 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 5983 A 1;Hoofdsplitsing;;GVH00 C 4572 P ;1;80746.60500000045;455055.76300000027;4.303994905639641;52.078792109160176
11;Torenstraat 91A 2513BP 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;91;A;;2513BP;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000884517;0518200000884516;0518100000281181;Vereniging Van Eigenaars Torenstraat 89,90,91 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 5983 A 2;Hoofdsplitsing;;GVH00 C 4572 P ;1;80750.80799999833;455054.1009999998;4.304056570181456;52.078777736798834
12;Torenstraat 89A 2513BP 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;89;A;;2513BP;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000884724;0518200000884723;0518100000281181;Vereniging Van Eigenaars Torenstraat 89,90,91 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 5983 A 2;Hoofdsplitsing;;GVH00 C 4572 P ;1;80752.87799999863;455056.8189999983;4.304086170602997;52.07880244036819
13;Torenstraat 89 2513BP 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;89;;;2513BP;winkelfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000414939;0518200000414938;0518100000281181;Vereniging Van Eigenaars Torenstraat 89,90,91 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 5983 A 2;Hoofdsplitsing;;GVH00 C 4572 P ;1;80756.1240000017;455053.47100000083;4.304134243734833;52.0787727879735
14;Torenstraat 91 2513BP 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;91;;;2513BP;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000414941;0518200000414940;0518100000281181;Vereniging Van Eigenaars Torenstraat 89,90,91 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 5983 A 2;Hoofdsplitsing;;GVH00 C 4572 P ;1;80752.43100000173;455054.19000000134;4.304080223056708;52.07877875425536
15;Westeinde 187A 2512GX 's-Gravenhage;Verblijfsobject;Hoofdadres;Westeinde;187;A;;2512GX;industriefunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000742199;0518200000742198;0518100000271256;Vereniging Van Eigenaren Westeinde 187a/187b Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6029 A 3;Hoofdsplitsing;;GVH00 C 5096 P ;1;80574.54600000009;454696.00400000066;4.301563820443241;52.07553594481191
16;Westeinde 187B 2512GX 's-Gravenhage;Verblijfsobject;Hoofdadres;Westeinde;187;B;;2512GX;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000854809;0518200000854808;0518100000271256;Vereniging Van Eigenaren Westeinde 187a/187b Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6029 A 4;Hoofdsplitsing;;GVH00 C 5096 P ;1;80574.54600000009;454696.00400000066;4.301563820443241;52.07553594481191
17;Westeinde 187C 2512GX 's-Gravenhage;Verblijfsobject;Hoofdadres;Westeinde;187;C;;2512GX;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000854807;0518200000854806;0518100000271256;Vereniging Van Eigenaren Westeinde 187a/187b Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6029 A 5;Hoofdsplitsing;;GVH00 C 5096 P ;1;80574.54600000009;454696.00400000066;4.301563820443241;52.07553594481191
18;Pieter van den Zandestraat 19 2513TL 's-Gravenhage;Verblijfsobject;Hoofdadres;Pieter van den Zandestraat;19;;;2513TL;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000373481;0518200000373480;0518100000274406;Vereniging Van Eigenaren Pieter Van Der Zandestraat 19,21,23 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6030 A 1;Hoofdsplitsing;;GVH00 C 5808 P ;1;80545.01300000027;454944.3530000001;4.301078903547541;52.07776382481819
19;Pieter van den Zandestraat 21 2513TL 's-Gravenhage;Verblijfsobject;Hoofdadres;Pieter van den Zandestraat;21;;;2513TL;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000474315;0518200000474314;0518100000274406;Vereniging Van Eigenaren Pieter Van Der Zandestraat 19,21,23 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6030 A 2;Hoofdsplitsing;;GVH00 C 5808 P ;1;80545.01300000027;454944.3530000001;4.301078903547541;52.07776382481819
