Leveranciers;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Atos Nederland B.V.;6;;8;9
Axez ICT Solutions B.V.;5;;;5
Barendsen Import-Export Aalsmeer;;;1;1
Between B.V.;;;7;7
Capgemini N.V.;;;6;6
Cm.Telecom Breda;;1;;1
COMPAREX Nederland B.V.;7;;3;7
De Staffing Groep Nederland B.V.;;;7;7
Digicel Paramaribo;;1;;1
DXC Technology;;;2;2
Entopic Expert Services B.V.;;;1;1
Gartner Amsterdam;;;4;4
Harvey Nash IT Consulting N.V.;;;2;2
HeadFirst B.V.;;;5;5
Microsoft B.V.;;;7;7
NFGD Zoetermeer B.V.;;;1;1
Oclc Pica, B.V. Leiden;;;1;1
OnlyHuman Groep B.V.;;;2;2
Oracle Nederland;6;;;6
Orange Business Netherlands B.V.;;;9;9
Orange Rosh Ha'Ayin;;1;;1
P & A Software B.V.;1;;;1
Pardon Consult;;;1;1
PBLQ B.V.;;;2;2
Planon B.V.;3;;4;4
PointLogic HR B.V.;;;2;2
Protinus IT B.V.;2;;;2
QuoVadis Trustlink B.V.;2;;;2
Ripe Ncc Network Coordination Centr;;;1;1
Rubicon Bv Consulting En Technology;3;;;3
Schut-Copex B.V.;;;1;1
Schutten It Bv Voorschoten;3;;;3
Sectra Communications B.V.;;5;;5
SoftwareONE B.V.;7;;;7
Telefonica Brasil S.A. Sao Paulo;;1;;1
Telenor Magyarorszag Zrt. Torokbali;;1;;1
Transip B.V.;1;;1;1
Van Slobbe B.V.;;;1;1
VerversAdvies B.V.;;;3;3
Virtual Sciences Solutions B.V.;2;;;2
Visuall;1;;;1
Vodafone Eindhoven;;2;;2
Vodafone Maastricht;;7;2;7
Eindtotaal;8;7;10;10
