leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3-uitbesteden
Argus Etiketten;;;1;1
Arvato Services Nederland;;7;;7
Bas van Horn;;1;;1
Clock Studio's;;1;;1
Direct Research;;1;;1
Duijf Project en Design Management;;3;;3
Entopic;;2;;2
Facilion;;1;;1
Headfirst;;2;;2
Het NIC - Nederlands Inkoop Centrum;2;;;2
Informaat;;6;;6
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;1;;1
KPMG;;2;;2
KPN (incl. Getronics, PTT Telecom);2;;;2
La Lanterna Restaurant Pizzeria;;1;;1
Live Media Facilities;;1;;1
Ordina (incl. Be Value, Clockwork);;4;;4
PBLQ (HEC, ROI, Zenc);;1;;1
Pix Software Benelux;;2;;2
Prisma;;4;;4
Public Partners;;2;;2
Sodexo;5;;;5
Trifork vh Orange11 vh Dutchwork/JWT;;6;;6
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;1;;1
Westmedia Production;;1;;1
Eindtotaal;5;7;1;7
