Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;;2;;;;2
2KNOWHOW, art of change B.V.;;;;;;1;;;;1
3-R's Training Centre B.V.;;;;;;1;;;;1
4Meetings & Events;;;;;;1;;;;1
50+ Carrière B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;3;;;;3
7habits B.V.;;;;1;;;;;;1
A.J. catering & Meer;;;;;;1;;;;1
a.t. werkt;;;1;;;;;;;1
A.V. Webwinkels;;;;1;;;;;;1
Aan de Linde;;;;1;;;;;;1
Aards;;;;;1;;;;;1
Aarhus University;;;;;;1;;;1;1
Abrikoos Utrecht B.V.;;;;1;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academie voor Organisatiecultuur B.V.;;;;;;2;;;;2
Academy of European Law;;;;;;1;;;;1
Academy Payroll Professionals;;;;;;1;;;;1
Achmea Pensioen- en Levensverzekeringen N.V.;;;;;;;;;1;1
Acte De Présence;;;;;;1;;;;1
Adecia;;;;;;;;;2;2
Adver-Online B.V.;;;;;;1;;;;1
Adviseurs, Acteurs en Art in Bedrijf;;;;;;2;;;;2
Aeclipse;;;;;1;;;;;1
Aediles;;;;1;;;;;;1
Afas Software B.V.;;;;;;1;;;;1
AG Connect B.V.;;;;;;1;;;;1
Agency for Agricultural Markets and Rural Development (AKTRP);;;;;;;;;2;2
Agile Scrum Group B.V.;;;;;;1;;;;1
Agnita Twigt B.V.;;;;;;1;;;;1
Agrio Uitgeverij B.V.;;;;;;1;;;;1
Ahrend Nederland B.V.;;;2;;;;;;;2
AimAtArt;;;;;1;;;;;1
Aimed Solutions B.V.;;;;;;1;;;;1
Ai-Opener;;;;;;1;;;;1
Alba-academie;;;;;;1;;;;1
Albion Services;;;;;;;;;1;1
Albron Nederland B.V.;;;;1;;;;;;1
Alert Management Consultants;;;;;;1;;;;1
Alliance for Water;;;;;;;;;1;1
Alpha Talen;;;;;;1;;;;1
ALZU Coaching;;;;1;;;;;;1
Amateurtuindersvereniging 'Eigen Arbeid';;;;1;;;;;;1
Amaze Escape Events;;;;1;;1;;;;1
Amberwin;;;;;;1;;;;1
Amsterdam Center for Integrity and Leadership;;;;;;1;;;;1
Amsterdams ADR Instituut B.V.;;;;;;2;;;;2
Amsterdamse Carri�re Dagen;;;;;1;;;;;1
AnalitiQs B.V.;;;;;;1;;;;1
Andriessen & Partners B.V.;;;;;;1;;;;1
Anker & Kompas;;;;;;1;;;;1
Antea Nederland B.V.;;;;;;1;;;;1
AOG Contractonderwijs B.V.;;;;;;2;;;;2
Arab. Translation Service;;;;1;;;;;;1
Arbo Unie B.V.;;;1;;;;;;;1
ArboVitale B.V.;;;6;;;1;;;;6
ARCADIS Nederland;;;;;;;;;1;1
Arcgis Gebruikersgroep Nederland;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;;4;;;;4
Ardis Organisatieontwikkeling B.V.;;;2;;;2;;;;2
Array Media B.V.;;;;;;1;;;;1
Arriva Touring;;;;1;;;;;;1
Arsenaal Woerden B.V.;;;;1;;;;;1;1
Art 4 You Decorations;;;;;1;;;;;1
ARTHA training&coaching B.V.;;;;;;1;;;;1
Artiestenburo Rotterdam;;;;1;;;;;;1
Ass. Par. d'Eleves du Lycee Fr. V. v. Gogh;;1;;;;;;;;1
Aston University;;;;;;1;;;;1
Ateliers voor Vernieuwing;;;;;;1;;;;1
Athena Positionering BV;;;;;;1;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Athlon Car Lease Nederland;1;;;;;;;;;1
ATIM Opleidingen B.V.;;;;;;1;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;;1;;;;1
Atos Nederland B.V.;2;;;;;1;;;;2
ATP Business Travel B.V.;;;;;;;;;3;3
Auditconnect B.V.;;;;;;1;;;;1
August;;;;1;;;;;;1
Austrian Research Promotion Agency (FFG);;;;;;1;;;;1
Automotive Publishing B.V.;;;;;;1;;;;1
Autoverhuurbedrijf Ad Rem B.V.;;;;;;;;;1;1
Avance IT Professionals B.V.;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
Aviodrome Exploitatie B.V.;;;;1;;;;;;1
AVL E-Style;;;;1;;;;;;1
A-Way Events & Wellness B.V.;;;;1;;;;;;1
Axion Transformatie & Coaching;;;;;;1;;;;1
Axis into Management B.V.;;;;;;1;;;;1
B & T Productions;;;;1;;;;;;1
B.P.D. VOF;;;;1;;;;;;1
B.U. Consultancy;;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;;;2;;;1;2
B2Match GmbH;;;;;;1;;;;1
Babycompany.nl;;;;1;;;;;;1
Baker Tilly Berk Den Haag;4;;;;;;;;;4
Bakker Van Maanen Productie B.V.;;;;1;;;;;;1
Bakkerij Bekkers Eindhoven;;;;;;;;;1;1
Bakkerij Filius;;;;;;;;;1;1
Bakkerij Schuurmans;;;;1;;;;;;1
Bakkerij van Esch;;;;1;;;;;;1
Balans & Impuls B.V.;;;1;;;;;;;1
Banierhuis B.V.;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij Borgman;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Plasman;;;;1;;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;;1;;;;;;1
Bar Restaurant Partycentrum Tout Le Monde;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;;;;1
Barcelona Graduate School of Economics;;;;;;1;;;;1
Bartolomeus Productions;;;;1;;;1;;;1
Basaal;;;;1;;;;;;1
BB Coaching;;;1;;;;;;;1
BCM Academy B.V.;;;;;;1;;;;1
Beach Professionals B.V.;;;;1;;;;;;1
Beachclub @sea B.V.;;;;1;;;;;;1
Beachclub De Karavaan;1;;;;;;;;;1
Beachclub Indigo B.V.;;;;1;;;;;;1
Bedrijvenpark Nederland B.V.;;;;;;;;;1;1
Behr Groep Nederland B.V.;;;;;;1;;;;1
Belarto Nederland B.V.;;;;1;;;;;;1
Belevenisboerderij Oosthoek;;;;1;;;;;;1
Beleving aan zee;;;;1;;;;;;1
Belgian Society for Food Microbiology vzw/asbl;;;;;;;;;1;1
Belgisch BiercafÃ© Olivier B.V.;;;;1;;1;;;;1
Berenhelm B.V.;;;;1;;;;;;1
Berenschot B.V.;;;;;;1;;;1;1
Berenschot Groep B.V.;;;;;;4;;;;4
Bergh Delisse Events;;;;1;;;;;;1
Berghauser Pont Academy B.V.;;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;1;;;1;1
Bestuursacademie;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;;2
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
Bierfabriek Delft B.V.;;;;1;;;;;;1
