Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
123Accu B.V.;;;;;;;;1;;1
2 Getthere Holding B.V.;;;;1;;;;;;1
A.G.S. Groep B.V.;;;;1;;;;;;1
A.J. Benelux C.V.;;;;;;;;1;;1
Achterhoek Antennebouw Aalten B.V.;;1;;;;;;;;1
AED Service Nederland B.V.;;1;;;;;;;;1
AG-IT B.V.;;;;;;;;1;;1
Agro Techniek Oosterink B.V.;;;;;;;;1;;1
Ahrend Nederland B.V.;;;;;1;;2;2;;3
Ajax Ch. Varel CSO (Centrale Serv.organis.);;1;;;;;;;;1
Albert Nolten Schoenen B.V.;;;;;;;;1;;1
Albron Nederland B.V.;6;;;;;;1;;;6
Alewijnse Utrecht;;;;;;;;1;;1
Alleleijn Informatie Verzorging AIV B.V.;;;;;3;;;;;3
Aloys Roemaat Transport B.V.;;;;;;1;;;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;;1;;1
Antalis B.V.;;;;;;;;1;;1
Antonides;;;;;;;;1;;1
ARA Groep B.V.;;;;;1;;;;;1
ARAS Security B.V.;;1;;;;;;;;1
Arcadis Aqumen Facility Management;4;2;;;;;;;;4
Artimedès B.V.;;;;;;;1;;;1
Asa Beveiligingen B.V.;;1;;;;;;;;1
ASB Security B.V.;;1;;;;;;;;1
Asito B.V.;;;2;;;;;;;2
ASSA ABLOY Entrance Systems;;1;;;;;;;;1
ASSA ABLOY Nederland B.V.;;;;;;;;1;;1
ATK Grootkeukentechniek B.V.;1;;;;;;;;;1
ATN Beveiliging B.V.;;1;;;;;;;;1
ATN Bewaking B.V.;;1;;;;;;;;1
Automatic Signal Rijsenhout B.V.;;1;;;;;;;;1
AUV Groothandel B.V.;;;;;;;;1;;1
B & V Brandbeveiliging B.V.;;1;;;;;;;;1
B.M.I. Bedrijfsmeubels Import Nederland B.V.;;;;;;;1;;;1
B.V. Glazenwasserij G. Raggers & Zn.;;;1;;;;;;;1
Bakker Bedrijfsartikelen B.V.;;;;;;;;1;;1
Banctec B.V.;;;;;1;;;;;1
Bart Strijbosch B.V.;;;;;;;1;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;;;;;;1;;1
BDUmedia;;;;;1;;;;;1
Besam  Nederland b.v.;;;;;;;1;;;1
Beurtvaartadres document B.V.;;;;;1;;;;;1
Bijenhuis Wageningen;;;;;;;;1;;1
Billink B.V.;;;;;;;;1;;1
BIM Media B.V.;;;;;;;;1;;1
BioControl Systems B.V.;;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;1;;1
BM Services B.V.;1;;;;;;;;;1
Boekbinderij Van Dijk B.V.;;;;;1;;;;;1
bol.com B.V.;;;;;;;;1;;1
Boma Nederland B.V.;;;1;;;;;;;1
Boom B.V.;;;;;;;;1;;1
Bos Gerechtsdeurwaarderskantoor bv;;;;;;;;;1;1
Bouter B.V.;1;;;;;;2;;;2
Bouwbedrijf De Boer B.V.;;;;;;;1;;;1
BP Nederland B.V.;;;;1;;;;;;1
Brandpreventie Groep B.V.;;1;;;;;;;;1
Bravo Brandveiligheid;;1;;;;;;;;1
Breijer Contractonderhoud B.V.;1;;;;;;4;;;4
Brink's Nederland B.V.;;;;1;;;;;;1
Buro van Riel B.V.;;;1;;;;;;;1
Business Art Service Nederland B.V.;;;;;;;2;;;2
BusinessStickers;;;;;1;;;;;1
Buyitdirect.Com N.V.;;;;;;;;1;;1
Canon Nederland N.V.;;;;;;;;2;;2
Cantine Service;6;;;;;;;;;6
Capgemini Nederland B.V.;;;;;;;;1;;1
Capgemini Nederland BV;;;1;;;;1;;;1
Capriole Coffee Service;1;;;;;;;;;1
Carat Nederland B.V.;;;;;1;;;;;1
Carlson Wagonlit Nederland B.V.;;;;;;;;;1;1
CCV Services B.V.;1;;;;;;;;;1
Centenna Electronics;;;;;;;;1;;1
Central Point Nederland B.V.;;;;;;;;1;;1
Certafix B.V.;;;1;;;;;;;1
