Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
/. de WERKPR GRONINGEN WLP OSSENKOP;;;1;;;;1
A. Agterberg B.V.;;;2;;;;2
Aannemersbedrijf Klein Kranenbarg B.V.;;;1;;;;1
Aarhus University;;;;3;;;3
ABDIJ SINT BENEDICTUSBERG;;;1;;;;1
ACADEMY OF ATHENS - RESEARCH COMMIT;;;;2;;;2
Activiteitenboerderij 't Geveltje;;;1;;;;1
Advantec Electronics B.V.;;;1;;;;1
Ae Sensors B.V.;;;1;;;;1
Agco B.V.;;;1;;;;1
Air Products Nederland B.V.;;;2;;;;2
Allekabels B.V.;;;1;;;;1
AlterNET Internet B.V.;;;1;;;;1
Altran Netherlands B.V.;;;2;;;;2
Amazon Web Services EMEA SARL;;;;;;1;1
Amazon Web Services Inc;;;;;;1;1
anoniem 120;;;1;1;;;1
anoniem 160;;;1;;;;1
anoniem 161;;;1;;;;1
anoniem 162;;;1;;;;1
anoniem 163;;;1;;;;1
anoniem 164;;;1;;;;1
anoniem 165;;;1;;;;1
anoniem 166;;;1;;;;1
anoniem 167;;;1;;;;1
anoniem 168;;;1;;;;1
anoniem 169;;;1;;;;1
anoniem 170;;;1;;;;1
anoniem 171;;;1;;;;1
anoniem 172;;;1;;;;1
anoniem 174;;;1;;;;1
anoniem 175;;;1;;;;1
anoniem 176;;;1;;;;1
anoniem 177;;;1;;;;1
anoniem 178;;;1;;;;1
anoniem 179;;;1;;;;1
anoniem 180;;;1;;;;1
anoniem 181;;;1;;;;1
anoniem 182;;;1;;;;1
anoniem 183;;;1;;;;1
anoniem 184;;;1;;;;1
anoniem 185;;;1;;;;1
anoniem 186;;;1;;;;1
anoniem 188;;;1;;;;1
anoniem 189;;;1;;;;1
anoniem 190;;;1;;;;1
anoniem 191;;;1;;;;1
anoniem 192;;;1;;;;1
anoniem 193;;;1;;;;1
anoniem 194;;;1;;;;1
anoniem 195;;;1;;;;1
anoniem 196;;;1;;;;1
anoniem 197;;;1;;;;1
anoniem 198;;;1;;;;1
anoniem 199;;;1;;;;1
anoniem 201;;;1;;;;1
anoniem 202;;;1;;;;1
anoniem 203;;;1;;;;1
anoniem 204;;;1;;;;1
anoniem 205;;;1;;;;1
anoniem 206;;;1;;;;1
anoniem 207;;;1;;;;1
anoniem 208;;;1;;;;1
anoniem 209;;;1;;;;1
anoniem 210;;;1;;;;1
anoniem 211;;;1;;;;1
anoniem 212;;;1;;;;1
anoniem 213;;;1;;;;1
anoniem 214;;;1;;;;1
anoniem 215;;;1;;;;1
anoniem 216;;;1;;;;1
anoniem 217;;;1;;;;1
anoniem 218;;;1;;;;1
anoniem 220;;;1;;;;1
anoniem 221;;;1;;;;1
anoniem 222;;;1;;;;1
anoniem 223;;;1;;;;1
anoniem 224;;;1;;;;1
anoniem 225;;;1;;;;1
anoniem 226;;;1;;;;1
anoniem 227;;;1;;;;1
anoniem 228;;;1;;;;1
anoniem 229;;;1;;;;1
anoniem 230;;;1;;;;1
anoniem 232;;;1;;;;1
anoniem 233;;;1;;;;1
anoniem 234;;;1;;;;1
anoniem 235;;;1;;;;1
anoniem 236;;;1;;;;1
anoniem 237;;;1;;;;1
anoniem 239;;;1;;;;1
anoniem 240;;;1;;;;1
anoniem 241;;;1;;;;1
anoniem 242;;;1;;;;1
anoniem 244;;;1;;;;1
anoniem 245;;;1;;;;1
anoniem 246;;;1;;;;1
