Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
4C Creative CAD CAM Consultants;2;;;;;;;2
4synergy B.V.;;;;;;;2;2
50PlusIT B.V.;;;;;;;3;3
AAI Corporation;;;;;2;;;2
Aakwadraat Networks B.V.;;;;;2;;;2
Abiom Communication Systems (A.C.S.) B.V.;4;;;;;;;4
ACES Direct B.V.;1;;;;1;;;1
ADACORE;;;;;3;;;3
Administratiekantoor Kroese;;;;;;1;;1
Advanced Encryption Technology Europe B.V.;;;1;;2;;;2
Advanced Virtualization Technologies B.V.;;;;2;;;;2
AFAS Software Caribbean B.V.;;;;;;2;;2
AG5 B.V.;;;4;;;;;4
AgenDO B.V.;;;;;;2;;2
All IT Rooms B.V.;3;;;;;;;3
All Music Publishing B.V.;1;;;;;;;1
Allegion B.V.;;;;2;;;;2
Allinco Visual Collaboration Solutions B.V.;3;;;;;;;3
Altec Industriële Identificatie;1;;;;;;;1
A-Mac B.V.;;;;;;1;;1
Anchor Men;;;;;;1;;1
Anixter Nederland B.V.;3;1;;;2;;;3
AppelOplader;1;;;;;;;1
Appleparts B.V.;1;;;;;;;1
Aquemini B.V.;;;;;;;2;2
Arbor Media B.V.;;;;;;2;;2
Archie Europe B.V.;;;;2;;;;2
AT&T;;;;;;3;;3
Atos Nederland B.V.;;;;3;;;7;7
AVDIS B.V.;;1;;;;;;1
Avensus Nederland B.V.;;;;;1;;;1
Avex B.V.;;;;;1;;;1
Axians;5;;5;;;;2;6
Azerty;1;;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;1;;;;;;;1
B.V. Korthofah;1;;;;;;;1
B.V. Ru'58;1;;;;;;;1
Baston Management B.V.;;;;;;;3;3
BCD Travel B.V.;;;;;;1;;1
Beat It B.V.;5;4;2;;;2;;6
Bechtle direct B.V.;6;2;;;;1;;6
BeeDirect B.V.;5;2;;;1;1;;5
Bemet International B.V.;;;;;1;;;1
Bergler Nederland B.V.;;;;;;;2;2
Bices Group Executive;;;;;5;;;5
BIG;;;;;;1;;1
BIS B.V.;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;3;;;;;;;3
Black Box Datacom B.V.;1;;;;;;;1
Black Box International B.V.;1;;;;;;;1
BMT Argoss Ltd.;;;;;2;;;2
BMT SHIP & COASTAL DYNAMICS LIMITED;2;;;;;;;2
Bob van der Houven Produkties V.O.F.;1;;;;;;;1
bQuind B.V.;;;;;;;1;1
British Telecommunications Plc. London;;;;;;1;;1
BSI Group The Netherlands B.V.;;;;;3;;;3
BT NEDERLAND N.V.;;;;;;5;;5
Btsoftware B.V.;;;;;1;;;1
Bumicom Telecommunicatie B.V.;;;;;;1;;1
BuzzMaster B.V.;;;;;1;;;1
Bysky B.V.;1;;;;;;;1
C.N. Rood B.V.;;;4;;;;;4
Cablescan B.V.;1;;;;;;;1
CACI B.V.;;;3;;;;;3
Caesar Accounts;;;;;;;6;6
Caiway;1;;;;;;;1
CameraNU.nl;1;;;;;;;1
Candiensten B.V.;;;2;;;;;2
Canon Nederland N.V.;;;;;;2;;2
Capgemini Educational Services B.V.;4;;;;;;2;4
Capgemini Nederland B.V.;6;1;2;4;6;4;8;8
Caribbean Filmcom NV;2;;;;;;;2
Caseware Idea B.V.;;;;2;;;;2
CBA Holland;2;;;;;;;2
Central Point Nederland B.V.;4;;;;;1;;4
Centric Netherlands B.V.;;;;;;;7;7
CGI Nederland B.V.;;;;;;5;7;7
CHARGEDEFENSE LLC;1;;;;;;;1
Chartworx B.V.;;;;;;1;;1
Chipclean B.V.;1;;;;;;;1
Cigdem Yuksel Media;1;;;;;;;1
Cimsolutions;;;;;;;4;4
C-Map Norway As;;;1;;;;;1
CNC-Consult & Automation B.V.;;;;;1;;;1
Color Wood Photo B.V.;2;;;;;;;2
Company Fits B.V.;;1;;;;;;1
COMPAREX Nederland B.V.;10;;7;6;6;4;;10
Compose B.V.;2;;;;1;;;2
ConQuaestor Interim Professionals B.V.;;;;;;;4;4
Conrad Electronic Benelux B.V.;2;;;;1;1;;2
Consilium Benelux Data Capture Solutions B.V.;;;;;2;;;2
Consolit Business Solutions;1;;;1;;;;2
Conspect ICT;;;;;;;3;3
Contezza B.V.;;;4;;;;;4
Coolblue B.V.;2;;;;;1;;2
Cosanta B.V.;;;;;2;;;2
Cosetec B.V.;;;;;;2;;2
CraftsMen B.V.;;;;;;;3;3
Critical Communication Carib B.V. (Formerly Zenitel Caribbean);;;;;;4;;4
CrossGuard B.V.;;;;;2;;;2
CS - CIRCLES SOLUTIONS LTD;;;;;;5;;5
CTM Solution B.V.;;;1;;1;2;;2
Curvature LLC;1;1;;;;;;1
Cyberbit Ltd.;;;;;;7;;7
CycloMedia Technology B.V.;;;;;2;;;2
