Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
06 GPS;;;;;;1;;1
123Telcom;;;;;;;2;2
2 FORM-IT;;;;1;;;;1
2COM;;;;;;;2;2
3M;;2;;7;4;;;7
4apps group;;;2;;;;;2
4COM Solutions (incl. Emobiel);;;;;;;2;2
4elements;;;;;4;;;4
4Some Technisch Beheer;;;;;1;;;1
A&P International;;1;;;;1;;1
A.D. Kloosterman;;1;;;;1;;1
A.P.I.E.;;;;;1;;;1
A51;;;;;2;;;2
Aakwadraat Networks/A2 Networks;;;;;1;;;1
ABC Display Industry;;;1;;;;;1
Abiom;;;;;1;;;1
Acato;;;;;;1;;1
Accenture;6;5;;7;;;;7
ACN Europe;;;;;;;2;2
ACV Beveiligingstech;;1;;;;;;1
Adatum Telecom ICT B.V.;;;;;;1;;1
Adfor Media;;1;;;;;;1
ADLIB Information Systems (inc Axiell);;;;2;;;;2
AENC Groep (incl. A&C en AENC Audiovisual, AENC Presentations);1;;;;1;;;1
Aenova Software;;;;1;;;;1
AGT Group;5;;;;;;;5
AirSain;;1;;;;;;1
Ajax Chubb Varel;;;;1;;;;1
Albyco;;1;;;;;;1
Alles In Telecom;;;;;;;2;2
Allure RFID;;;;2;1;;;2
Aloys Roemaat Transport;;1;;1;1;;;2
Alphaco Wireless;;;;;;;2;2
Alternate;;1;;;;;;1
A-Mac;;1;1;;;;;1
Amsio (vh Argeweb);;1;;1;1;1;;1
Amsterdam Airport Schiphol;;;1;;;;;1
ANP - Algemeen Nederlands Persbureau;;;2;;2;2;;3
Apac Services;;;;;1;;;1
AP-Art;;;;;1;;;1
Apotheek Haagse Ziekenhuis;;;;1;1;;;1
Arob Antennebouw;;1;;;;;;1
ARP Nederland (incl. Artikona);;2;;;;;;2
Ars Traffic & Transport Tech;;;;;;;6;6
Art Systems;;;;1;;;;1
ASB-Security;;;;;1;1;;1
Ascom;1;2;1;;2;1;;2
Ask Roger;;1;1;1;;1;;1
Asolutions;;;;1;;;;1
Asp4All Hosting;2;6;6;5;7;5;;7
Aspider Solutions;;;;;;;2;2
Atos;1;1;;2;5;;;5
Atrivision;;;1;;;;;1
Audio Video Wolbers;;1;;;;;;1
Aura Software;;;;1;;;;1
Automatic Signal Rijsenhout;;1;1;;;;;1
Avantgarde Media;;;;1;;;;1
AVC Audio Video Communicatie BV;;;;;1;;;1
AVDSolutions;;1;;;;;;1
Aveq Show Theatre & Congress Facilities;;;1;;;1;;1
Avex;;1;;;1;;;1
AVK Adviesgroep voor Kantoorinnovatie;;1;;;;;;1
Axians;;6;1;1;3;1;;6
Axtron;;2;;;;;;2
B&D Creative;;1;1;;;1;;1
B&F Media;;;;;;;2;2
B.A. Blansjaar;;;;;;1;;1
B+B Vakmedianet;;;1;;;1;;1
Babypark Kesteren;;;;;1;;;1
Backup Transport & Depot Services;;1;;;2;;;2
Baptist Ijzerwaren&Gereedschappen;;;1;;;;;1
Bart Strijbosch;;1;;1;1;1;;1
Bavak Beveiligingsgroep;;1;;;1;;;1
Bax-Shop.nl;;1;;;;;;1
BCT Automatisering;;;;1;;;;1
Be Informed;;;;6;;2;;6
Beat-it.nl;;;;1;;;;1
Bedrijvenweb Nederland B.V.;;;1;;;;;1
Beeone;;2;;1;;;;2
Belcentrale;;;;;;;2;2
Belfabriek;;;;;;1;;1
Between;3;;;;1;;;3
BHVStore;;;;1;;;;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;1;;1;1;1;;1
Bis Restaurant;;;;;1;;;1
Bit Internet Technology;;;2;;;;2;3
BM Business Marketing Services Opleidingen;;;2;;;;;2
BMS Assurance;;;;2;;2;;2
Bobbe Abonnementen;;;;;1;;;1
Bos Incasso;;;1;;;1;;1
Bossers & Cnossen;;;;1;;1;;1
Bouma Technisch Installatiebedrijf;;;;;;1;;1
Bouwmeester van Leeuwen;2;;;;1;;;2
BPI Services;;2;1;2;3;;;4
BPM Partner;;;;1;;;;1
Brabo Verpakking;;1;;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;;;1;;;1
Brand Interieurbouw en Aannemeningsbedrijf;;1;;;;;;1
Breezz Nederland;;;;;;;2;2
Bremer Kantoorcentrum;;;1;;;;;1
Brite Telecom;;;;;;;2;2
Brondool;;1;;;;;;1
Brother International;;1;;;;;;1
Brugmans Beheer;;;;;;;2;2
BS Workspace Solutions;;1;;;;;;1
BTB Organisatie;;1;;;;;;1
BTC Mediatest;;;;;;2;;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;5;1;;3;7;;7
Budget Phone Company;;;;;;;2;1
Bull Nederland;;;1;7;;;;7
Burotronic & Kiel;;;;;;1;;1
BVDA Internationaal;3;;;1;;;;3
B-Ware Ingenieursbureau;;;;2;;;;2
Bwise;;;;1;;;;1
CAD Accent;;;;;1;;;1
Cadac Group;;;;1;;;;1
CAIW Holding (incl. Caiway);;;;;;1;2;2
Cambrium IT Services;;;;;;;2;2
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;;;;;1;;1
Capgemini;;;;6;5;;;7
Card Vision;;;1;;;;;1
Cashless Solutions (Inepro);;1;;;;;;1
CBizz;;;;;;;2;2
CCV Services;;1;1;;;1;;1
Cendris (incl. Cendris Datacosulting);;1;;;2;;;2
CensCenter B.V.;;1;;;;;;1
Central Point;;1;1;;;;;1
Centric (incl. Qualityhouse);;1;;2;;4;;4
CGI Group (incl. Logica CMG);;;;;2;;;2
Chill Creations;;;;;1;;;1
Clara.Net;;;;;;;2;2
Cloud Telecom;;;;;;;2;2
CM Club Message Benelux (incl. Callfactory);;1;1;1;1;2;1;2
Cms Derks Star Busmann;;;;1;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;;2;;;;;2
Cogas Energie, Meetdiensten, Infra & Beheer, Kabel (incl. CoNet);;;;;;1;;1
Colt Telecom;;;;;;;2;2
Com Connect;;;;;2;;;2
Communications Security Net;;;;;;;2;2
Comparex (incl. PC-Ware);2;4;7;10;6;1;1;10
Computel Standby;;;;;;;2;2
Con Template;;;1;;;;;1
Conecto Networks;1;;;;2;;;2
Connected Information Systems;;;;;2;;;2
Connect-it Telecom;;;;;;;2;2
Conrad Electronic;;1;;;1;1;;1
Conspect Group;;;;;;2;;2
Continental Automotive Trading;;;1;;;;;1
Control Risks Group;;;2;;;;;2
Coolblue - Pda Shops;1;;;;;1;;1
Coolwave Communications;;;;;;;2;2
Coosto;;;4;;2;2;;4
Cope;;;1;1;;;;1
Corion;;;;3;;;;3
Creaim Gemnet;;;1;;;;;1
CrowdSense;1;;2;;;;;2
CSC Computer Sciences;;2;;;4;;7;7
CSU Schoonmaak (vh. City Service);;;;;1;;;1
