"Gemeente","Jaar","Periode","Beleidsprogramma","Organisatie","Subsidie beschikt","Bekostigd uit rijksinkomsten","Wettelijke taak","Globaal overzicht gesubsidieerde activiteiten"
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Lokale Omroep Vlaardingen","45.202,00","Ja","Ja","Het programma-aanbod bestaat voor ten minste 50% uit onderdelen die van informatieve, culturele en educatieve aard zijn(in casu 56 uur van de in totaal 112 uur zendtijd per week). Dit is een wettelijke verplichting die voortvloeit uit artikel 2:70 van de Mediawet."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Vlaardingse Cultuur Stichting","1.327.765,00","Nee","Nee","Beheer budget Stichting Jongeren Cultuurcentrum Vlaardingen 'De Kroepoekfabriek', Stichting Museum Vlaardingen, Stichting Centrum Kunsteducatie 'KADE40', Incidentele culturele activiteiten."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","30.855,00","Ja","Ja","Verleturen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting TechNet Nieuwe Waterweg Noord","32.000,00","Nee","Nee","U verricht hiervoor activiteiten op het gebied van onderwijs en techniek, zoals een teckniekweek voor het basisonderwijs, leerlingen in het VMBO, ouderbijeenkomsten techniek, docentendag techniek, beroepenmanifestatie."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","UN1EK kinderopvang B.V.","80.640,00","Ja","Ja","VVE activiteiten."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Zorg voor Onderwijs Nieuwe Waterweg Noord","83.790,00","Nee","Ja","Actviteiten in het kader van het voorkomen van voortijdig schoolverlaten."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","UN1EK Kinderopvang B.V.","351.152,00","Ja","Ja","Activiteiten in het kader van het peuterspeelzaalwerk."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Ondernemersfonds Vlaardingen","550.000,00","Nee","Nee","Subsidiegelden her te verdelen onder collectief handelende trekkingsgerechtigden conform het convenant welke is afgesloten met de gemeente. Daarnaast stimuleren van ondernemers per regio en per sector door het oprichten van ondernemers verenigingen die trekkingsrecht uitoefenen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","570.882,00","Ja","Ja","Organiseren van activiteiten in het kader van achterstandenbeleid, 1e deel schooljaar 2016-2017."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","UN1EK kinderopvang B.V.","627.207,00","Ja","Ja","Peuterspeelzaalwerk."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","727.756,00","Ja","Ja","Toeleidingsactiviteiten in kader van toeleiding doelgroepkinderen naar vve-voorzieningen. 2e deel schooljaar 2015-2016."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Katholieke Bond van Ouderen (KBO)","600,00","Nee","Nee","Activiteiten ten behoeve van belangenbehartiging van ouderen in Vlaardingen en van ontspannende activiteiten voor deze doelgroep."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Protestants Christelijke Ouderen Bond (P.C.O.B.)","850,00","Nee","Nee","Activiteiten in het kader van belangenbehartiging voor 55-plussers in Vlaardingen en ontspannende activiteiten voor deze doelgroep."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Vlaardings Overleg Revalidatie","2.150,00","Nee","Nee","Activiteiten met betrekking tot het behartigen van belangen van mensen met een lichamelijke handicap en het bevorderen van de toegankelijkheid van gebouwen en het openbaar gebied voor de minder valide inwoners van Vlaardingen."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Argos Zorggroep - onderdeel Samenwerking Informele Zorg","5.200,00","Nee","Nee","Samenwerkingsverband verschillende organisaties binnen de respijtzorg in brede zin. "
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Jeugdstad Vlaardingen","13.736,00","Nee","Nee","Organiseren van Jeugdstad Vlaardingen in kerstvakantie 2016."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Sociaal Cultureel Werk Vlaardingen West","14.995,00","Nee","Nee","In overleg met de wijkvereniging West op zijn Best worden activiteiten ontwikkeld en aangeboden voor de buurt."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Sociaal Cultureel Werk Vlaardingen West","14.995,00","Nee","Nee","In overleg met de wijkvereniging Wijkbelangen Vettenoordsepolder worden activiteiten ontwikkeld en aangeboden voor de buurt."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting 'Wijkcentrum 't Nieuwelant'","14.995,00","Nee","Nee","In overleg met de wijk worden activiteiten ontwikkeld en aangeboden voor de buurt."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Argos Zorggroep - onderdeel ErOpUit","18.203,00","Nee","Nee","Het organiseren en aanbieden van uitjes voor ouderen (boodschappen, cultuur & recreatie) in het kader van de bestrijding van sociaal isolement en eenzaamheid, bevordering van de participatie en zelfredzaamheid en ondersteuning van mantelzorg."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Aandachtscentrum Vlaardingen","21.046,00","Ja","Ja","Activiteiten op het gebied van voorkomen van maatschappelijke uitval, verlies van zelfstandigheid, uitsluiting en dakloosheid van mensen die kampen met meervoudige problematiek."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Vele Vlaardingers Eﾂn Huis","25.000,00","Ja","Ja","Registreren en monitoren van discriminatiemeldingen, adviseren, informeren, voorlichten, rapporteren, bemmidddelen en doorverwijzen van melders van discriminatie. Ondersteunen van een netwerk van vrijwilligers die bemiddelen bij conflicten en discriminatie. 
"
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Minters","27.843,00","Nee","Nee","Scholiing en voorlichting aan professionals op het gebied van preventie en bestrijden armoede. "
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Scouting Vlaardingen","28.654,00","Nee","Nee","Het wekelijks spelen van het scoutingspel voor kinderen en jongeren en het organiseren van eenmalige activiteiten.
"
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","GGZ Delfland","30.466,00","Nee","Nee","Trainingen, workshops en deskundigheidsbevordering depressiepreventie voor doelgroepen jeugd en ouderen. Voorkomen en beperken psychische gevolgen voor slachtoffers huiselijk geweld."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Onder Een Dak","30.938,00","Ja","Ja","In stand houding van een daderopvang huiselijk geweld met twee opvangplaatsen inclusief begeleiding voor de regio MVS."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Stichting Wijzer voor Openbaar Onderwijs in Vlaardingen en Maassluis","34.326,00","Nee","Nee","Activiteiten ter ondersteuning van oud-leerlingen van de Ericaschool en hun ouders. Activiteiten zijn gericht op participatie en zelfredzaamheid van deze oud-leerlingen en hun ouders."
"Vlaardingen",2016,"Q3","Programma Sociaal Domein","Argos Zorggroep - onderdeel Oproepcentrale","57.469,00","Nee","Ja","Mantelzorgondersteuning en ondersteuning van kwetsbare mensen thuis door middel van inzet van vrijwilligers bij de mensen thuis.
"
