;Departement;Sector;Organisatie;Plaats;Functienaam;deeltijdfactor;totaal 2010;totaal 2011;Belastbaar jaarloon 2010;Belastbaar jaarloon 2011;Pensioenbijdrage 2010;Pensioenbijdrage 2011;Overige vergoedingen 2010;Overige vergoedingen 2011;Ontslagvergoeding 2011;Datum uit dienst;
1;BZK;Gemeenten;Gemeente Alkmaar (NH);ALKMAAR;Sectorhoofd B;100;101.559;276.271;84.042;87.934;16.904;17.724;613;613;170.000;01-jan-2012;
2;BZK;Gemeenten;Gemeente Groningen (GR);GRONINGEN;directeur;100;150.663;339.995;114.946;114.289;18.415;19.386;17.302;16.320;190.000;01-jan-2012;
3;BZK;Gemeenten;Gemeente Midden-Delfland;Schipluiden;Beleidsadviseur;100;86.425;351.392;72.973;87.025;13.452;14.367;0;0;250.000;01-jan-2012;
4;BZK;Gemeenten;Gemeente Rotterdam (ZH);ROTTERDAM;Plv. Ombudsman;100;89.175;298.061;72.065;76.385;17.110;17.731;0;0;203.945;01-jan-2012;
5;BZK;Gemeenten;Gemeente Zoetermeer (ZH);ZOETERMEER;Directeur;100;148.687;280.139;120.399;119.923;28.288;30.003;0;0;130.213;31-dec-2011;
6;BZK;Gemeenten;Veiligheidsregio Zeeland;MIDDELBURG;Regionaal Commandant;100;112.197;252.122;89.999;82.293;18.472;15.156;3.726;2.774;151.899;15-sep-2011;
7;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;portefeuillemanager bij BZK;100;87.679;205.543;71.293;152.751;0;0;16.386;2.792;50.000;;
8;BZK;Rijk (incl. Defensie en Rechterlijke macht);Nationale ombudsman;DEN HAAG;medewerker;100;88.737;239.617;72.530;72.495;16.207;17.361;0;0;149.761;01-jan-2012;
9;BZK;ZBO's;Politieacademie;APELDOORN;Adviseur;100;94.000;246.000;75.000;76.000;19.000;18.000;0;0;152.000;31-dec-2011;
10;EZ;Overig;NV NOM, Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;GRONINGEN;Manager Informatie-Comminicatie;89;116.274;241.972;88.654;43.507;27.620;15.965;0;0;182.500;30-jun-2011;
11;EZ;Overig;Stichting Energieonderzoek Centrum Nederland;PETTEN;Adviseur;100;95.393;210.038;87.669;107.122;7.724;5.816;0;0;97.100;30-sep-2011;
12;EZ;ZBO's;Kamer van Koophandel en Fabrieken voor Noordwest-Holland;ALKMAAR;Medewerker Juridische Zaken;75;55.312;266.681;46.649;41.805;8.663;9.876;0;0;215.000;31-dec-2011;
13;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Adviseur;100;77.754;212.305;38.499;141.215;39.255;4.450;0;0;66.640;01-apr-2011;
14;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Behandelfunctionaris;100;106.163;222.105;85.202;96.359;20.961;21.567;0;0;104.179;01-jan-2012;
15;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Clustermanager;100;112.239;199.093;91.315;96.888;20.924;21.493;0;0;80.712;01-jan-2012;
16;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;MT-lid;100;127.991;246.129;102.952;127.713;25.039;23.620;0;0;94.796;01-dec-2011;
17;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Plaatsvervangend directeur;94;107.518;217.156;85.359;95.414;22.159;22.772;0;0;98.970;01-apr-2012;
18;LNV;Beroeps- en volwasseneneducatie;Kennis- en communicatiecentrum voedsel en leefomgeving -Aequor;Ede;manager;100;78.571;320.284;64.781;63.973;13.790;16.311;0;0;240.000;01-jun-2012;
19;OCW;Beroeps- en volwasseneneducatie;ROC RIVOR;TIEL;Voorzitter College van Bestuur;100;106.906;217.914;89.788;125.202;17.118;26.047;0;0;66.665;31-dec-2011;
20;OCW;Beroeps- en volwasseneneducatie;ROC Zaanstreek-Waterland;ZAANDAM;Voorzitter College van Bestuur;100;127.337;211.096;110.094;108.221;17.243;17.875;0;0;85.000;01-nov-2012;
21;OCW;Hoger Beroepsonderwijs;Avans Hogeschool;Tilburg;Directeur;100;111.077;198.381;90.155;59.468;20.922;12.806;0;0;126.107;01-aug-2011;
