Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
?rztekasse Rechtsmedizin;1;;;;1
Agroisolab GmbH;1;;;;1
ALcontrol Laboratories;1;;;;1
anoniem 10;1;;;;1
Aqualab Zuid B.V.;1;;;;1
BDO Accountants;;;;1;1
Blauw Research B.V.;;;1;;1
Bosveld Gerechtsdeurwaarders & Incasso's;1;;;;1
Buyitdirect.com N.V.;1;;;;1
Continental Automotive Germany;1;;;;1
Continental Automotive Romania SRL.;1;;;;1
Deloitte Consulting B.V.;1;;;;1
Diatomella;1;;;;1
Ecofide;1;;;;1
Ergatis B.V.;;;1;;1
Eurofins Analytico B.V.;1;;;;1
Eurofins Food Testing Rotterdam B.V.;1;;;;1
Geneeskundig Advies Schaderegelingen B.V.;;;1;;1
Groothandel Albatros B.V.;;;1;;1
Hellemans Consultancy B.V.;;;;1;1
Ingenieursbureau B-Ware B.V.;1;;;;1
Interactie-Academie vzwVZW;1;;;;1
Iso-Analytical Limited;1;;;;1
Jitta Miedema Spiegelbijeenkomsten & Coaching;1;;;;1
Kuypers Kliniek;1;;;;1
KWR Water B.V.;1;;;;1
L.B.G.M. Tinsel;1;;;;1
LGC Limited;1;;;;1
LRQA;;;1;;1
Miele Nederland B.V.;1;;;;1
MKB Krachtcentrale;1;;;;1
Mul Spiegelbijeenkomsten;1;;;;1
Omegam;1;;;;1
Psychologenpraktijk Kwadrant;1;;;;1
Safeteq;1;;;;1
SCRN;;1;;;1
Smits Van Burgst Beveiliging B.V.;;;1;;1
Solvinity;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;1;;;;1
Stg. Studiecentr. Crimin. en Rechtshandhaving;;;1;;1
Stichting Onderzoekscentrum Ketenzorg Chronische Ziekten;1;;;;1
Sytech Consultants;1;;;;1
Universitaire Ziekenhuizen Leuven;1;;;;1
Universiteit Gent;1;;;;1
USG Capacity;1;;;;1
Van Wiggen Leadership;1;;;;1
Vanuit de Bedoeling;;;1;;1
WLN Business B.V.;1;;;;1
Xerox (Nederland) B.V.;1;;;;1
Avans Hogeschool B.V.;;;2;;2
Balance Consultancy Group;;;2;;2
BDO Audit & Assurance B.V.;;;;2;2
Bert Kreemers Advies Onderzoek Communicatie B.V.;;;2;;2
Between B.V.;2;;;;2
Bureau Beke;;;2;;2
Buro Magis;;;2;;2
Cellebrite GmbH;2;;;;2
COMPAREX Nederland B.V.;2;;;;2
Computest Services B.V.;2;;;;2
Derksen & Drolsbach B.V.;;;2;;2
Doedijns Consulting B.V.;;;2;;2
Driekwadraat CoÃ¶peratie UA;;;2;;2
Effectory B.V.;;;2;;2
Ernst & Young Belastingadviseurs LLP;;;;2;2
Forensisch Artsen Rotterdam-Rijnmond B.V.;2;;;;2
GGzE;2;;;;2
Joaktrees B.V.;;;;2;2
Medisch Centrum Haaglanden;2;;;;2
Motivaction International B.V.;;;2;;2
mr. R.J. Hoekstra;;;2;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;;;2
PARAG;2;;;;2
PBLQ B.V.;2;2;;;2
PCNData Nederland;;;2;;2
Poley Tekst;2;;;;2
Pricewaterhousecoopers Accountants N.V.;;;;2;2
Privacy Company B.V.;2;;;;2
Regioplan Beleidsonderzoek B.V.;;;2;;2
Singel & Partners B.V.;;;2;;2
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;;;2;;2
Stichting Accessibility;;;2;;2
TNO Corporate Staforganen;2;;;;2
TRConsult B.V.;;;2;;2
TRES internet B.V.;;2;;;2
Universitair Ziekenhuis Antwerpen;2;;;;2
Waterzee;;;2;;2
Werkpartners B.V.;2;;;;2
Xebia Nederland B.V.;;;2;;2
Yacht;2;;;;2
Zorg van de Zaak N.V.;2;;;;2
ZZ_Aon Hewitt Nederland C.V.;;;2;;2
Atos Nederland B.V.;;;3;;3
AWVN (Algemene Werkg.ver. Nederland);;;3;;3
Baker Tilly Berk Eindhoven;;;;3;3
Capgemini Nederland B.V.;3;;2;;3
Diagnostisch Centrum Eindhoven;3;;;;3
DSP-Groep B.V.;;;3;;3
Ernst & Young Accountants LLP;;;3;2;3
M & I /Partners B.V.;;;3;;3
SDR Academy Nederland B.V.;;;3;;3
Significant B.V.;;;3;;3
Stichting Werken op Maat;3;;;;3
Vanberkel Professionals B.V.;;;;3;3
Andersson Elffers Felix;;;4;;4
BaseClear B.V.;4;;;;4
Berenschot Groep B.V.;;;4;;4
Groene Hart Ziekenhuis;4;;;;4
Insight Enterprises Netherlands B.V.;4;;;;4
Nijhof Teamadvies;;;4;;4
Profource B.V.;;;;4;4
SAMR;;;4;;4
Medische Laboratoria Dr. Stein & Collegae;5;;;;5
Pricewaterhousecoopers N.V.;;;2;5;5
The Maastricht Forensic Institute B.V.;7;;;;7
Eindtotaal;7;2;7;6;8
