objectid;peilmerknummer;korte_omschrijving;windrichting;x_muur;y_muur;datum_meting;nap_hoogte;geo_shape;geo_point_2d
48;G134;RIJWIELZAAK 'LIGTVOET' AALSTERWG 91;Z;132;28;2012-05-13;18.382;"{""coordinates"": [5.486120542936217, 51.42527459275623], ""type"": ""Point""}";51.42527459275623, 5.486120542936217
50;G141;HS CELEBESLN 22 BIJ LORENTZ LYCEUM;N;-262;23;2012-05-13;17.646;"{""coordinates"": [5.51005153016318, 51.448802134777516], ""type"": ""Point""}";51.448802134777516, 5.51005153016318
51;G144;O VOET HSM NR 10 BIJ KM 170,1 RW 2;Z;42;36;2004-12-28;21.079;"{""coordinates"": [5.5028837217697735, 51.401978412533985], ""type"": ""Point""}";51.401978412533985, 5.5028837217697735
54;G156;HS GEN, LINCKERSLN 82;W;50;9;2012-05-13;17.749;"{""coordinates"": [5.476995358511268, 51.464292811106354], ""type"": ""Point""}";51.464292811106354, 5.476995358511268
61;G206;RKK ST, ANTONIUS FAZANTLN 17 L/V INGANG;NW;57;52;2012-05-13;17.069;"{""coordinates"": [5.490180489714772, 51.44037205104667], ""type"": ""Point""}";51.44037205104667, 5.490180489714772
64;G212;"O-FRMR HS ""HUIZE DE GOOREN"" PARKLN 54";ZO;-8;21;2012-05-13;16.191;"{""coordinates"": [5.487738402631092, 51.44173147453388], ""type"": ""Point""}";51.44173147453388, 5.487738402631092
65;G215;"W-PIJLER W-VDC KNOOPPUNT ""LEENDERHEIDE""RD= 510332-14";Z;-20;30;2004-12-28;21.233;"{""coordinates"": [5.500879008713928, 51.404856775743994], ""type"": ""Point""}";51.404856775743994, 5.500879008713928
66;G216;"O-PIJLER W-VDC KNOOPPUNT ""LEENDERHEIDE""RD= 510332-15";Z;13;40;2004-12-28;21.233;"{""coordinates"": [5.501310156450927, 51.404856353824464], ""type"": ""Point""}";51.404856353824464, 5.501310156450927
67;G217;KOP MR NO-Z ROTONDE INSULINDELN/E;NW;20;-16;2012-05-13;17.425;"{""coordinates"": [5.500842137888141, 51.44773284357694], ""type"": ""Point""}";51.44773284357694, 5.500842137888141
75;102;KANTOOR MAHATMA GANDILAAN 2;NO;-16;14;2003-01-01;18.703;"{""coordinates"": [5.442873157192291, 51.42678645393446], ""type"": ""Point""}";51.42678645393446, 5.442873157192291
77;105;GEBOUW SAN STRIJP S;Z;30;35;2006-01-01;18.86;"{""coordinates"": [5.4561178308299585, 51.44718364807653], ""type"": ""Point""}";51.44718364807653, 5.4561178308299585
80;109;VIADUCT OOSTKANT;ZW;-30;-13;2007-01-01;25.806;"{""coordinates"": [5.396606911490705, 51.445343092876435], ""type"": ""Point""}";51.445343092876435, 5.396606911490705
83;114;TH VELDHOVEN BOUWVEN;ZW;-11;46;2007-01-01;21.944;"{""coordinates"": [5.389989607560134, 51.43689409950941], ""type"": ""Point""}";51.43689409950941, 5.389989607560134
84;115;BETONNEN VOET POMP (GROEN KASTJE);ZO;14;16;2007-01-01;21.146;"{""coordinates"": [5.389471940748317, 51.43838623269331], ""type"": ""Point""}";51.43838623269331, 5.389471940748317
92;125;KANTOOR VAN BERKEL PARK FORUM WEST 1344;W;123;34;2017-01-01;22.372;"{""coordinates"": [5.381417744430273, 51.439950161104534], ""type"": ""Point""}";51.439950161104534, 5.381417744430273
94;127;TH ZANDVEN 1B VELDHOVEN;NW;16;68;2017-01-01;22.378;"{""coordinates"": [5.382913991019219, 51.43515026676699], ""type"": ""Point""}";51.43515026676699, 5.382913991019219
95;128;TH WATERLINIE NABIJ KAMER 8;ZO;-10;18;2017-01-01;22.534;"{""coordinates"": [5.395641485980828, 51.43624662985735], ""type"": ""Point""}";51.43624662985735, 5.395641485980828
99;600;TH NABIJ HOTEL EINDHOVEN HUISNUMMER 2/NO1;N;-49;27;2020-01-01;18.467;"{""coordinates"": [5.480203285750304, 51.407329051949304], ""type"": ""Point""}";51.407329051949304, 5.480203285750304
100;601;CLUBGEBOUW ORANJE ROOD AALSTERWEG;N;-687;18;2020-01-01;17.999;"{""coordinates"": [5.478179596942256, 51.408741877246335], ""type"": ""Point""}";51.408741877246335, 5.478179596942256
5;B237;RD STEEN EINDHOVENSEWG-Z RD= 519335-11;N;0;0;2012-05-13;17.125;"{""coordinates"": [5.425788580284857, 51.49137691086719], ""type"": ""Point""}";51.49137691086719, 5.425788580284857
