FID,ID,CBS_CATEGORIE,ADRES,REDENGEVENDE_OMSCHRIJVING,MONUMENTNUMMER,MONUMENTTYPE,MONUMENTCODE,GEOMETRIE
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d2c,2916,"Gebouwen, woonhuizen",Ridderschapstraat 16 ,"Tuinprieel gebouwd in het eerste kwart van de 20e eeuw.

Het houten tuinprieel met flauw zadeldak heeft een bekwaam gemaakte vakwerkconstructie met balkwerk met pen-en-gatverbindingen en afgewerkt met vellingkanten. De vullingen in de achterwand, de zijwanden en de borstwering van het front bestaan kraalschroten en houten roosterwerk. De rondboogvormige opening heeft geprofileerde consoles en een met een 'appel' bekroonde makelaar. Het prieel is geschilderd in contrasterend groen en wit. Het prieel heeft een onderregel op een stenen voet.

Het prieel is van cultuurhistorisch belang als een waardevol voorbeeld van verzorgde tuinarchitectuur.",3440774,GM,Gemeentelijk monument,POINT (137018.571 456458.369)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d2d,2928,"Gebouwen, woonhuizen",Robert Schumannstraat 15 ,,46956,RM,Rijksmonument,POINT (134504.976 455180.327)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d2e,2930,"Gebouwen, woonhuizen",Robert Schumannstraat 17 ,,46956,RM,Rijksmonument,POINT (134499.21 455177.561)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d2f,2932,"Gebouwen, woonhuizen",Robert Schumannstraat 19 ,,46956,RM,Rijksmonument,POINT (134493.577 455174.818)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d30,2938,"Gebouwen, woonhuizen",Rozenstraat 17 ,"Het parallelogramvormig pand bestaat uit twee bouwlagen, een kelder en een kap met nok evenwijdig aan de straatrichting.

De zijgevels van het middeleeuws dwars huis zijn trapgevels, waarvan aan de achterzijde de treden bewaard zijn. De linker zijgevel staat vrij. Tegen de achtergevel staat een aanbouw onder een doorlopend lessenaarsdak. Dakbedekking, vensters en ingangspartij zijn recent vernieuwd.

Het casco van het pand is van bouwhistorisch belang.
",3440721,GM,Gemeentelijk monument,POINT (136378.526 456287.391)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d31,2938,"Gebouwen, woonhuizen",Rozenstraat 17 BS,"Het parallelogramvormig pand bestaat uit twee bouwlagen, een kelder en een kap met nok evenwijdig aan de straatrichting.

De zijgevels van het middeleeuws dwars huis zijn trapgevels, waarvan aan de achterzijde de treden bewaard zijn. De linker zijgevel staat vrij. Tegen de achtergevel staat een aanbouw onder een doorlopend lessenaarsdak. Dakbedekking, vensters en ingangspartij zijn recent vernieuwd.

Het casco van het pand is van bouwhistorisch belang.
",3440721,GM,Gemeentelijk monument,POINT (136379.854 456289.563)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d32,3983,"Gebouwen, woonhuizen",Biltstraat 63 ,"Hoekpand Biltstraat-Gasthuisstraat gebouwd rond 1870. 

Het onderkelderde pand telt twee bouwlagen met mansardekap loodrecht op de biltstraat. De voorgevel is twee traveeen breed met op de begane grond een cafepui, afgesloten door een kroonlijst met consoles. De gevel langs de Gasthuisstraat heeft een onregelmatige vensterindeling. Het pand is van architectuur-historisch belang als voorbeeld van eenvoudige Hollandse neo-renaissance. 

Het pand is van belang vanwege het uitwendige aspect.",3440335,GM,Gemeentelijk monument,POINT (137330.451 456345.286)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d33,334,"Gebouwen, woonhuizen",Biltstraat 65 ,"Winkelwoonhuis gebouwd rond 1860 in neoclassicistische stijl. 

Het pand telt een bouwlaag met een mansardekap evenwijdig aan de Biltstraat. De gepleisterde voorgevel is vier traveeen breed. In de 3e en de 4e travee is op de begane grond de doorgang met winkelpui. De vensters bezitten geprofileerde omlijstingen met kuiven. Aan de voorzijde bevinden zich twee dakkapellen met houten wangen. 

Het pand is van architectuurhistorisch belang als voorbeeld van neoclassicisme en van historisch belang vanwege de herkenbaarheid van de locaal topografische ontwikkeling.",3440336,GM,Gemeentelijk monument,POINT (137339.162 456346.148)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d34,2804,"Gebouwen, woonhuizen",Plompetorengracht 4 ,,18318,RM,Rijksmonument,POINT (136913.465 456388.172)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d35,2804,"Gebouwen, woonhuizen",Plompetorengracht 4 BS,,18318,RM,Rijksmonument,POINT (136913.33 456387.125)
