Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
&Maes;;1;;;;1
026 Notariaat Fechner & Masmeijer;;1;;;;1
19 het atelier architecten;;3;;;;3
360 Techniek;;1;;;;1
3D Print Canal House Stg;;1;;;;1
4Success;;2;;;;2
7Am;;1;;;;1
aug-13;;1;;;;1
A.B. Geluidstechniek;;1;;;;1
A.B.M. Adviesbureau voor Bouwhistorie en Monumenten;;1;;;;1
Aalbers (incl. Wico);;2;;;;2
Aan De Stegge Bouw & Werktuigbouw;;6;;;;6
AAN HET STATION B.V.;;;;;5;5
Aannemersbedrijf Peters;;3;;;;3
Aannemingsbedrijf Holleman en Zonen Santpoort;;2;;;;2
Aas Opleiding en Training;;1;;;;1
ABC Nova;;2;;;;2
Aboma + Keboma;;2;;;;2
ABOT AdviesBureau voor OppervlakteTechnologie;;3;;;;3
Absoluta Food and Facilities;;3;;;;3
Abt;;5;;;;5
Accres Real Estate;;;;;3;3
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;;5;5
ACS Filtertechniek;;5;;;;5
Actys (incl. Wonen, Retail, BOG);;1;;;;1
Addvoltage;;1;;;;1
Adviesbureau Cappon;;2;;;;2
Adviesbureau Chevalking;;2;;;;2
Aegon;;;;;2;2
Aero Dynamiek;;6;;;;6
Afast Holding B.V.;;1;;;;1
AG Equinox Coöperatieve;;;;;4;4
AGC Gerechtsdeurwaarders & Incasso;;;;;1;1
Agterberg Bedrijven;;2;;;;2
AIK Real International;;;;;3;3
Airport Property Management;;;;;3;3
Ajax Chubb Varel;;7;;;;7
Akoestiek Comfort B.V.;;2;;;;2
AKRON Group;;;;;6;6
Albron Catering;;1;;;;1
Albyco;;1;;;;1
Alewijnse Holding;;7;;;;7
Alfagroup Security, Telecom, Control;;1;;;;1
Alferink - van Schieveen;;1;;;;1
ALGEMENE WONINGBOUW VERENIGING;;;;;1;1
ALIAS vastgoed;;1;;;;1
Alko Luchttechniek;;2;;;;2
Allen & Overy;;2;;;;2
ALM Afbouwgroep;;2;;;;2
Almata Jeugdzorg;;1;;;;1
Alp Lift;;1;;;;1
Alsta;;1;;;;1
Altavilla Bouwmanagement;;4;;;;4
Alura Hekwerk;;3;;;;3
Amstel Graphics;;1;;;;1
Amsterdam Airport Schiphol;;3;;;;3
Andriessen Installatiebedrijf;;3;;;;3
Anna Vastgoed & Cultuur;;2;;;;2
