Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
"""Bedryfsgeintegreerde Opleiding op Basis van Samenwerking van Nederlandse Ondernemingen """"BOSNO"""" Stichting""";;;;;;1;;;;1
&Maes B.V.;;;;;;2;;;;2
(On)gewoon Bram;;;;;;1;;;;1
123Zorgwinkel;;;1;;;;;;;1
2 Know How;;;;;;1;;;;1
2Xplain V.O.F.;;;;;;1;;;;1
3K Horeca B.V.;;;;1;;;;;;1
4Meetings & Events;;;;1;;;;;;1
5d/vdFeen;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;1;;;;1
7AM B.V.;;;;1;;2;;;1;2
7Zebra's;;;;;;1;;;;1
A Guide to Leeuwarden;;;;1;;;;;;1
Aaaaha! The Actor Factory B.V.;;;;1;;2;1;;;2
Abbink Metaal B.V.;;;;1;;;;;;1
About Flowers;;;;1;;;;;;1
ABP-Reclame;1;;;;;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;;;;1
Academia Aemstel B.V.;;;;;;1;;;;1
Academie Lokale Belastingen;;;;;;1;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;6;;;;6
Academy Payroll Professionals;;;;;;1;;;;1
Accor Hospitality Nederland (Novotel Br;;;;;;;;;1;1
Acquavite;1;;;1;;;;;;1
Acteursbureau Kapok B.V.;;;;;;1;;;;1
Action Learning Business School Europe B.V.;;;;;;1;;;;1
ACTME B.V.;;;;;;1;;;;1
ACTME BV;;;;;;1;;;;1
ADO Hospitality & Events B.V.;;;;;;;;;1;1
Adviesbureau Burgerzaken B.V.;;;;;;1;;;;1
Adviesbureau van Gijn;;;;;;2;;;;2
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;;1;;;;1
Advisafe Risk Management B.V.;;;;;;1;;;;1
Aegon Nederland N.V.;;;;;;;;;1;1
Aiki Art;;;;;;1;;;;1
Aim for Moon;;;;;;1;;;;1
Akerhill Management B.V.;;;;;;1;;;;1
Alambik distillerij;1;;;;;;;;;1
Albron Nederland B.V.;2;;;;;1;;;;2
AlfaBeta MP;;;;;;1;;;;1
Alignment4Value;;;;;;1;;;;1
All Things Mooi;;;;1;;;;;;1
Amadore Hotel Restaurant Arneville;;;;;;;;;1;1
Amaze Escape Events;;;;1;;;1;;;1
Amici B.V.;;;;1;;;;;;1
Amsterdam Business Hotel Reservations B.V.;;;;;;;;;1;1
Amsterdam Cupcake Company;;;;;;1;;;;1
And Products B.V.;1;;;;;;;;;1
anoniem;4;;5;2;3;5;1;;2;6
ANP Photo;;;;;;1;;;;1
AOB Compaz B.V.;;;;;;2;;;;2
AOG Holding B.V.;;;;;;1;;;;1
APCOA Parking Nederland B.V.;;;;;;;;;1;1
APPM Management Consultants B.V.;;;;;;2;;;;2
Arab. Translation Service;1;;;;;;;;;1
Arbo Unie;;;6;;;;;;;6
ArboDirect;;;6;;;;;;;6
ArboNed II B.V.;;;3;;;;;;;3
ArboVitale;;;4;;;;;;;4
Architektenburo K. van Velsen B.V.;;;;;;2;;;;2
Ardis Opleidingen B.V.;;;;;;2;;;;2
Ardis Organisatieontwikkeling B.V.;;;;;;1;;;;1
Arendshoeve B.V.;;;;;;1;;;;1
Argos Coaching;;;;;;1;;;;1
ArtdCom B.V.;;;;;;3;;;;3
Arte Di Vivere Holding B.V.;;;;;;2;;;;2
Artiestenverloningen B.V.;;;;;;1;;;;1
Artige B.V.;;;;1;;;;;;1
Artra B.V.;;;;;;1;;;;1
Artsviseur;;;2;;;;;;;2
arvato Finance B.V.;;;1;;;;;;;1
Assemblee Sprekersbureau B.V.;;;;;;2;;;;2
Assistance Software Productions B.V.;;;;;;;;1;;1
Aswa B.V.;;;;;;1;;;;1
Atelier Grijspaardt Lijstenmakerij;;;;1;;;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Atlantic and Pacific Exchange Program Stichting;;;;;;1;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;;;;;1;1
Attentie.nl;1;;;;;;;;;1
Aumm Beroepsopleiding PRT;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;1;;;;1
AyniSpirit;;;;;;1;;;;1
B&M textiles & promotions;;;;1;;;;;;1
B.V. Oorzaak;;;;;;2;;;;2
B.V. Touringcarbedrijf E.D.A.D.;;;;1;;1;;;1;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
B2B Productions;;;;;;1;;;;1
Babbels;;;;1;;;;;;1
Babycompany.nl;;;;1;;;;;;1
B-active;;;;1;;;;;;1
Baileo Music Productions B.V.;;;;;;1;;;;1
Bakker & Schnabel Training B.V.;;;;;;1;;;;1
Bakker Prins;;;;1;;;;;;1
Bakker Travel B.V.;;;;;;1;;;;1
Bakkerij Bart;;;;1;;;;;;1
Bakkerij Bergman;;;;1;;;;;;1
Bakkerij Reijnen;1;;;;;;;;;1
Bakkerij Remmerswaal B.V.;;;;1;;;;;;1
Balans & Impuls B.V.;;;2;;;2;;;;2
Balans4You;;;;;;1;;;;1
Ballon Express B.V.;;;;1;;;;;;1
Ballonnenkoerier.nl;;;;;;;1;;;1
Bally's eten & drinken;;;;1;;;;;;1
Banda Bou;;;;1;;;;;;1
Bandzoeker.nl;;;;1;;;;;;1
Banketbakkerij Boheemen;1;;;1;;;;;;1
Banketbakkerij De Kruyter;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Banketbakkerij Teurlings B.V.;1;;;;;;;;;1
Bar Restaurant La Vina;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;2;;1;;;;2
Barbarossa Beach B.V.;;;;1;;1;;;;1
Barista Brothers;;;;;;1;;;;1
Barlow Beheer B.V.;;;;1;;1;;;;1
Bartolomeus Productions;;;;1;;;;;;1
Basaal;1;;;;;;;;;1
Bastion Hotel Nijmegen B.V.;;;;;;;;;1;1
Bastion Hotel Utrecht B.V.;;;;;;;;;1;1
Bastion Hotel Weesp B.V.;;;;;;;;;1;1
Baston Service B.V.;;;;1;;;;;;1
BATAVIA RESTAURANT;1;;;;;;;;;1
BCD Travel B.V.;;;;;;;;;1;1
B-dare;;;;;;1;;;;1
Beachclub Copacabana B.V.;;;;2;;;;;;2
B-Eager BV;;;;1;;;;;;1
Beauty Center Atlantic;;;;;;1;;;;1
BeBright Consultancy B.V.;;;;;;1;;;;1
Bedrijfsfitness Nederland B.V.;;;4;;;;;;;4
BedrijfsMotivaties B.V.;;;;;;1;;;;1
Beerens Business Press;;;;1;;;;;;1
Being Authentic;;;;;;1;;;;1
Ben Kuiken;1;;;;;;;;;1
BenAle Risk Management Advice;;;;;;1;;;;1
Bento Presentaties;2;;;;;2;;;;3
