Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
(Naast) de Markt B.V.;;;1;;;;;;1
(Steen)Grill-Restaurant Sphinx II;;;1;;;;;;1
1001 hapjes;;;1;;;1;;;1
10M GmbH;;;;;1;;;;1
2 Beren;;;1;;;;;;1
2Byte;;;1;;;;;;1
2engage.nu organisatieadvies;;;;;1;;;;1
2nd Floor Zoetermeer;;;1;;;1;;;1
2Participate Deekens Advies B.V.;;;;;1;;;;1
365 dagen succesvol;;;;;1;;;;1
3K Horeca B.V.;;;1;;;;;;1
4Kids;;;1;;;;;;1
A Guide to Leeuwarden;;;1;;;;;;1
A. de Leeuw;;;;;;;;1;1
A.J. Prins;;;;;;;;1;1
A.W. Kok B.V.;;;1;;;;;;1
A.W.T. Nijenhuis;;1;;;;;;;1
AC Plus Automatisering B.V.;;;;;1;;;;1
Academic Cooperation in Bus. Education B.V.;;;;;1;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;1
Academie voor Cultuurmanagement;;;;;1;;;;1
Academie voor Meesterschap;;;;;1;;;;1
Academie voor Psychologica;;;;;1;;;;1
Academisch Medisch Centrum;;1;;;;;;;1
Academische Huisartsenpraktijk;;1;;;;;;;1
Academy for Information and Management B.V.;;;;;1;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;;;1;;;;;;1
Actis Seminars B.V.;;;;;1;;;;1
Ad Em Producties B.V.;;;;;1;;;;1
Ad Hosman;;;1;;;;;;1
A'dam LookOut B.V.;;;1;;;;;;1
Adecco Personeelsdiensten B.V.;;;;;1;;;;1
ADO Hospitality & Events B.V.;;;;;;1;;;1
Agile Scrum Group B.V.;;;;;1;;;;1
Ahoy' Horeca B.V.;;;1;;;1;;;1
Aiki Art;;;;;1;;;;1
Akke Bink Tuinontwerp;;;1;;;;;;1
Aktiviteitencentrum Poortershoes;;;1;;;1;;1;1
Albert Heijn B.V.;;;1;;;;;;1
Alexanderhoeve Hilversum;;;1;;;;;;1
Alibi Hostel;;;;;1;;;;1
All Season Sports;;;1;;;;;;1
Allgifts.nl B.V.;;;1;;;;;;1
Alpinia B.V.;;1;1;;;;;;1
Alter;;;;;1;;;;1
Altura Nederland;;;;;1;;;;1
Always Green B.V.;;;1;;;;;;1
Amaze Escape Events;;;1;;;1;;;1
