Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
(H)earprotect Professional;;;;;;;;;1;;1
3Hamy;;;;;1;;;;;;1
AddComm Direct B.V.;;;;;;4;;;;;4
Addition;;;;;;;;;1;;1
Ajax Chubb Varel;;;1;;;;;;;;1
Akaha Nederland;;;;;;;;;1;;1
Alex Kraak Logistics;;;;;1;;;;;;1
Altec Industriele Identificatie;;;;;;1;;;1;;1
Alvero Kantoormeubelverhuur;;;;;;;;2;1;;2
Anke Nobel illustraties;;;;;;1;;;;;1
ANP - Algemeen Nederlands Persbureau;;;;;;1;;;;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;;;;;2;;2
Anticimex (vh ISS Hygiene Services);;;;3;;;;;;;3
ARAS Security;;;;;;;;;1;;1
Argus Etiketten;;;;;;1;;;;;1
Art Security;;;1;;;;;;;;1
Asito;;;;2;;;;;;;2
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;1;;;;;;1
Autopoetscentrale Pitlo;;;;1;;;;;;;1
AveleijnSDT;;;;;1;;;;;;1
Banketbakkerij van Ingen;;1;;;;;;;;;1
BCU - Bergings Combinatie Utrecht;;;;;1;;;;;;1
BDK Consult;;;;;;;;;1;;1
Berendsen Textiel Service;;;;;;;;;2;;2
Besseling Vervoert;1;;;;;;;;;;1
Bestdeal Factors (incl. Solid Factors);;;;1;;;;;1;;1
Biesheuvel Groep;;;;;;;;;1;;1
Biga Groep (Sociale Werkgroep);;;1;5;;;3;;;;5
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;;;2;;;;;;;2
Bol.Com;;1;1;;;;;;1;;1
Borrias Groep;;;;;;1;;;;;1
Box Editing;;;;;;1;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;;;;;;;1;;1
