ZAAKNUMMER,ZAAKTYPECODE,KANAAL,OMSCHRIJVING,TOELICHTING,REGISTRATIEDATUM,STARTDATUM,EINDDATUM,GEPLANDE EINDDATUM,CASE_TYPE_ID,NIVEAU1CASE,NIVEAU2CASE,NIVEAU3CASE,class_classificatie,class_vies,class_stuk,class_overlast,class_niet_relevant,STRAATNAAM,HUISNUMMER,POSTCODE,BUURTCODE,BUURT,WIJKCODE,WIJK,WOONPLAATS,X-coordinaat,Y-coordinaat,LONGITUDE,LATITUDE,BAG_STRAATNAAM,PC6_BRON,PC6
18691,MLD0701,WEBFORM,aanhangers / caravans,"Geachte heer/mevrouw,ongeveer 6 weken terug heb ik melding gemaakt van aanhanger overlast op de Philippusweg t.h.v. nummer 6 t/m 10 (overkant). Er staan op dit moment circa 7 aanhangers gestald op de openbare weg, deze staan er al langer als 2 jaar.Wat gaat u hier aan doen?Neem a.u.b. actie !!!",20111210090829,20111212,20111229,20111215,261,Overlast,Parkeeroverlast,aanhangers / caravans,parkeren,ONWAAR,ONWAAR,WAAR,ONWAAR,Philippusweg,8,3125AS,81,Spaanse Polder,80,Industriegebied,Schiedam,,,4.411108493,51.92642477,Philippusweg,melding,3125AS
14370,MLD0821,WEBFORM,OV 1 lamp stuk,al enige tijd is er een ov kapot ook na diverse telefoontjes wordt er niets aan gedaan,20111010201052,20111011,20111012,20111014,266,Straatmeubilair,Straatverlichting,OV 1 lamp stuk,verlichting,ONWAAR,WAAR,WAAR,ONWAAR,Rembrandtlaan,27,3117VC,31,Schildersbuurt,30,West,Schiedam,,,4.383540348,51.91257533,Rembrandtlaan,melding,3117VC
29237,MLD0303,WEBFORM,vuilniszakken,"gaat over afvalbak. staat hierboven niet aangegeven.In onze staat afvalbak geplaatst in het gras in een bocht vlak langs straat. a. niemand steekt over om iets weg te gooien. b. nauwe straat nauwelijks passeren auto's, in de bocht, hier gebeuren ongelukken. .m.vr.gr.Irma Nuijten",20120328132651,20120329,20120417,20120403,326,dumpen van vuilnis,vuilniszakken,,grofvuil en dumping,WAAR,ONWAAR,WAAR,ONWAAR,Gustav Vasaborg,45,3124TH,98,Sveaborg en -Dal,90,Woudhoek en Spaland/Sveaparken,Schiedam,,,4.385563633,51.94510623,Gustav Vasaborg,melding,3124TH
31473,MLD0821,WEBFORM,OV 1 lamp stuk,Straatlantaarn doet het al heel lang niet,20120421120902,20120423,20120510,20120426,266,Straatmeubilair,Straatverlichting,OV 1 lamp stuk,verlichting,ONWAAR,WAAR,WAAR,ONWAAR,Burgemeester Van Haarenl,973,3119GG,67,Nolensbuurt,60,Nieuwland,Schiedam,,,4.38765286,51.92202346,Burgemeester Van Haarenlaan,melding,3119GG
44260,MLD0402,WEBFORM,hinderlijk gedrag,Betreft werkzaamheden aan het Heijermansplein te Schiedam. Na een lek aan de waterleiding heb ik mijn gevel onderzocht. Hier heb ik een scheur en schade aan mijn gevel ontdekt. Dit door zwaar verkeer en werkzaamheden in het van Gasterenpad. Ik verzoek u naar aanleiding van scheurvorming een bouwonderzoek te doen.,20121001193107,20121002,20121107,20121005,265,Overlast,Hinderlijk gedrag personen/groepen,hinderlijk gedrag,,,,,,Arnoldipad,37,3123NB,91,Toneelspelersbuurt,90,Woudhoek en Spaland/Sveaparken,Schiedam,,,4.371641929,51.93952839,Arnoldipad,melding,3123NB
42025,MLD0102,WEBFORM,onbeheerde (brom)fietsen,"De meeste bewoners die aan het einde van de Lange Nieuwstraat wonen (voor de brug) hebben geen schuur of tuin en zijn genoodzaakt hun fiets op straat te zetten . Deze worden alleen met regelmaat vernield, zoals afgelopen week zijn alle ventielen eruit gedraaid, ook bij onze fietsen. Ook staan er vaak zoveel fietsen dat uit de auto stappen aan de kant van de stoep niet mogelijk is. Maar de vernielingen zijn het grootste probleem.",20120902200746,20120903,20120905,20120906,404,Overlast,(Brom)fietsen,onbeheerde (brom)fietsen,,ONWAAR,ONWAAR,WAAR,ONWAAR,Lange Nieuwstraat,19,3111AC,23,De Plantage,20,Centrum (tussen havens en grachten),Schiedam,,,4.405719597,51.90940681,Lange Nieuwstraat,melding,3111AC
40181,MLD0502,WEBFORM,niet opruimen hondenpoep,"Op de grasvelden van de Zwaluwlaan, grenzend aan het Hargplein, stonden tot voor kort 2 verbodsborden om honden uit te laten. Die borden zijn in het voorjaar weggehaald (waarom??) en niet meer teruggeplaatst. Gevolg: er worden steeds meer en meer honden op die grasvelden uitgelaten met als gevolg steeds meer hondenpoep.  Daarom een dringend verzoek de borden weer terug te plaatsen. Toen ze er nog stonden was er veel minder overlast van hondenpoep.",20120808172215,20120809,20120823,20120814,268,Overlast,Hondenoverlast,niet opruimen hondenpoep,hondenpoep,WAAR,ONWAAR,WAAR,ONWAAR,Hargplein,9,3121VB,76,Vogelbuurt,70,Groenoord en Kethel,Schiedam,,,4.377629671,51.93400997,Hargplein,melding,3121VB
36523,MLD0701,WEBFORM,aanhangers / caravans,"Helaas worden de parkeerplaatsen bij mij voor de deur te vaak gebruikt voor bedrijfsmatig parkeren. 18 juni vanaf 18:45 staat er een auto met oplegger en aanhanger, gezamenlijke lengte 2,5 parkeervak, met daarop twee personenauto's. Kenteken: 55-VG-LZEigenaar: Fa. Kombe uit BrakelTel Nr. 0624 291877",20120618194944,20120619,20120623,20120622,261,Overlast,Parkeeroverlast,aanhangers / caravans,parkeren,ONWAAR,ONWAAR,WAAR,ONWAAR,Burgemeester Knappertlaa,41,3116BB,37,Oranjekwartier,30,West,Schiedam,,,4.391721558,51.91104132,Burgemeester Knappertlaan,melding,3116BB
44352,MLD0822,WEBFORM,OV meer lampen stuk,"Er zijn lantaarn lampen stuk.Dat gebeurt  meerderen malen per maand,de enen keer blijfen ze de hele dag branden en nu al 2 keer in de week branden ze weer niet ze branden nu al 3 dagen niet.het gebeurt zeker met regelmaat dat ze niet branden.",20121002122219,20121003,20121026,20121008,258,Straatmeubilair,Straatverlichting,OV meer lampen stuk,verlichting,ONWAAR,WAAR,WAAR,ONWAAR,Thorbeckesingel,47,3118RW,68,Wibautbuurt,60,Nieuwland,Schiedam,,,4.384537602,51.91795186,Thorbeckesingel,melding,3118RW
47639,MLD0502,WEBFORM,niet opruimen hondenpoep,"Ls.Nu de dijk niet meer toegankelijk is voor wandelaars ivm aanleg A4 en het wandelpad door de bossage ook is afgesloten ivm het kappen van de bomen lopen veel mensen met hun honden langs de speeltoestellen, grasstrook en door de woonwijk met hun loslopende honden, met als gevolg dat het vol ligt met hondenpoep waar kinderen spelen en ook op de stoepen en vlak voor voortuintjes in de aangrenzende straten. Graag zien wij actie ten opzichten van deze overlast.Mvg. Esther Meertens",20121116154037,20121119,20121128,20121122,268,Overlast,Hondenoverlast,niet opruimen hondenpoep,hondenpoep,WAAR,ONWAAR,WAAR,ONWAAR,Tinnengieterhof,3,3123PH,92,Ambachtenbuurt,90,Woudhoek en Spaland/Sveaparken,Schiedam,,,4.362544401,51.94287076,Tinnengieterhof,melding,3123PH
