Handelsnaam;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Antalis B.V.;1;;;;;1
Atos Nederland B.V.;;;;;8;8
Axez ICT Solutions B.V.;5;;;;;5
BCD Travel B.V.;;;;;1;1
Between B.V.;;;;;7;7
Capgemini N.V.;;;;;7;7
CGI Nederland B.V.;3;;;;;3
COMPAREX Nederland B.V.;7;1;2;;4;7
Entopic Expert Services B.V.;;;;;4;4
Flexa Media;;;;1;;1
Futuremanagement B.V.;;;;;2;2
Harvey Nash B.V.;;;;;2;2
HeadFirst B.V.;;;;;7;7
In2Content B.V.;;;;1;;1
IT-Staffing Nederland B.V.;;;;;7;7
Mercure Hotel Amsterdam City;;;1;;;1
Microsoft B.V.;7;;;;5;7
NFGD Zoetermeer B.V.;;;;1;;1
Onlyhuman B.V.;;;;;3;3
Oracle Nederland;7;;;;;7
Orange Business Netherlands B.V.;;;;9;3;9
Pardon Consult;;;1;;;1
Planon B.V.;;;4;;;4
PointLogic HR B.V.;2;;1;;;2
Protinus IT B.V.;1;;;1;;1
Public Partners B.V.;;;;;1;1
QSM Nederland B.V.;1;;;;;1
QuoVadis Trustlink B.V.;1;;;;;1
Randstad Bouw;;;;;4;4
Ricoh;;;;2;;2
Ruigrok NetPanel;2;;;;;2
Sodexo Altys B.V.;;;;;2;2
SoftwareONE B.V.;6;;1;;;6
Start People;;;;;4;4
Technisch Bureau Verhagen B.V.;1;;;;;1
Tempo-Team Uitzenden B.V.;;;;;4;4
Tinqwise B.V.;;;;;1;1
TPI Eurosourcing L.L.C.;2;;;;2;3
Transip B.V.;;;;1;;1
Twynstra Gudde;;;;;2;2
UNO2CLOUD B.V.;;;;1;;1
VCK Travel B.V.;;;;;1;1
Verizon Nederland B.V.;;;;1;;1
VerversAdvies B.V.;;;;;4;4
Virtual Sciences Solutions B.V.;2;;;;1;2
Visuall;2;;;;;2
Vodafone;;;;7;;7
Eindtotaal;8;1;4;9;9;10
