Leveranciers;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Atos Nederland B.V.;;;;;;7;7
Axez ICT Solutions B.V.;;5;;;;;5
Beyond Reality B.V.;;;;2;;;2
CA software B.V.;;1;;;;;1
Caesar Accounts;;;;;;2;2
Capgemini N.V.;;;;;;7;7
CCV Services B.V.;;;;;1;;1
Cinnamon Interactive B.V.;;;;2;2;;2
COMPAREX Nederland B.V.;7;3;4;;2;2;7
DHL Finance Services B.V.;;;;;;1;1
Discountoffice.nl B.V.;1;;;;;;1
Ecorys B.V.;2;;;;;;2
Eindtotaal;8;5;5;3;9;8;10
Entopic Expert Services B.V.;;;;;;2;2
Gannexion B.V.;;;;;3;;3
Hennequin Consultancy B.V.;;;;;;2;2
In2Content B.V.;;;;;;1;1
Interactive Blueprints B.V.;2;;;;;;2
Internetworking Security Services eXperts;1;;;;;;1
IT-Staffing Nederland B.V.;;;;;;2;2
Ivo Broekhuizen Communicatie;;;;;1;;1
KBcom;;;;;1;;1
Microsoft B.V.;7;;;;;4;7
mijndomein.nl B.V.;;;;;;1;1
Misco Solutions B.V.;2;;;;;;2
Molenaar & Lok Consultancy B.V.;;;;;;2;2
NFGD Zoetermeer B.V.;2;;;;;;2
Nyala Media;1;;;;;;1
Orange Business Netherlands B.V.;;;1;;9;7;9
Outpost24 Benelux B.V.;;;;;1;;1
P & A Software B.V.;;;2;;;;2
Planon B.V.;;;4;;;;4
PointLogic HR B.V.;;2;1;;;;2
PQR B.V.;3;;;;;;3
Protinus IT B.V.;2;;;;;;2
Public Partners B.V.;;;;;;2;2
QSM Nederland B.V.;2;;;;;;2
Ricoh;2;;;;;;2
Tangram B.V.;;;1;;;;1
Telegrootgebruik B.V.;6;;;;2;;6
Transip B.V.;1;;;;1;;1
Twynstra Gudde;;;;;;3;3
UP learning B.V.;;;1;;;;1
Verizon Nederland B.V.;;;;;1;;1
VerversAdvies B.V.;;;;;;2;2
Vodafone;;;;;7;;7
XS4ALL Internet B.V.;;;;;1;;1
