Via wie?,Soort vleermuis,Aantallen,Adres,Wijk/Dorp,Functie,Opmerkingen
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>45,Koningin Wilhelminaweg 441,Groenekan,dieren jagen totaan Fort Blauwkapel,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>35,Ivoordreef 113,Utrecht (Overvecht),gebouw in 2010 gesloopt,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Paranadreef 2,,,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>40,Amazonedreef 72,Utrecht (Overvecht),eenmalige invasie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,H.F. van Riellaan 5A,Utrecht Tuindorp,winter+ voorjaarsverblijfplaats,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Vechtplantsoen 148,Utrecht (Zuilen),zomerloctaie 2011,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,??,Belle van Zuylenllaan,Utrecht (Oud Zuilen),gebouw in 2000 verbouwd,
Via de zoogdiervereniging Eric Jansen,Gewone grootoorvleermuis,3-Jan,Tournooiveld 1,Utrecht (Oud Zuilen),s winters in de gevangenis,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>35,Houtsnijderslaan  1,Utrecht (de Meern),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,80,Wolweverslaan 39,Utrecht (de Meern),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,80,Melkmeisjeslaan,Utrecht (de Meern),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>35,Keerkring,Utrecht (de Meern),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>85,Dorpsstraat 35,Utrecht (Vleuten),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>5,Thematerweg 18,Utrecht (Vleuten),nazomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,brink 6a,Utrecht (Haarzuilens),niet meer na verbouwing,
