lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;vve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
100019778;BSO;Nee;Buitenschoolse opvang Snoopy De Lei;80;;Ingeschreven;09-11-2020;Larikslaan 2 ;2451BV;Leimuiden;1884010000026995;Kinderopvang Snoopy BV;33305026;000019526881;BV;2015-11-26;;Acacialaan 50 ;2451XZ;Leimuiden;;Larikslaan 2 ;2451BV;Leimuiden;;Mirandum Rellum;'0172506460';secretariaat@kinderopvangsnoopy.nl;http://www.kinderopvangsnoopy.nl;1884;Kaag en Braassem;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a4c36631-40a4-444d-84b3-b792a1e9cdf6
100022340;VGO;Nee;Shatunova de Vries;6;;Ingeschreven;11-09-2014;Dorsvlegel 26 ;3763ZP;Soest;0342010000019898;Shatunova;;;;;;;;;;;;;;;'';;;342;Soest;205841971;385569786;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6a5d4c94-1dd2-44ab-a279-1df1fd536772
100027544;BSO;Nee;'t Haaienhonk locatie KC Caleidoscoop;172;;Ingeschreven;01-01-2010;Fluitenkruid 10 ;5236TL;'s-Hertogenbosch;0796010000432912;Kinderopvang 't Goudvisje;17172550;;BV;2016-02-19;;Postbus 223;5240AE;Rosmalen;;Canadasingel 10A ;5247WZ;Rosmalen;;Nanna Verhaaren;'073-5221670';info@goudvisje.nl;http://www.goudvisje.nl;796;'s-Hertogenbosch;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0798c5bb-6b12-4dcf-ac8c-23d60dc6c806
100037264;KDV;Nee;Kinderdagverblijf Topkids B.V.;20;Nee;Ingeschreven;10-12-2010;Torenstraat 15 ;3764CK;Soest;0342010000003982;Kinderdagverblijf Topkids B.V.;50634089;000020986629;Besloten Vennootschap;2016-04-12;;Torenstraat 15 ;3764CK;Soest;;Laanstraat 84 ;3762KE;Soest;;Ruby Hensen;'0346214323';info@topkids.nl;http://www.topkids.nl;342;Soest;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b3c0f011-e459-4eb1-89cc-b655d403512c
100037951;VGO;Nee;Holleman;6;;Ingeschreven;27-09-2010;Bieslookveld 23 ;7006TG;Doetinchem;0222010000614058;Holleman;;;;;;;;;;;;;;;'';;;222;Doetinchem;163832341;210758855;464044911;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b246a85f-cfd7-4e9c-9bf7-bf7486259692
100045662;VGO;Nee;Mossel-Kruger;6;;Ingeschreven;30-06-2014;Schumansingel 16 ;6716KE;Ede;0228010000035889;Mossel-Kruger;;;;;;;;;;;;;;J. Jegerings;'';info@dolfijntjes.com;;228;Ede;162801580;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4a9c58eb-ba87-4843-8275-03e5b9e7b17d
100047130;VGO;Nee;Dal-Verspeek;4;;Ingeschreven;08-11-2010;Duikersloot 23 ;2642DS;Pijnacker;1926010000525345;Dal-Verspeek;;;;;;;;;;;;;;;'';;;1926;Pijnacker-Nootdorp;212533022;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ae590e53-5c79-4296-9a10-e8948d570072
100048146;KDV;Nee;Locatie Eben Haëzer;16;Ja;Ingeschreven;19-12-2019;Blauwe Distelstraat 31 ;3252LA;Goedereede;0511010001960784;Stichting Peutereiland;24438528;000044711026;Onbekend;2017-01-01;;Beneden Zandpad 7 ;3241GA;Middelharnis;;Blauwe Distelstraat 31 ;3252LA;Goedereede;;De heer A. de Bree;'06 30 03 68 79';a.debree@peutereiland.nl;http://www.peutereiland.nl;1924;Goeree-Overflakkee;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0a845590-74da-4898-bf13-9efbe030fdde
100054006;BSO;Nee;Het Oerkind;36;;Ingeschreven;06-02-2012;Sportlaan 1f ;6681CD;Bemmel;1705010000023433;Langs de Linge;64073297;;Onbekend;2015-11-20;;Poeldrik 77 ;6681VG;Bemmel;;Groenewei 19 ;6681WG;Bemmel;;Tiemen van Engen-Wanders;'06-29068392';info@hetoerkind.nl;;1705;Lingewaard;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6864db82-f5e7-49b5-93aa-7e1a6a607dfa
100062507;KDV;Nee;de Kikker PO;16;Ja;Ingeschreven;01-07-2012;Willem van Coulsterstr 2 ;1962WN;Heemskerk;0396010001012779;Stichting Welschap Kinderopvang;34219786;000022138730;Stichting;2016-01-11;;Lauraplein 1 ;1961GP;Heemskerk;;Postbus 149;1960AC;HEEMSKERK;;Jacqueline Klijn;'0251 731 731';kinderopvang@welschap.nl;http://www.welschapkinderopvang.nl;396;Heemskerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2f33bbfb-aded-4a4b-ae64-50975cde4204
