Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
&Maes B.V.;;;;;1;;;1
&Schuurman;;;1;;;;;1
(BBP) Beerens-Business Press B.V.;;;;;1;;;1
(Food)design Franke Elshout;;;1;;;;;1
@Nieuwkuijk B.V.;;;1;;;;1;1
050 taxicentrale;;;;;;;1;1
073 Meeting Company B.V.;;;;;1;;;1
076 Personenvervoer;;;;;;;1;1
123boekingen.nl;;;1;;;;;1
'1e Klas' Grand Café Restaurant;;;1;;;;1;1
1st. Sup. Int.le di Scienze Criminali;;;;;1;;;1
2 Know How;;;2;;3;;;3
21 The Netherlands;;;1;;;;;1
2Do Events;;;;;;;1;1
2MB Consultancy;;;;;2;;;2
2nd Floor Up B.V.;;;;;1;;;1
2tact B.V.;;;;;2;;;2
2useit;;;;;1;;;1
32 Eten & Drinken;;;1;;;;;1
3DMens;;;1;;2;;;2
3M Nederland B.V.;;;1;;;;;1
4D organisatieontwikkeling & opleiding;;;;;1;;;1
4DotNet B.V.;;;;;2;;;2
5 broden 2 vissen;;;;;;;1;1
5hart-IT Opleidingen B.V.;;;;;4;;;4
7AM Den Haag B.V.;;;1;;1;;1;1
A & P Investments B.V.;;;2;;1;;1;2
A C Kenniscentrum;;;;;1;;1;1
A Cup of Cake;;;;;1;;;1
A Guide to Leeuwarden;;;1;;;;;1
A MTAC;;;1;;;;;1
A&A Bloemen;;;1;;;;;1
A&M Zadeh Esmail/Délifrance Breda Centrum;;;;;;;1;1
A. Hormann Training & Coaching;;;;;1;;;1
A. Langeveld V.O.F.;;;1;;;;;1
A. Tufi t.h.o.d.n. Supervlaai;;;1;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;1
A.A.L.O.;;;;;1;;;1
A.B. van Vugt B.V.;;;;;;;1;1
A.C. de Boer Brood-Banket-Grootverbruik;;;1;;;;;1
A.F.M. Kral t.h.o.d.n. The Read Shop Express;;;1;;;;;1
A.H.L. Westerouen Van Meeteren;;;;;1;;;1
A.M. Knook Vastgoed B.V.;;;;;1;;;1
A.P. van der Pijl Holding B.V.;;;;;1;;;1
A.P.F. Toonen Beheer B.V.;;;;;1;;;1
A.P.S. Leeuwarden V.O.F.;;;1;;;;;1
A.P.S. Nieuwegein;;;1;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;1;;;1
a4 Training;;;;;2;;;2
Aaaaha! The Actor Factory B.V.;;;;;1;;;1
Aalders Wassalon/Stomerij;;;1;;;;;1
Aalsmeerse Bloemenshow B.V.;;;1;;;;;1
Aaltje Vincent & Company;;;;;1;;;1
AandachtsPunt;;;;;1;;;1
AantjesZevenberg Advocaten;;;;;;;1;1
Aardoom & De Jong B.V.;;;;1;;;;1
Aaron A. de Haas Training B.V.;;;1;;2;;;2
Aartsen Hekman Lodder Advocaten;;;1;;;;;1
AAS Opleiding en Training;;;;;1;;;1
AATaxi Zwolle;;;;;;;1;1
AB Tax;;;;;;;1;1
Abbey Conference & Corporate;;;;;1;;;1
ABC American Buffet Corner B.V.;;;1;;;;;1
ABC communicatie & mediaproducties;;;;;2;;;2
ABC Events Nederland;;;1;;;;;1
Abdijhuis;;;;;;;1;1
Abel. Grand Café Restaurant B.V.;;;1;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;1;;;;;1
Abma Schreurs Advocaten B.V.;;;;;1;;;1
About Time Institute People Investors (ATIP);;;;;1;;;1
