Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
& Klevering-Online B.V.;1;;;;;;;1
&Maes B.V.;1;1;;;;;;2
&Samhoud Nederland B.V.;4;;;;;;;4
(Lucht)Fotografie Close-Up;1;;;;;;;1
.FABRIC;2;;;;;;;2
050media development B.V.;1;;;;;;;1
2 Know How;1;;;;;;;1
2BGlobal B.V.;1;;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;1;1;1;;;;;2
2FLUX stad projectontwikkeling;1;;;;;;;1
2-Nice B.V.;4;;;;;;;4
3B Bureau Bodem en Milieubeleid;2;;;;;;;2
3K Horeca B.V.;1;;;;;;;1
4Meetings & Events;2;;;;;;;2
4xM-Mixed Media Match Makers;2;;;;;;;2
5Consultancy;1;;;;;;;1
7AM B.V.;1;;;;;;;1
7AM Den Haag B.V.;1;;;;;;;1
7habits B.V.;1;;;;;;;1
A Matter of Taste B.V.;2;;;;;;;2
A. Agterberg B.V.;3;;;;;;;3
A. Terlouw Consult;2;;;;;;;2
A. van Helden Relatiegeschenken B.V.;1;;;;;;;1
A.J.K. Schild.- en Wandafwerkingsbedr. V.O.F.;2;;;;;;;2
A.M. Mulder H.O. HR werkt;2;;;;;;;2
Aaaaha! The Actor Factory B.V.;1;1;;;;;;1
aadesign;1;;;;;;;1
Aakwadraat Networks B.V.;2;;;;;;;2
Aalsmeers Bloemenhuis;1;;;;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;;;;1
ABF Research B.V.;2;;;;;;;2
Abio Arch. Bedr.proc. Inf.kunde Opl. B.V.;2;;;;;;;2
ABN AMRO Bank;;1;;;;;;1
Absoluta Food and Facilities B.V.;1;;;;;;;1
Academisch Medisch Centrum;2;;;;;;;2
Accanto B.V.;1;;;;;;;1
Acceleratio B.V.;2;;;;;;;2
ACCO Brands Benelux B.V.;1;;;;;;;1
Ace Projects;2;;;;;;;2
Achtienhonderdeenenvijftig (1851) B.V.;1;;;;;;;1
Acquire Publishing B.V.;2;;;;;;;2
Acteursbureau Kapok B.V.;;1;;;;;;1
ACTME B.V.;1;1;;;;;;1
Actors Procesmanagement B.V.;1;;;;;;;1
ACV Beheer B.V.;1;;;;;;;1
Adecs Airinfra B.V.;4;;;;;;;4
Adilanti B.V.;2;;;;;;;2
Adlittelhelpt;1;;;;;;;1
Adv.bur.;3;;;;;;;3
Advier;2;;;;;;;2
Advies- en Projectbureau Van Laar;1;;;;;;;1
Advies Talent B.V.;2;;;;;;;2
Advies water en klimaat;1;;;;;;;1
Adviesbureau De Versnelling B.V.;1;2;;;;;;2
Adviesbureau F.J. van Velzen;1;;;;;;;1
Adviesbureau J. Cornet;2;;;;;;;2
Adviesdienst Mens & Veiligheid B.V.;2;;;;;;;2
Adviesgroep voor Kantoorinnovatie AVK B.V.;;1;;;;;;1
Advin B.V.;2;;;;;;;2
Advisafe Risk Management B.V.;2;;;;;;;2
Advocatenpraktijk Acquisition Management B.V.;2;;;;;;;2
Aebi Schmidt Nederland B.V.;1;;;;;;;1
AEQUATOR Groen & Ruimte B.V.;;1;;;;;;1
Aero Bird Control Solutions B.V.;1;;;;;;;1
afgekort R.E.T. N.V.;1;;;;;;;1
Afmitech Friesland B.V.;1;;;;;;;1
aFrogleap B.V.;1;;;;;;;1
Agel Adviseurs B.V.;1;;;;;;;1
Agrippa Consulting;1;1;;;;;;1
AHA Medezeggenschap;1;;;;;;;1
Ahrend Inrichten;1;;;;;;;1
AIM Nederland B.V.;1;;;;;;;1
Airbus Defence and Space Netherlands;;2;;;;;;2
Ajilon Young Professionals B.V.;2;;;;;;;2
AKD;2;;;;;;;2
AKKA Architects;1;;;;;;;1
Akke Holsteijn / Werk in Communicatie;2;;;;;;;2
AKZO Nobel Chemicals B.V.;;1;;;;;;1
Alcedo Consultancy B.V.;2;;;;;;;2
Algemene Bezorgdienst R. Koning;1;;;;;;;1
All Season Sports;2;;;;;;;2
Alles voor de lunch;1;;;;;;;1
Allroundrail;2;;;;;;;2
Alp Lift B.V.;1;;;;;;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;3;;;;;;;3
Altrex B.V.;1;;;;;;;1
Alt-Tab Bedrijfsondersteuning;1;1;;;;;;1
Alvero Kantoormeubelverhuur B.V.;1;;;;;;;1
Amazing Bread Company B.V.;1;;;;;;;1
Amber DSGN;1;;;;;;;1
Ambiënt Advies B.V.;3;;;;;;;3
Ameco Adviesgroep Milieubeleid B.V.;2;;;;;;;2
Amenddak;1;;;;;;;1
Amo-meteo;2;;1;;;;;2
Amrath Maastricht B.V.;1;;;;;;;1
Amsterdam Boat Events B.V.;1;;;;;;;1
Amsterdam StatLab;;;2;;;;;2
Anacon-Infra B.V.;1;;;;;;;1
Andersson Elffers Felix;5;;2;;;;;5
Ankerslot B.V.;1;;;;;;;1
Anoniem 102;2;;;;;;;2
Anoniem 104;;;2;;;;;2
Anoniem 11;1;;;;;;;1
Anoniem 125;1;;;;;;;1
Anoniem 157;1;;;;;;;1
Anoniem 165;1;;;;;;;1
Anoniem 209;1;;1;;;;;1
Anoniem 214;1;;;;;;;1
Anoniem 216;2;;;;;;;2
Anoniem 217;;;1;;;;;1
Anoniem 220;1;;;;;;;1
Anoniem 225;;1;;;;;;1
Anoniem 226;1;;;;;;;1
Anoniem 227;1;;;;;;;1
Anoniem 23;1;;;;;;;1
Anoniem 231;1;;;;;;;1
Anoniem 235;1;;;;;;;1
Anoniem 236;1;;;;;;;1
Anoniem 24;4;;;;;;;4
Anoniem 244;1;;;;;;;1
Anoniem 249;1;;;;;;;1
Anoniem 250;1;;;;;;;1
