Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
2-control B.V.;;;;3;3
3angles B.V.;;2;;;2
A. Heijnen Consulting B.V.;;;1;;1
A.G. Advies B.V.;;;1;;1
AEVES B.V.;2;;;;2
Andersson Elffers Felix;;;4;;4
Angelique Tukker;2;;;;2
Aon Global Risk Consulting B.V.;2;;;;2
Applied DNA Sciences;1;;;;1
Baker Tilly Berk Eindhoven;;;1;;1
Balance Consultancy Group;;;3;;3
BaseClear B.V.;2;;;;2
Bayerisches Landeskriminalamt;1;;;;1
BDO Accountants;;;;2;2
Berenschot B.V.;;;4;;4
Berenschot Groep B.V.;;;2;;2
Between Staffing Nederland B.V.;2;;;;2
Borboleta B.V.;;;2;;2
Bureau voor Management & ICT Coöperatie U.A.;;;2;;2
Buro Magis;;;2;;2
C6 Consultancy B.V.;;;1;;1
CAOP;4;;;;4
Capgemini Nederland B.V.;;;2;;2
Cellebrite GmbH;1;;;;1
Company.Info B.V.;;;3;;3
Compass Group Nederland B.V.;1;;;;1
Coöperatieve Neurochirurgie Brabant U.A.;1;;;;1
Crisisplan B.V.;;;1;;1
De Argumentenfabriek B.V.;;;2;;2
De Beleidsonderzoekers;;;2;;2
De Duurzame Adviseurs;;;1;;1
De Galan Groep B.V.;;2;;;2
De Presentatie Groep B.V.;;;2;;2
De Regelaar;;;2;;2
Deloitte Accountants B.V.;;;;3;3
Deloitte Consulting B.V.;;;3;;3
Diagnostiek voor U;3;;;;3
Diatomella;1;;;;1
DPA Finance B.V.;;;;4;4
DSP-Groep B.V.;;;2;;2
Efectis Nederland B.V.;2;;;;2
Effectory Holding B.V.;;;1;;1
Element Breda;2;;;;2
Ergo B.V.;;;2;;2
Ernst & Young Accountants LLP;;;;4;4
Ernst & Young Belastingadviseurs LLP;;;;3;3
Eurofins Food Testing Rotterdam B.V.;1;;;;1
Eurofins Forensics Belgium bvba;5;;;;5
Eurofins Medigenomix Forensik GmbH;5;;;;5
Ferro Explore B.V.;;;2;;2
Firm Ground;;1;;;1
Fortox;2;;;;2
GenomeScan B.V.;2;;;;2
Grey Matter Matters B.V.;;;;2;2
Groene Hart Ziekenhuis;4;;;;4
Hans van Santen Advies;;;;1;1
Hiemstra & De Vries B.V.;;;2;;2
Hoffmann Bedrijfsrecherche B.V.;;;1;;1
Hooghiemstra & Partners B.V.;;;2;;2
Hospitality Interim B.V.;;;2;;2
Huisartsenpraktijk Prelude;1;;;;1
ICT Partners Noord B.V.;;2;;;2
Intertek Nederland B.V.;1;;;;1
Iso-Analytical Limited;1;;;;1
JC Zaanstad;2;;;;2
JPH Advies;;1;;;1
Kantar Netherlands B.V.;;;2;;2
Kiwa Technology;1;;;;1
KPMG Audit;;;3;4;5
KPMG Staffing & Facility Services B.V.;;;;2;2
KWR Water B.V.;1;;;;1
Larssen Advies;;;1;;1
Lentenaer B.V.;;;2;;2
Lloyd's Register Nederland B.V.;;;1;;1
Maatschap MSB Gouda;1;;;;1
Medisch Specialisten Coöperatief RDGG UA;1;;;;1
Medische Laboratoria dr. Stein & Collegae;6;;;;6
Mellink Sociale Veiligheid;;;1;;1
Morgens B.V.;;;1;;1
Motivaction International B.V.;;;;2;2
Ned. Ver. voor Medisch Specialist. Rapportage;;;1;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;3;;3
Numaga Holding B.V.;;;2;;2
Omegam;1;;;;1
Oslo Universitetssykehus HF;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;1;1
Praktijk Berestein B.V.;1;;;;1
Pricewaterhousecoopers Accountants N.V.;;;;2;2
Pricewaterhousecoopers N.V.;;;5;4;6
Regulator;;;2;;2
Rijnconsult B.V.;;;2;;2
RPS Analyse B.V.;1;;;;1
Safeteq;1;;;;1
Sanquin Diagnostiek B.V.;1;;;;1
Schotpoort Connect B.V.;;;;;
Significant Public B.V.;;;4;;4
SLTN IT Services B.V.;;;;;
Sophia Revalidatie Gouda;1;;;;1
S-ray Diagnostics B.V.;;;3;;3
Stavoor B.V.;1;;;;1
Stg. Kenniscentrum Center People & Buildings;;;2;;2
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;;;2;;2
Stichting Alrijne Zorggroep;2;;;;2
"Stichting Forensisch Psychiatrisch Instituut ""De Rooyse Wissel""";;;;1;1
Stichting Halt;1;;;;1
Stichting Maasstad Ziekenhuis;5;;;;5
Stichting OSGMetrium;3;;;;3
Stichting Werken op Maat;2;;;;2
Strict B.V.;;;3;;3
Taalstrategie B.V.;;;2;;2
The Danish Institut for Human Rights;;;1;;1
The Maastricht Forensic Institute B.V.;7;;;;7
Topicus Overheid B.V.;;;2;;2
Towers Watson Netherlands B.V.;;;2;;2
TRConsult B.V.;;;1;;1
Trompetter & Partners B.V.;1;;;;1
TwynstraGudde;;;4;;4
Unil Universite de Lausanne;2;;;;2
United Parcel Service Nederland B.V.;1;;;;1
Universiteit Gent;1;;;;1
Van der Put/DatabaseMarketing;;;2;;2
VCD Business Solutions B.V.;;;;1;1
Vedas Quality B.V.;;1;;;1
Verwonderzoek;;;2;;2
VRH Informatisering B.V.;2;;;;2
Wow!works B.V.;;2;;;2
Ziekenhuis Amstelland;1;;;;1
Eindtotaal;8;3;7;7;8
