Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8- Communicatie
2Coolmonkeys;;;;1;1
7Am;;1;;;1
Alba Sign;;;;1;1
Alexander Restaurant;;1;;;1
All in Verhuur;;1;;;1
Alpina van Houwening & Ijsselstijn;;1;;;1
Alvero Kantoormeubelverhuur;;1;;;1
ANP - Algemeen Nederlands Persbureau;;;;1;1
ASC - Afrika Studiecentrum;1;;;;1
Aviflora Trading;;1;;;1
B+B Vakmedianet;1;;;;1
Babbilage Restaurant-Brasserij;;1;;;1
Baccara Bloemsierkunst;;1;;;1
Banketbakkerij Boheemen;;1;;;1
Bartimeus (incl. Stichting Bartiméus Accessibility);;;;1;1
BBP Beerens Business Press (incl. Twinkle);;;;1;1
Berlage Brasserie;;1;;;1
BETTERWORDS;;;;1;1
BEVEREN, R.J. VAN;;;;1;1
Bex Communicatie;;;;2;2
BJU Boom Juridische Uitgevers (incl. Sun);1;;;;1
Bobbe Abonnementen;6;;;;6
Bol.Com;1;;;;1
Booij Klusman en van Bruggen;;;;4;4
Bourgonje Geluid- en Lichtservice;;;;5;5
Brain Box Mediatraining;;;;1;1
Branddoctors;;;;2;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;1;1
Buitenlandse Pers Vereniging;1;;;;1
Bureau G.I.T;;1;;;1
Carlton Hotel;;1;;;1
CCCP.TV Rotterdam;;;;2;2
Christian Restaurant;;1;;;1
Cinnamon Interactive;;;;2;2
Clara.Net;1;;;1;1
Clip/Stichting Pro;1;;;;1
Code Zero;;;;3;3
Comichouse;;;;1;1
Comparex (incl. PC-Ware);5;;;2;5
Connexxion;;1;;;1
Cooking & Booking;;1;;;1
Copex Air Cargo, Air, Movers&Packers;;;;1;1
Corner Stone Marketing & Sales;;;;1;1
COUWENBERGH COMMUNICEERT;;;;1;1
CPLUSA;;;;1;1
Creator Meeting Support;;;;1;1
Damen van Deventer;;;;1;1
De Basiliek Restaurant;;1;;;1
De Eeuwige Jachtvelden Café-Restaurant;;1;;;1
De Franse Stap Culinair;;1;;;1
DE GROTE ONDERNEMING DGO;;1;;;1
De Prinsenkelder Restaurant;;1;;;1
De Smaak & Zo;;1;;;1
De Tapperij Restaurant;;1;;;1
Den Haag Marketing & Events;;1;;;1
Dokkumer Vlaggen;;1;;1;1
Double Healix Educational Media;1;;;;1
DTMG PROJECTS;;;;2;2
Dutch View;;;;1;1
EES European Evaluation Society;1;;;;1
Einstein Café Delft;;1;;;1
Entopic;;;;1;1
Exed;;;;1;1
EXTERION MEDIA NEDERLAND BV;;;;1;1
Faber Vlaggen (vh Shipmate);;;;1;1
Facilion;;;;2;2
Facilitylinq;1;;;;1
FAIR WEAR FOUNDATION;;1;;;1
FEMOUS PRODUCTIONS;;;;1;1
Foodlovers Catering voor liefhebbers;;1;;;1
Fotobureau Hendriksen/Valk;;;;1;1
Fouquet Restaurant (De Bruijn - Kamphuis);;1;;;1
Fox-IT, Crypto;;;;2;2
Frankwatching;;;;1;1
Garoeda Indonesisch Restaurant;;1;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;1;;;1
Geurst (incl. Pastis Restaurant);;1;;;1
Golden Tulip;;5;;1;5
GUIDO KOPPES FOTOGRAFIE;;;;1;1
Haagse Sportprijzen Handel;;1;;;1
HAC THE HAGUE ACADEMIC COALITION;;;;2;2
Hanting Cuisine;;1;;;1
Havana (Santé Horeca Beheer);;1;;;1
Het Pleidooi/Lancee Café-Restaurant;;1;;;1
Het Prentenkabinet;;1;;;1
Het Scheepvaartmuseum Enterprise Stichting;;1;;;1
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;;2;;;2
Hobaho;;;;1;1
Hollandse Hoogte;;;;1;1
Hotel Des Indes Le Meridien, Lehwood;;1;;;1
Hotel Steigenberger Kurhaus;;1;;;1
HSB Identification;;;;5;5
HSG;;1;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;1;;1;1
HUGO KAAGMAN;;;;1;1
Huis Ter Duin Grand Hotel;;1;;;1
HULSEGGE;;1;;;1
Humanity House;;1;;;1
Idtv Live 360;;;;4;4
Image Building;;;;4;4
imgZine;;;;3;3
Impero Romano Restaurant;;1;;;1
In2Content;;;;1;1
Indivirtual;;;;2;2
Infotrading;4;;;;4
ING Bank;1;1;;1;1
Insight Enterprises Netherlands;5;;;;5
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;1;;;1
INVESTICO E-COMMERCE BV;;2;;;2
Irma Boom Office;;;;1;1
Jacot (incl. Jacot Audiovisueel, en Technisch Bureau Jacot);;;;6;6
JCDecaux Nederland;;;;1;1
Just Connecting;;;;1;1
Kick Smeets Fotografie;;;;1;1
Kivi Niria Congresbureau;;1;;;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);;3;;;3
Koninklijke van Gorcum;1;;;;1
Koolhaas Concepts;;;;1;1
