Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Aanmelder.nl B.V.;;;2;;;;2
Accenture B.V.;;;5;4;;;6
Alpheios B.V.;;;;1;;2;2
Altares - Dun & Bradstreet;;;;3;;;3
Anuta Software;;;;2;;;2
Arrow Holding B.V.;;;;1;;;1
Between B.V.;;;;4;;;4
BLAUD B.V.;;;;1;;;1
BPI Services B.V.;;;;1;;;1
Buyitdirect.com B.V.;;;;1;;;1
Capgemini Nederland B.V.;;;;1;;;1
Cendris Dataconsulting B.V.;;;1;;;;1
Central Point Nederland B.V.;;;;1;;;1
CGI Nederland B.V.;;;;5;;;5
Cimsolutions;;;;4;;;4
CM Telecom B.V.;;;;1;;;1
COMPAREX Nederland B.V.;;2;4;6;;;6
Coosto B.V.;;;;2;;;2
De Galan Groep B.V.;;;;3;;;3
Déhora Consultancy Group B.V.;;;2;;;;2
Dohsbase V.O.F.;;;;1;;;1
EnablE-U B.V.;;;;1;;;1
Exact Software Nederland B.V.;;;;1;;;1
Finalist IT Group B.V.;;;;2;;;2
Flex-I.D. B.V.;;;2;;;;2
Forrester Research Ltd.;;;;1;;;1
GroupSupport.com B.V.;;;;1;;;1
H.S. Systemen B.V.;;;;;1;;1
HeadFirst B.V.;;;5;;;;5
IBM Nederland B.V.;;;;1;;;1
Ideeaanzee B.V.;1;;;;;;1
Innovero Software Solutions B.V.;;;1;1;;;1
Iturnity Consulting B.V.;;;;1;;;1
IV-Software B.V.;;;2;2;;;2
KPN B.V.;;;;;2;;2
KPN XL;;;;;2;;2
LexisNexis Benelux;;;1;2;;;2
Mozard B.V.;;;4;;;;4
NCC Group Escrow Europe B.V.;;;;1;;;1
NMS National Multiple Services B.V.;;;;1;;;1
Office Depot B.V.;1;;;;;;1
Onestopsourcing B.V.;;;;2;;;2
Pardon Consult;;;1;1;;;1
PDF-Tools AG;;;;1;;;1
Planon B.V.;;;;2;;;2
Porter Novelli B.V.;;;;1;;;1
Prisma-IT B.V.;;;;1;;;1
Protinus IT B.V.;1;;3;4;;;5
QUBE ICT Solutions B.V.;;;;2;;;2
Questionmarkgroup B.V.;;;;1;;;1
QuoVadis Trustlink B.V.;;;1;1;;;1
Randstad Uitzendbureau;;;;1;;;1
RedNose IT B.V.;;;;3;;;3
SAP Nederland B.V.;;;;6;;;6
Schippers IT B.V.;;;;1;;;1
Scholten Awater B.V.;1;;;;;;1
Sectra Communications B.V.;;;;;2;;2
Security Weaver LLC;;;;2;;;2
Solvinity;;;;6;;;6
Stichting Mokum Filmdistributie;;;1;;;;1
Survalyzer Nederland B.V.;;;;1;;;1
T&T Compet&t.b.v.;;;;1;;;1
Tangram B.V.;;;1;1;;;2
Tedas B.V.;;;;2;;;2
Tele2 Nederland B.V.;;;;;1;;1
Telecom Soest B.V.;;;;;2;;2
Telegrootgebruik B.V.;;;;;1;;1
TOPdesk Nederland B.V.;;;;1;;;1
UnifiedPost B.V.;;;1;;;;1
Uptrends B.V.;;;;1;;;1
Vodafone winkel;;;;;5;;5
Work21 B.V.;1;;;;;;1
Wortell System Integrations & Services B.V.;;;;2;;;2
XS4ALL Internet B.V.;;;;;1;;1
Yenlo Cloud Services B.V.;;;;1;;;1
Your Hosting B.V.;;;;1;;;1
Eindtotaal;2;2;7;7;6;2;8
