OBJECTID,STRAATKODE,STRAATNAAM,OMSCHRIJVING,ONDERSCHRIFT,NR_BESLUIT,DDBESLUIT,BESLUITVOLGNR,TEKENINGNR,DATUM_BESLUIT,DDINGANG,DDEINDE,SHAPESTLength
1,01867,Vlinderhoeve,"Onder het gekozen thema Metamorfose, ook de vlinder ondergaat een metamorfose.",,"SB/OBEH/05/1367, D47-394",,,"n, c",,20060103,,122.981243014128
2,01435,Sevenumstraat,Plaats in de provincie Limburg.,,"15972, D47-196",,,"e, B",,19810629,,166.557263172305
3,00544,Lorentzlaan,"Prof.dr. H.A. Lorentz (1853-1928), geboren te Arnhem. In 1902 ontving hij de Nobelprijs. Natuurkundige, hoogleraar te Leiden. Monument in het park Sonsbeek. Lorentz ( H.B.S.) in de Schoolstraat.",nobelprijswinnaar voor Natuurkunde (1853-1928),,,,,,19201227,,159.26995379921
4,00431,Karel van Gelderstraat,"Karel van Egmond (1467-1538), sedert 5-04-1492 Hertog van Gelre, waardoor hij zich Karel van Gelre noemde. Verder was hij vlgs. oorspr. grafschrift: ""Vorst van Gulick, Grave van Zutveen, Heer van Vriesland, Groeninghen, Koeverden en Drent"". Met steun van Frankrijk streed hij tegen Habsburgers, Maximiliaan, Philips de Schone en Karel V. Hij overleed 30 juni 1538 en werd op 7 juli d.a.v. in de Grote Kerk te Arnhem begraven. Op zijn graf werd omstreeks 1540 een monument geplaatst op kosten van het Hof van Gelderland, van zwart marmer en albast. Deze tombe werd in 1960 gerestaureerd.",hertog van Gelre (1467-1538),,,,,,,,163.987620122827
5,00074,Biezenlaan,Grasachtige plant op vochtige grond of moeras.,,"669, D47-83",,,"b, R",,19621105,,341.121002176196
6,01147,Slijpbeekweg,"De Slijpbeek, ook wel Klingelbeek en Mariëndaalsebeek genoemd, is de meest westelijk gelegen beek van Arnhem en vormt gedeeltelijk de gemeentegrens tussen Arnhem en Renkum . De Slijpbeek ontspringt op het monumentale landgoed Mariëndaal, een paar honderd meter ten noorden van de spoorbaan Arnhem-Utrecht. De sprengkop ligt in een oud langgerekt erosiedal. De Slijpbeek is de enige Arnhemse beek in die nog een directe afwatering heeft op de Nederrijn.",,"4409, S72.806",,,"c, G",,19720724,,384.711921642976
7,00815,Schoolstraat,Naar de aldaar in de 19e eeuw gebouwde openbare school genoemd. In deze straat werd de Lorentz H.B.S. gebouwd (ca.1910).,,"610772, D47-232",,,"g, L",,19870119,,164.625128003269
8,00029,Annenhof,Vernoemd naar een oud 15e-eeuws klooster de Annenborch bij Rosmalen (Brabant). Rodenborch is de oudste naam van deze burcht. De naam werd eind 15e eeuw veranderd toen de Augustinessen het klooster gingen bewonen.,,,,,,,,,66.9594994163345
9,01922,Remisestraat,Naar de busremise genoemd.,,2007-03-02090/2007.0.019,,,2007-GEO-00107,,29-5-2007,,177.610263185021
10,01878,Noordkriek,Straatnaamthema: oude Betuwse fruitrassen. Kersensoort.,,"SB/OBEH/06/450, D47-398",,,"n, E",,20060228,,146.74934648909
