Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
ActiveState Software Inc.;;;;;1;;;;1
Adobe Systems Software Ireland Limited;;;;;;;;2;2
Advanced Encryption Technology Europe B.V.;;;;;;;;1;1
Aenova B.V.;;;;;2;;;;2
AEVES B.V.;;;;;;;;1;1
Agrovision B.V.;;;;;;;;1;1
Alaris Antennas;;;;;;;3;;3
Allekabels B.V.;;1;;;;;;;1
AllSolutions B.V.;;;;;1;;;1;1
Amsio B.V.;;;;;2;;;1;2
Anoigo Services Limited;;;;;1;1;;1;2
ARCADIS Nederland;;;;;;;;1;1
Arrow Holding B.V.;;;;;;;;1;1
AST Marine Siences Ltd;;;;;;;1;;1
Atos Nederland B.V.;;;;3;5;;;7;7
Attingo Datarecovery B.V.;1;;;;;;;;1
Avensus Nederland B.V.;;;2;;;;;;2
Baker Tilly Berk Breda;;;;;;;;3;3
BAM Infra Telecom B.V.;;1;;;;;;;1
Barnsten Business Solutions B.V.;;;;;1;;;;1
Belstore.Com B.V.;;;;;;;2;;2
Berenschot Groep B.V.;;;;;2;;;1;2
Between B.V.;;;;;3;;;4;4
BioAware SA N.V.;;;;;2;;;2;3
bioM̩rieux Benelux B.V.;;;;;;;;1;1
Bleck Cross Media Creativity;;;;;1;;;;1
bol.com B.V.;;1;;;;;;;1
Bredenoord B.V.;;;;;;;;1;1
Breijer Contractonderhoud B.V.;;2;3;;;;;2;3
Brunel Nederland B.V.;;;;;;;;3;3
BRW B.V.;;;;;;;;1;1
BT NEDERLAND N.V.;;5;;;;5;;2;6
BT Professional Services Nederland B.V.;;;;;;;;3;3
Buyitdirect.com N.V.;1;3;;;;;3;;4
Cam IT Solutions B.V.;5;;;;;;;;5
Cambrium B.V.;;;;;;;1;;1
Canon Nederland N.V.;1;;1;;;;;;1
Capgemini Nederland B.V.;1;7;6;7;;;5;9;10
Central Point Nederland B.V.;1;2;;;;;2;;2
Centric;;;;;1;1;;;2
Centrum voor Publieke Innovatie CPI B.V.;;;;;;4;;;4
CGI Nederland B.V.;;;;;5;;;8;8
CHEMDOX GmdH;;;;;;;;1;1
Cimsolutions;;;;;4;;;2;4
Circle Systems Inc;;;;;1;;;;1
Citaat V.O.F.;;;;;;;;1;1
CLS-Collecte Localisation Satellites;;;;;;;4;;4
CM Telecom B.V.;;1;;;;1;2;1;2
Communicatie Cockpit B.V.;;;;;;;;2;2
COMPAREX Nederland B.V.;1;;;5;8;3;1;5;8
Complex E-Techniek B.V.;;;;;;;2;1;2
Compu'Train Opleidingen B.V.;;;;;;;;1;1
Connected Information Systems B.V.;;;;;1;;;;1
Conrad Electronic Benelux B.V.;;1;;;;;1;;1
Conversie Partners;;;;;;;;1;1
Coosto Holding B.V.;;;;;;;;1;1
Cosinus Computing B.V.;;;;;2;;;;2
Creaim B.V.;;;;;;;;1;1
Croon Elektrotechniek B.V.;;;;;;;;1;1
CTM Solution B.V.;;;;;;;;1;1
Custodis IT Security Solutions;;;;;4;;;;4
CycloMedia Technology B.V.;;;;1;;;;;1
Dataplus Netherlands B.V.;;;;;3;;;;3
Daxisweb B.V.;;;;;1;;;;1
De Polderland Groep B.V.;;1;;;;;;;1
De Staffing Groep Nederland B.V.;;;;1;7;;;5;7
De Vos Groep B.V.;;;;;;1;;;1
Decos Software Engineering B.V.;1;;;;;;;;1
DEKOM B.V.;;2;;;;;;1;2
Delmation Products B.V.;;2;;;;;;;2
Deloitte Belastingadviseurs B.V.;;;;;;;;2;2
Detron Computerverhuur;;2;;;;;1;;2
Detron Telecom Enterprise;2;2;3;5;5;;2;5;7
Digidentity B.V.;;;;;1;3;;2;4
Dittrich & Partner Consulting GmbH;2;;;;;;;;2
Doclogic B.V.;;;;;6;;;;6
Dow Jones & Company Inc.;;;;;2;;;;2
DTG B.V.;1;;;;;;;;1
Easynet Nederland B.V.;;;;;;;1;;1
Emobility Consulting;;;;;;;;6;6
Energie Media B.V.;;;;;;;;2;2
Equinix (Netherlands) B.V.;;;;;;;;4;4
Esri Nederland;;;;;3;;;2;4
Everest B.V.;;;;;;;;1;1
Exact Netherlands B.V.;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;1;;;;1
Fast Flex B.V.;;;;;5;;;;5
Finalist IT Group B.V.;;;;;;1;;1;2
Firecom;;;;;;;1;;1
Flash Internatio BV;;;;;;;1;;1
Fluke Nederland B.V.;;1;;;;;;;1
For Conference B.V.;;;;;;;1;;1
Fox Crypto B.V.;;1;;2;2;;;;2
Fox-IT;;1;2;;4;;1;4;5
Fujitsu Technology Solutions B.V.;3;2;;;;;;2;4
GAMS Software GmbH;;;;;2;;;;2
Geodan Holding B.V.;;;;;1;;;;1
Geodirect B.V.;;1;;;;;;;1
Giarte Services B.V.;;;;;;;;4;4
Global Knowledge Network Netherlands B.V.;2;;;;1;;;;2
Goconnectit B.V.;;1;;;;;;;1
Green Valley B.V.;;;;;2;;;4;4
GW Cross Media B.V.;;;1;;;;;;1
H.T.A. Systems B.V.;;;;;;;;1;1
Hamburgisches WeltWirtschafts Institut HWWI;;;;;1;;;;1
HeadFirst B.V.;;;;2;7;;;7;7
