OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
92;B111;B111;Station;Station 10 kV;Zelfbouw;2023-02-02;Gemeente Den Haag;In bedrijf;Onbekend;EMMAPK;11;;ENECO;2012-03-15;Gemeente Den Haag;ENECO;;Openbare weg;2595ES;10;S GRAVENHAGE;82635.0929999985;455766.337499998;4.331388933711779;52.08542750115316
93;B500 Station;B500;Station;Station 10/0,4 kV/OV;Niet van toepassing;2023-02-01;Onbekend;In bedrijf;Onbekend;LN V NW O INDIE;123;;Inpandig;2015-12-15;Stedin;Inpandig;MEEUWS;Binnen;2593BM;10;S GRAVENHAGE;83034.182500001;455787.188499998;4.337206369343097;52.08566690340335
94;B512 Station;B512;Station;Station 10/0,4 kV/OV;Niet van toepassing;2023-02-01;Onbekend;In bedrijf;Onbekend;DE CARPENTIERSTR;56;;Inpandig;2015-12-15;Stedin;Inpandig;TEBODIN;Terrein;2595HL;10;S GRAVENHAGE;82940.0190000013;455867.265999999;4.335815806120396;52.08637429635141
95;B108;B108;Station;Station 10/0,4 kV/OV;Zelfbouw;2023-02-02;Stedin;In bedrijf;Onbekend;DE SILLESTR;100;;ENECO;2012-01-25;Stedin;ENECO;W. V. OUTHOORNSTRAAT;Openbare weg;2593VA;10;S GRAVENHAGE;83378.7569999993;455913.995499998;4.342206356022555;52.086851176208114
96;B136;B136;Station;Station 10/0,4 kV/OV;Zelfbouw;2023-02-02;Stedin;In bedrijf;Onbekend;MERKUSSTR;12;;ENECO;2012-01-25;Stedin;ENECO;;Naast;2593TM;10;S GRAVENHAGE;83268.3955000006;455961.686500002;4.340586341711856;52.087265478309796
97;B110;B110;Station;Station 10/0,4 kV;Onbekend;2023-02-02;Gemeente Den Haag;In bedrijf;Onbekend;INDIE LAAN V.N.O.;;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;BEZUIDENHOUTSEWG;Openbare weg;2594;10;S GRAVENHAGE;82886.1680000015;456100.679000001;4.3349808676937;52.08846492012132
98;B304 Station;B304;Station;Station 10/0,4 kV/OV;Zelfbouw;2023-02-02;Onbekend;In bedrijf;Onbekend;BENOORDENHOUTSEWG;24;;ENECO;2015-12-15;Stedin;ENECO;FLAT BOSZICHT;Openbare weg;2596BB;10;S GRAVENHAGE;81989.6464999989;456188.089000002;4.321883040141746;52.08913294575574
100;B138;B138;Station;Station 10/0,4 kV/OV;Zelfbouw;2023-02-02;Stedin;In bedrijf;Onbekend;BEZUIDENHOUTSEWG;;;ENECO;2012-01-25;Stedin;ENECO;BIJ VLASKAMP;Openbare weg;2594AS;10;S GRAVENHAGE;83464.9235000014;456373.113499999;4.343367069211625;52.090988324998186
101;5210 Station;5210;Station;Station 10/0,4 kV;Zelfbouw;2023-02-02;Stedin;In bedrijf;Onbekend;BROEKWG;142;;ENECO;2015-12-17;Stedin;ENECO;GEMAAL;Terrein;2491EK;10;S GRAVENHAGE;86532.3665000014;454384.006499998;4.388519611155846;52.07350025939256
102;5220 Station;5220;Station;Station 10/0,4 kV;Niet van toepassing;2023-02-01;Stedin;In bedrijf;Onbekend;WESTVLIETWG;5;;Inpandig;2015-12-17;Stedin;Inpandig;N.S.;Terrein;2491EA;10;S GRAVENHAGE;86128.3075000011;454553.7665;4.382592525355636;52.07497578254528
103;5323 Station;5323;Station;Station 10/0,4 kV;Onbekend;2023-02-01;Stedin;In bedrijf;Onbekend;WATERPAS;100;;Onbekend;2015-12-17;Stedin;Onbekend;;Openbare weg;2495AT;10;S GRAVENHAGE;84838.9695000015;453002.583999999;4.364106972943678;52.06087363559319
