Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2 Behave;;;;;;;2;2
2Twintig Public Relations B.V.;;;;;;;2;2
3M Nederland B.V.;;;;4;;;;4
4Launch B.V.;;1;;;;;;1
50 Vital 4 Work;;;;;;;1;1
7Day;;1;;;;;;1
A & P Investments B.V.;;1;1;;1;;;1
A.S.J. Leeuwenburgh;;;;;;;3;3
A10Tech B.V.;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;1;1
ABC Display Industry B.V.;;1;;;;;1;1
Acapture B.V.;;;;;;;1;1
Accenture B.V.;;;;7;;;;7
Access It Training & Solutions;1;;;;;;1;1
ActionCam-Verhuur;;;;;;1;;1
AcZmediation & Coaching;;;;;;;1;1
Adlib Gebruikersgroep;;;;1;;;;1
Adviesbureau Planplan;;;;;;;1;1
Adviesbureau Van Montfoort B.V.;;;;;;;1;1
Advocaten Amsterdam Noord;;;;;;;1;1
Aeves Groep B.V.;;;1;;;;;1
AgapÃ©;;;;;;;1;1
Agilent Technologies Netherlands B.V.;;;;2;;;;2
Albyco Nederland B.V.;;1;;;;;;1
Alewijnse Utrecht;;1;;;;;;1
Allekabels B.V.;;;1;;1;;;1
Allianz Global Assistance;;;;;;;3;3
Altares - Dun & Bradstreet;;;;1;;1;;1
A-Mac B.V.;;1;;;1;;;1
Amici IT B.V.;2;;;;;;;2
AndereStart;;;;;;;2;2
Andersson Elffers Felix;;;;;;;4;4
Angenent Huisartsenpraktijk B.V.;;;;;;;1;1
Anoigo Services Limited;;;;2;;1;;2
APAC Services B.V.;;;;;1;;;1
Apotheekhoudende huisartsenpraktijk Jaspers;;;;;;;1;1
Appel Praktijk B.V.;;;;;;;1;1
Applied Biosystems;;1;;2;;;;2
ArchiXL B.V.;;;1;;;;;1
ARP Nederland B.V.;3;1;;;;;;3
Art Systems B.V.;;;;1;;;;1
Arts en Zorg Praktijk Atrium/Goeverneur;;;;;;;1;1
ASB Security B.V.;;;1;;;2;;2
Ask Roger!;;1;;;;;;1
Asolutions B.V.;;;1;1;;;;1
Atif Medical;;;;;;;1;1
Atos Nederland B.V.;;;;1;;;9;9
Atrium Services;;;;;;;1;1
Autotelex B.V.;;;;;2;;;2
AV SALES B.V.;;1;;;;;;1
Avex B.V.;;2;;1;;2;1;2
AwnettenWoude Mediation ea;;;;;;;1;1
Axians;;;;1;;1;;1
Axiell ALM Netherlands B.V.;;;;2;;;;2
AXIS INTO ICT B.V.;;;;;;;1;1
Azion;1;;1;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;2;;;2;;3
B.V.D.A. International B.V.;;;1;;;;;1
B3partners B.V.;;;;1;;;;1
Backshop B.V.;;1;;;;;;1
Baker Tilly Berk Eindhoven;;;;;;;3;3
Bakers Consult;;;;;;;1;1
Baldon B.V.;;;;1;;;;1
BAM Bouw en Techniek regio Zuidwest;;;;;1;;;1
Bax-shop.nl B.V.;;1;;;;;;1
bbeenakkers;;;;;;;2;2
BBK/Door Vriendschap Sterker B.V.;;;;;;;1;1
Be Informed B.V.;;;;5;;;;5
Beljon + Westerterp Recruitment;;;;;;;1;1
Belstore.Com B.V.;;;;;;2;;2
Berenschot Groep B.V.;;;;;;;6;6
BEST mediation & coaching;;;;;;;1;1
Beter Horen B.V.;;;;;;1;;1
Between B.V.;;;;2;;;5;5
BIS Bedrijfs Informatie Systemen B.V.;;;;;1;;;1
BKB;;;;;;;4;4
Blue Carpet Group B.V.;;;;;;;1;1
bol.com B.V.;;1;;;;;;1
Bontenbal & Nof, Huisartsen;;;;;;;1;1
Boom uitgevers Den Haag;;;;;;;1;1
Bos Incasso B.V.;;;;;;1;;1
Bossers & Cnossen B.V.;1;;1;;;;;1
Bouwmeester Van Leeuwen B.V.;;;;;;;2;2
BPI Services B.V.;;1;;2;;;;2
Britt Carter Fysio & Manuele Therapie;;;;;;;1;1
BS&F B.V.;;;;;;;2;2
BTC Mediatest B.V.;;;;;;1;;1
Building Content B.V.;;;;;1;;;1
Bureau Beke;;;;;;;2;2
Bureau Hoekstra Greve Mediation en Advisering;;;;;;;1;1
Bureau Mayet;;;;;;;1;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;;1;1
Burger Coaching & Advies;;;;;;;3;3
Buutvrij for life B.V.;;;;;;;2;2
Buyitdirect.com N.V.;4;2;2;;3;4;;6
BvCM Collections B.V.;;;;;;1;;1
Cadac Group ISV B.V.;;;;1;;;;1
Caiway;;;;;;1;;1
Cambridge Medical;;;;;;;1;1
CameraNU.nl;;1;;;;;;1
Candiensten B.V.;;;;1;;;;1
Capgemini Nederland B.V.;;;;4;;;8;8
Capra advocaten;;;;;;;1;1
Card Vision B.V.;;;1;;;;;1
Cardiologie Beverwijk B.V.;;;;;;;1;1
Cardiovasculaire Praktijk Zeeland;;;;;;;1;1
Care XL B.V.;;;;;;;1;1
Careyn Zuid-Hollandse eilanden B.V.;;;;;;;1;1
Carolijn Winnubst, Mediation, leren & ontw.;;;;;;;1;1
Carthago ICT;;;;2;;;;2
Cashless Solutions;1;;;1;;;;1
Catering Lokaal at DWI B.V.;;;;;;;1;1
CCV Group B.V.;;1;1;;;1;;1
CDDN QualiData B.V.;;;;;;;2;2
CensCenter B.V.;;1;;;;;;1
Centraal Invorderings Bureau B.V.;;;1;;;;;1
Central Point Holding B.V.;;2;1;;;;;2
Central Point Nederland B.V.;5;5;2;;4;4;;7
Centric Netherlands B.V.;;6;1;2;;;;6
Centrum '45;;;;;;;1;1
CenturyLink Communications NL B.V.;;;1;;;;;1
CGI;;1;;2;;;;2
Charta Beheer B.V.;;;;;;;1;1
Chris Siegers;;;;;;;2;2
Chris Verhoef, Adviseur;;;;;;;4;4
Christelijke Hogeschool Windesheim;;;;;;;3;3
CIIO B.V.;;;;;;;2;2
CIRO+ B.V.;;;;;;;1;1
CLB Integrated Solutions B.V.;;;;3;;;;3
Clingendael Advocaten;;;;;;;1;1
Clockwork B.V.;;;;;;;1;1
Cloud Seven B.V.;;2;;;;;;2
CM Telecom B.V.;;;1;1;3;4;1;4
CNCPTMKR Services B.V.;;;;;;;1;1
Co & Co Solutions B.V.;;;;;;;1;1
CoÃ¶p. Med. Special. Bedrijf Midden-Brabant U;;;;;;;1;1
CoÃ¶per. medisch specialisten MSB Drachten UA;;;;;;;1;1
CoÃ¶peratie Cardiologie Weert UA;;;;;;;1;1
CoÃ¶peratie specialisten Jonkerbosch UA;;;;;;;1;1
Com-Connect B.V.;;;;1;;;;1
COMPAREX Nederland B.V.;2;2;7;8;5;;4;9
Computest Services B.V.;;;;;;;2;2
ConanDoyle B.V.;;;;;2;;;2
ConflictSolutions;;;;;;;1;1
Connected Information Systems B.V.;;;;2;;;;2
Conrad Electronic Benelux B.V.;1;1;1;1;1;;;1
Considerati B.V.;;;;;;;4;4
ConsultingKids;;;;;;;2;2
Continental Automotive Trading Nederland B.V.;;;1;;;;;1
Control Risks Benelux B.V.;;;2;;;;;2
Coolblue B.V.;;1;;;;1;;1
Co�p. Med. Specialist. Bedr. St. Anna Z.g. UA;;;;;;;1;1
Co�p. Medisch Specialist. Bedr. Franciscus UA;;;;;;;1;1
Co�p. Medisch Specialist. Bedrijf - Amphia UA;;;;;;;1;1
Co�perat. Medisch Specialist. Bedr. Matrix UA;;;;;;;1;1
Co�peratie Forum1 UA;;;1;;1;;;1
Co�peratie Medici Oogzorg Rotterdam UA;;;;;;;1;1
Co�peratief MSB Meander Medisch Centrum UA;;;;;;;1;1
Coosto Holding B.V.;;;2;2;1;;;2
Corps 3 op twee B.V.;;1;;;;;1;1
COT Inst. v. Veiligh. & Crisismanagement B.V.;;;;;;;4;4
Creaim B.V.;;;1;;1;;;1
Creapolis Media;;;;1;;;;1
CreditProfessionals B.V.;;;;;;1;;1
Crisisplan B.V.;;;;;;;4;4
Croonwolter&dros B.V.;;;;;2;;;2
Crossmediahuis B.V.;;;;1;;;;1
CTM Solution B.V.;;;;2;;;1;2
Cycling Dutchmen;;;;;;;3;3
Dapper Advies;;;;;;;1;1
Dassault SystÃ¨mes B.V.;;;;3;;2;;4
DATA-collectief Groep B.V.;;;;;2;;;2
DataExpert B.V.;;;;2;;;;2
DataIM;;;;;;;1;1
Davilex Software B.V.;;;;1;;;;1
De Galan Groep B.V.;;;;;;;2;2
De Hoogstraat Revalidatie;;;;;;;1;1
De Horst;;;;;;;1;1
De Klantcontact Monitor B.V.;;;;2;;;;2
De Natris Consult;;;;;;;1;1
De Nederlandse Veiligheidsbranche;;;;;;;2;2
De Ontmanager;;;;;;;1;1
de Persgroep Nederland B.V.;;;1;;;;;1
De Processpecialisten B.V.;;;;;;;2;2
De Raadgevers Holding B.V.;;;;1;;;;1
De Raat Security Products B.V.;;1;;;;;;1
