OBJECTID,PUIC,NAAM,PRORAIL_GEBIED,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,IN_GEBRUIK,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,3d136407-b5e9-484d-9126-7f65d44f1271,,Zuid-Holland Zuid,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,49.116287,"49,116287",-68.423158,"-68,423158",ProRail,Randstad Zuid,RZ,BASIS,Rotterdam,120,Rotterdam,3,VolkerRail,94613.132,440017.247,51.94532244,4.50890674
2,793708bb-1104-4916-a66d-5d46fe93c665,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.198728,"5,198728",-12.614669,"-12,614669",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114476.314,490312.032,52.39914946,4.79178554
3,9e5c1182-2bb4-4fa0-b9ca-410a6fa89856,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.211088,"6,211088",11.556931,"11,556931",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113463.661,490342.396,52.39934661,4.77690357
4,ed5782a8-9208-4498-9b35-674568dc2eb8,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.671448,"6,671448",15.138262,"15,138262",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113010.381,490372.24,52.39958031,4.77024008
5,f4aee15f-2f11-48b0-a1c3-3cef485cb674,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.136658,"6,136658",11.5028,"11,502800",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113538.077,490341.915,52.39934791,4.77799697
6,8cc4aba8-51db-4a80-8a5b-584245b5b866,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.31484,"5,314840",-12.482337,"-12,482337",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114360.524,490312.911,52.39914879,4.7900842
7,1510478f-ee08-4b62-a9bb-50f2d4056072,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.387052,"5,387052",4.559182,"4,559182",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114288.202,490330.41,52.39930069,4.7890195
8,fa0b2200-4160-4ea6-ae7f-189ac197e2ef,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.622448,"6,622448",16.200293,"16,200293",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113057.988,490361.501,52.39948744,4.77094089
9,a4bceee7-b171-4862-825b-7a52519d8277,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.677365,"5,677365",-12.375308,"-12,375308",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113997.422,490315.17,52.39914208,4.78474912
10,5a2224d4-c5c9-40a2-a4f7-402acabc9832,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.043547,"6,043547",7.6992,"7,699200",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113630.971,490337.546,52.39931566,4.77936235
11,4d24a652-3f6d-40f7-898e-aed1f4cd6196,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.770235,"6,770235",14.812854,"14,812854",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,112914.87,490393.298,52.39976224,4.76883416
12,37d43119-d797-48b4-b138-4efe61482e25,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.076723,"5,076723",-4.893598,"-4,893598",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114599.079,490323.282,52.39925962,4.79358789
13,d70766bd-cc69-4051-b601-7f98d431f5fd,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),6.721188,"6,721188",14.679812,"14,679812",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,112962.194,490382.599,52.39966972,4.7695308
14,6ab4bd07-9dd3-4aaa-89a5-4576e8cda9ab,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.974537,"5,974537",4.995751,"4,995751",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,113699.913,490334.393,52.39929252,4.78037566
15,d0d49cec-f160-43f1-bc9e-bbd38a52ec51,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.146313,"5,146313",5.408923,"5,408923",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114529.202,490329.874,52.39931371,4.79256043
16,209e5bc5-62b5-4dba-a594-139213e470ed,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.438349,"5,438349",-12.543545,"-12,543545",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114236.769,490313.624,52.39914602,4.78826587
17,0600668b-3dec-4b4f-9b53-cfb156373f86,,Midden,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.558298,"5,558298",-12.564998,"-12,564998",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,114116.604,490314.308,52.39914322,4.78650028
18,9c4d0f9d-a719-4733-9407-4e17f030c575,,Zee-Zevenaar,120,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,6.233343,"6,233343",37.686261,"37,686261",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,90682.479,431920.46,51.87211358,4.45325763
