Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A. Agterberg B.V.;2;;;;2
A. den Bakker & Zn. B.V.;1;;;;1
A. Timmerman's IJzerhandel B.V.;1;;;;1
Aandrijfcomponenten Noord Holland B.V.;;;;1;1
Aann.- & Verh.bedr. J. Hoondert & Zn. B.V.;1;;;;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;1;;;;1
Aara rentmeesters & makelaars;1;;;;1
Aareon Nederland B.V.;1;;;;1
AB Sciex Netherlands B.V.;;;;1;1
ABC Webshops B.V.;;;;1;1
ABM van Zijl B.V.;;;;1;1
ACES Direct B.V.;;;;1;1
Advin B.V.;5;;;;5
Aebi Schmidt Nederland B.V.;2;;;;2
Agilent Technologies Netherlands B.V.;;;;5;5
Agmi Traffic B.V.;;;;7;7
AH to go Eindhoven Airport;;;;2;2
Air Products Nederland B.V.;;;;3;3
Akershoek Fietsen;1;;;;1
Alco cleaners & coatings B.V.;1;;;;1
All-In Quality Services B.V.;1;;;;1
Altrex B.V.;1;;;;1
Ambius B.V.;1;;;;1
Anoniem_I & W_106;;;;1;1
Anoniem_I & W_11;1;;;;1
Anoniem_I & W_117;;;;1;1
Anoniem_I & W_123;;;;1;1
Anoniem_I & W_165;;;;1;1
Anoniem_I & W_177;;;;1;1
Anoniem_I & W_206;;;;1;1
Anoniem_I & W_240;1;;;;1
Anoniem_I & W_253;1;;;;1
Anoniem_I & W_315;2;;;2;3
Anoniem_I & W_322;1;;;;1
Anoniem_I & W_324;;;;7;7
Anoniem_I & W_423;1;;;;1
Anoniem_I & W_432;1;;;;1
Anoniem_I & W_472;;;;1;1
Anoniem_I & W_498;1;;;;1
Anoniem_I & W_50;;;;1;1
Anoniem_I & W_504;2;;;;2
Anoniem_I & W_527;1;;;;1
Anoniem_I & W_533;;;;1;1
Anoniem_I & W_545;;;;2;2
Anoniem_I & W_57;;;;1;1
Anoniem_I & W_81;;;;1;1
Anoniem_I & W_83;;;;1;1
Anoniem_I & W_97;;;;1;1
Antea Inspection B.V.;1;;;;1
Aqua Vision B.V.;;;;6;6
Aqua-Terra Nova B.V.;1;;;;1
ARCADIS Nederland B.V.;6;;;;6
Architektenburo en Bouwburo Coors B.V.;3;;;;3
Arjan Roza Lastechniek B.V.;;;;1;1
ARP Nederland B.V.;;;;1;1
ASSA ABLOY Nederland B.V.;1;;;;1
ASSOCIATION AGLAE;;;;1;1
Atos Nederland B.V.;2;;;;2
Avilo Stikstof en Perslucht Systemen B.V.;;;;1;1
Azerty;;;;1;1
B.S.I. Beheer B.V.;;1;;;1
B.V. Scheepswerf Maaskant;;;;6;6
Bakker Installaties V.O.F.;1;;;;1
BAM Accommodatie Asset Management B.V.;2;;;;2
BAM Bouw en Techniek B.V.;7;;;2;7
BaSystemen B.V.;;;;1;1
BBE MOLDAENKE;;;;2;2
BEFIMMO PROPERTY SERVICES NV;2;;;;2
Beheer&Water2 B.V.;4;;;;4
Bek & Verburg B.V.;;;;2;2
Bek & Verburg Den Helder B.V.;;;;1;1
Belkoned Marine Service B.V.;;;;2;2
Ben de Graaff Projekt B.V.;1;;;;1
Benefit Inkoopadviesgroep B.V.;1;;;;1
Benegas;;1;;;1
BERND KRAFT GmbH;;;;1;1
BGB Analytik Benelux B.V.;;;;1;1
Billink B.V.;1;;;;1
Biosolve B.V.;;;;2;2
BIOTAGE SWEDEN AB;;;;2;2
Bluestream;;;;3;3
Boeg B.V.;;;;1;1
Boels Verhuur;2;;;1;2
Bogaard.clan Engineering;1;;;;1
bol.com B.V.;1;;;1;1
Boom B.V.;;;;1;1
BOOT organiserend ingenieursburo B.V.;2;;;;2
Bootservice Leeuwen;;;;1;1
Bouwbedrijf A. Methorst B.V.;4;;;;4
Bouwbedrijf Meliskerke B.V.;1;;;;1
Brand Coating Services B.V.;;;;4;4
Breman Utiliteit Zwolle B.V.;1;;;;1
Breur IJzerhandel;1;;;;1
Brimos B.V.;;;;6;6
Broekman Groenonderhoudsbedrijf;1;;;;1
Bron Verkeersvoorzieningen B.V.;;;;5;5
BTN B.V.;;;;1;1
BUCHI LABORTECH;;;;2;2
BUNDESAMT FÜR STRAHLENSCHUTZ;;;;1;1
Bunkerstation 'Delta' Stolk & Berends B.V.;;;;1;1
Bureau Documentatie Bouwwezen B.V.;1;;;;1
Bureau Waardenburg B.V.;2;;;;2
Buyitdirect.com B.V.;;;;1;1
BVI Services B.V.;2;;;;2
CAD Accent B.V.;;;;1;1
CAE S.p.a.;1;;;;1
Campro Scientific GmbH;;;;2;2
Campus SUI MOVEO B.V.;5;;;;5
Catec B.V.;2;;;;2
CE Delft;;3;;;3
CELECTRIC B.V.;1;;;;1
Centralpoint Nijmegen B.V.;2;;;7;7
CertiQ B.V.;;1;;;1
ChemAxon Kft.;;;;1;1
Chubb Fire & Security B.V.;4;;;1;4
CircleInvest B.V.;1;;;;1
Climaintenance B.V.;1;;;;1
CLS-Tex International B.V.;;;;1;1
Conrad Electronic Benelux B.V.;;;;1;1
Coolblue B.V.;;;;1;1
Cornelissen Service en Onderhoud B.V.;1;;;;1
Cosetec;;;;1;1
Coteq Netbeheer B.V.;;2;;;2
Country Stables B.V.;;1;;;1
CRA Nederland B.V.;;;;2;2
Crienen Plastics;1;;;;1
Culitech Benelux B.V.;;;;1;1
CWS Nederland;;;;1;1
Cycle Center Valkenburg;1;;;;1
CytoBuoy B.V.;;;;4;4
Da Vinci Laboratory Solutions B.V.;;;;5;5
Damen Shipyards Den Helder B.V.;;;;6;6
Datawell B.V.;;;;2;2
De Haas Maassluis B.V.;;;;6;6
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;4;;;4;5
De Rie IJzerwaren en Gereedschappen B.V.;1;;;;1
De Trip B.V.;;;;5;5
De Vos Trading B.V.;;;;1;1
De Vries Projekt Design B.V.;1;;;;1
Deba 2000 B.V.;3;;;;3
Deblick B.V.;1;;;;1
Decolux Holding B.V.;1;;;;1
Deloitte Consulting B.V.;3;;;;3
Design-home;1;;;;1
Destil;1;;;;1
Dibo Project B.V.;1;;;;1
Dijkstra-Vereenigde B.V.;;;;1;1
DISC B.V.;;;;1;1
DNWG Infra B.V.;;1;;;1
Donker Groep B.V.;2;;;;2
Dover Holding B.V.;;;;6;6
Dräger Safety Nederland B.V.;;;;1;1
Dunea N.V.;;;;;
DuurzaamNL B.V.;2;;;;2
Dynamic No-Break B.V.;1;;;;1
E.A.L. Electronic Application Laboratory B.V.;2;;;4;4
EAN Nederland;;1;;;1
Eden Springs Nederland B.V.;;1;;;1
Eijkelkamp Soil & Water B.V.;;;;4;4
EKO Instruments Europe B.V.;2;;;;2
Electro-Technisch Install.bdr. 'Leerkes' B.V.;2;;;;2
Elektro-Four B.V.;2;;;;2
Endenburg Elektrotechniek B.V.;1;;;;1
Endress + Hauser B.V.;;;;1;1
Enduris B.V.;;2;;;2
Eneco Services B.V.;;2;;;2
Eneco Zakelijk;;9;;;9
ENGIE Energie Nederland N.V.;;3;;;3
ENGIE Serv. Zuid vestiging Maastricht-Airport;;;;4;4
ENGIE Services Noord B.V.;2;;;;2
Ennatuurlijk B.V.;;4;;;4
Erdi Wegbebakening B.V.;1;;;;1
Ergolift B.V.;1;;;;1
Essencia;;;;1;1
EURO-ARGO ERIC _ EUROPEAN RESEARCH;3;;;;3
Eurofiber Nederland;;;;1;1
Euromate B.V.;1;;;;1
F.C. Nienhuis Wegbeveiliging;1;;;;1
