FID,MASTNUMMER,LONGITUDE,LATITUDE,LICHTPUNT,X_COORDINAAT,Y_COORDINAAT,LICHTPUNT_SOORT,GEOM
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fcf,34277,6.66368229,53.23106986,34277,240237.421,583474.678,Lichtmast,POINT (240237.421 583474.678)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd0,34278,6.66328041,53.23109272,34278,240210.542,583476.746,Lichtmast,POINT (240210.542 583476.746)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd1,34279,6.66391864,53.23089393,34279,240253.549,583455.38,Lichtmast,POINT (240253.549 583455.38)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd2,34280,6.6639682,53.2306853,34280,240257.27,583432.223,Lichtmast,POINT (240257.27 583432.223)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd3,34281,6.66390995,53.23046046,34281,240253.824,583407.135,Lichtmast,POINT (240253.824 583407.135)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd4,34282,6.66387573,53.23021061,34282,240252.032,583379.291,Lichtmast,POINT (240252.032 583379.291)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd5,34283,6.66381444,53.22995237,34283,240248.449,583350.482,Lichtmast,POINT (240248.449 583350.482)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd6,34284,6.66374288,53.22976608,34284,240244.038,583329.668,Lichtmast,POINT (240244.038 583329.668)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd7,34285,6.66351965,53.22961733,34285,240229.426,583312.851,Lichtmast,POINT (240229.426 583312.851)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd8,34286,6.66321784,53.22946322,34286,240209.577,583295.345,Lichtmast,POINT (240209.577 583295.345)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fd9,34287,6.66293069,53.22931639,34287,240190.693,583278.666,Lichtmast,POINT (240190.693 583278.666)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fda,34288,6.66557997,53.23115619,34288,240363.96,583486.532,Lichtmast,POINT (240363.96 583486.532)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fdb,34289,6.66568293,53.23100769,34289,240371.128,583470.129,Lichtmast,POINT (240371.128 583470.129)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fdc,34290,6.66566385,53.23078121,34290,240370.301,583444.904,Lichtmast,POINT (240370.301 583444.904)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fdd,34291,6.66576552,53.23058936,34291,240377.469,583423.676,Lichtmast,POINT (240377.469 583423.676)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fde,34292,6.66587479,53.23037514,34292,240385.188,583399.968,Lichtmast,POINT (240385.188 583399.968)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fdf,34293,6.66600448,53.23015327,34293,240394.286,583375.432,Lichtmast,POINT (240394.286 583375.432)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe0,34294,6.66612829,53.2299426,34294,240402.97,583352.136,Lichtmast,POINT (240402.97 583352.136)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe1,34295,6.66624211,53.22974319,34295,240410.964,583330.082,Lichtmast,POINT (240410.964 583330.082)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe2,34296,6.66633579,53.2295601,34296,240417.581,583309.819,Lichtmast,POINT (240417.581 583309.819)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe3,34297,6.6662389,53.22935551,34297,240411.516,583286.937,Lichtmast,POINT (240411.516 583286.937)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe4,34298,6.66636785,53.22931821,34298,240420.2,583282.94,Lichtmast,POINT (240420.2 583282.94)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe5,34299,6.66614992,53.22920905,34299,240405.864,583270.534,Lichtmast,POINT (240405.864 583270.534)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe6,34300,6.66645762,53.22914259,34300,240426.541,583263.504,Lichtmast,POINT (240426.541 583263.504)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe7,34302,6.66601675,53.22896396,34302,240397.456,583243.103,Lichtmast,POINT (240397.456 583243.103)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe8,34303,6.66590605,53.22878057,34303,240390.426,583222.565,Lichtmast,POINT (240390.426 583222.565)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fe9,34304,6.66579523,53.22859347,34304,240383.396,583201.613,Lichtmast,POINT (240383.396 583201.613)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fea,34305,6.66568058,53.22841631,34305,240376.09,583181.763,Lichtmast,POINT (240376.09 583181.763)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5feb,34306,6.66525115,53.23148548,34306,240341.354,583522.785,Lichtmast,POINT (240341.354 583522.785)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fec,34307,6.66529372,53.23166836,34307,240343.835,583543.186,Lichtmast,POINT (240343.835 583543.186)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fed,34308,6.66532442,53.2318687,34308,240345.489,583565.516,Lichtmast,POINT (240345.489 583565.516)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fee,34309,6.66536486,53.23204912,34309,240347.833,583585.641,Lichtmast,POINT (240347.833 583585.641)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fef,34310,6.6652766,53.23220614,34310,240341.63,583603.009,Lichtmast,POINT (240341.63 583603.009)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff0,34311,6.66535889,53.23240594,34311,240346.73,583625.34,Lichtmast,POINT (240346.73 583625.34)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff1,34321,6.66533811,53.23261055,34321,240344.938,583648.084,Lichtmast,POINT (240344.938 583648.084)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff2,34322,6.66531077,53.23280284,34322,240342.733,583669.449,Lichtmast,POINT (240342.733 583669.449)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff3,34323,6.66535259,53.23303032,34323,240345.076,583694.812,Lichtmast,POINT (240345.076 583694.812)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff4,34324,6.66536637,53.23321722,34324,240345.627,583715.626,Lichtmast,POINT (240345.627 583715.626)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff5,34325,6.66534604,53.23336732,34325,240343.973,583732.305,Lichtmast,POINT (240343.973 583732.305)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff6,34326,6.66496684,53.23338994,34326,240318.61,583734.373,Lichtmast,POINT (240318.61 583734.373)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff7,34327,6.66509685,53.23352729,34327,240327.019,583749.811,Lichtmast,POINT (240327.019 583749.811)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff8,34328,6.66506388,53.23241279,34328,240327.019,583625.753,Lichtmast,POINT (240327.019 583625.753)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ff9,34329,6.66475022,53.23234801,34329,240306.204,583618.172,Lichtmast,POINT (240306.204 583618.172)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ffa,34330,6.66439644,53.23225267,34330,240282.771,583607.144,Lichtmast,POINT (240282.771 583607.144)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ffb,34331,6.66404307,53.23217096,34331,240259.338,583597.633,Lichtmast,POINT (240259.338 583597.633)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ffc,34332,6.66365012,53.23207728,34332,240233.286,583586.744,Lichtmast,POINT (240233.286 583586.744)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ffd,34333,6.66333418,53.23193447,34333,240212.472,583570.478,Lichtmast,POINT (240212.472 583570.478)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5ffe,34334,6.66300352,53.23192312,34334,240190.417,583568.824,Lichtmast,POINT (240190.417 583568.824)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_5fff,34335,6.66494558,53.23315976,34335,240317.645,583708.734,Lichtmast,POINT (240317.645 583708.734)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6000,34342,6.66483554,53.23305351,34342,240310.508,583696.78,Lichtmast,POINT (240310.508 583696.78)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6001,34343,6.66460041,53.2329967,34343,240294.921,583690.18,Lichtmast,POINT (240294.921 583690.18)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6002,34344,6.6642533,53.23299283,34344,240271.753,583689.338,Lichtmast,POINT (240271.753 583689.338)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6003,34345,6.66397297,53.23297184,34345,240253.077,583686.67,Lichtmast,POINT (240253.077 583686.67)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6004,34346,6.66364319,53.23284285,34346,240231.313,583671.926,Lichtmast,POINT (240231.313 583671.926)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6005,34347,6.66323569,53.23271721,34347,240204.353,583657.463,Lichtmast,POINT (240204.353 583657.463)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6006,014813-051,6.51402335,53.24042868,14813,230228.169,584349.386,Lichtmast,POINT (230228.169 584349.386)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6007,D1.1,6.59184633,53.20796211,D1.1,235483.867,580820.641,Lichtmast,POINT (235483.867 580820.641)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6008,D1.1,6.59319269,53.20868834,D1.1,235572.46,580902.96,Lichtmast,POINT (235572.46 580902.96)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6009,D1.1,6.5633696,53.19295161,D1.1,233608.688,579118.847,Lichtmast,POINT (233608.688 579118.847)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600a,D1.1,6.5629398,53.23207434,D1.1,233508.893,583471.925,Lichtmast,POINT (233508.893 583471.925)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600b,D1.1,6.5737851,53.21364167,D1.1,234266.832,581432.626,Lichtmast,POINT (234266.832139179 581432.625803083)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600c,D1.1,6.56174177,53.20765732,D1.1,233473.214,580753.505,Lichtmast,POINT (233473.214 580753.505)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600d,D1.1,6.57929295,53.19915916,D1.1,234661.423,579827.106,Lichtmast,POINT (234661.423 579827.106)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600e,D1.1,6.55826448,53.19868292,D1.1,233257.14,579751.06,Lichtmast,POINT (233257.14 579751.06)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_600f,D1.2,6.59194667,53.20789606,D1.2,235490.693,580813.403,Lichtmast,POINT (235490.693 580813.403)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6010,D1.2,6.59330003,53.20861915,D1.2,235579.76,580895.38,Lichtmast,POINT (235579.76 580895.38)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6011,D1.2,6.56335713,53.19301622,D1.2,233607.737,579126.023,Lichtmast,POINT (233607.737 579126.023)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6012,D1.2,6.56300922,53.23216578,D1.2,233513.362,583482.176,Lichtmast,POINT (233513.362 583482.176)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6013,D1.2,6.56168016,53.20775579,D1.2,233468.919,580764.396,Lichtmast,POINT (233468.919 580764.396)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6014,D1.2,6.57922895,53.1992473,D1.2,234656.984,579836.844,Lichtmast,POINT (234656.984 579836.844)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6015,D1.2,6.55834274,53.19877103,D1.2,233262.21,579760.95,Lichtmast,POINT (233262.21 579760.95)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6016,D1.3,6.56327861,53.19314543,D1.3,233602.255,579140.315,Lichtmast,POINT (233602.255 579140.315)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6017,D1.4,6.56303644,53.19355616,D1.4,233585.324,579185.757,Lichtmast,POINT (233585.324 579185.757)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6018,D1.5,6.56283794,53.1940422,D1.5,233571.176,579239.626,Lichtmast,POINT (233571.176 579239.626)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_6019,D1.6,6.56282074,53.19409973,D1.6,233569.922,579246.009,Lichtmast,POINT (233569.922 579246.009)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_601a,D10.1,6.55481144,53.19398454,D10.1,233034.876,579224.484,Lichtmast,POINT (233034.876334215 579224.484118835)
Lichtmasten gemeente Groningen.fid-214b96d3_1861ee9c111_601b,D10.1,6.58876063,53.22211655,D10.1,235251.442,582392.287,Lichtmast,POINT (235251.442 582392.287)
