leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
12 Provincien Uitgeverij;;;;;;;;;1;1
7Am;;2;;;;;;;;2
Aas Opleiding en Training;;;1;;;;;;;1
Abn-Amro Bank (incl. Fortis);;;;;;;;;1;1
Accor Hotel Operator;;2;;;;;;;;2
Accountor Group;;;;;;;;;1;1
AED Solutions;;;2;;;;;;;2
Aedcompany.nl;;;1;;;;;;;1
Aeneas Uitgeverij van Vakinformatie;1;;;;;;;;;1
Ahoy Horeca;1;;;;;;;;;1
Ajax Chubb Varel;;;1;;;;;;;1
Albron Catering;;7;;;;;;;;7
Albyco;;;;;;1;;;1;1
Alfagroup Security, Telecom, Control;;;1;;;;;;;1
Alter Haaglanden;;;2;;;;;;;2
Alvero Kantoormeubelverhuur;;;;;;;;2;;2
Amazing Bread Company (incl. Mammomi);;1;;;;;;;;1
Amazing Design;;1;;;;;;;;1
Amstel Graphics;;;;;;1;;;;1
Ann's Art;;;;;;;;1;;1
ANP - Algemeen Nederlands Persbureau;;;;;;1;;;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;1;1;;;1;2
Applus RTD / Röntgen Technische Dienst;;;1;;;;;;;1
Ardis Management Development;;1;;;;;;;;1
Art 4 You Decorations;;;;;;;;1;;1
Art Expo;;;;;;;;;1;1
Ascom;;;2;;;;;;;2
Asito;;;;4;;;;;;4
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;;2;;;;;;;2
Astek;1;;;;;;;;;1
Atelier van Zijderveld;;;;;;1;;1;;1
Athene Palace Grieks Restaurant;;1;;;;;;;;1
Athos Grootkeukenbenodigdheden;;1;;;;;;;;1
ATIR Schoonmaakstrategen;;;;3;;;;;;3
ATK Grootkeukentechniek;;2;;;;;;;;2
Atlas Voor Gemeenten;;;;;;2;;;;2
Autolease Groningen;;;;;;;;;1;1
AVB Amstelveens Vertaalburo;1;;;;;;;;;1
AvdR Webinars B.V.;1;;;;;;;;;1
B&V Brandbeveiliging, Bedrijfshulpverlening;;;1;;;;;;;1
Babbilage Restaurant-Brasserij;;1;;;;;;;;1
Bakkerij Bart;;1;;;;;;;;1
Baklust;;1;;;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;;;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;1;;;;;;;;1
Bas - Business Art Service;;1;;;;;;2;;2
Bavak Beveiligingsgroep;;;3;;;;;;;3
BDB Bureau Dokumentatie Bouwwezen;1;;;;;;;;;1
Becis;;;;;;;;;2;2
BEMA Shopping BV;;;;;;;;;1;1
Bemeij Schoonmaakbedrijf;;;;1;;;;;;1
Berger Café;;1;;;;;;;;1
Bergh Brandkasten;;;;;;;;1;;1
Best Western Hotels;1;1;;;;;;;;1
Bestsales;;;;;;2;;;1;2
Betonvereniging;1;;;;;;;;;1
Bilderberg Hotels;;1;;;;;;;;1
Biobeheer bacteriologisch onderzoeksbureau;;;;1;;;;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;;;;;;;;1;1
Blomsma Groep (incl. Print & Sign, Sign & Safety, Colorprinting, Repro);;;;;;1;;;;1
Bluebird Holding B.V.;1;;;;;;;;;1
BMS Assurance;;;1;;;;;;;1
BMT;1;;;;;;;;;1
BodemenergieNL;1;;;;;;;;;1
Boekbinderij van Dijk;;;;;;1;;;;1
Boerhof Projectinrichting Heeten;;;;;;;;6;;6
Bol.Com;;;;;;;;;1;1
Booqi Media Solutions;;;;;;2;;;;2
Bouter;;1;;;;;;;;1
BouwXP;;;;;;;;;1;1
BPF - Bouwinvest Office Fund;;1;;;;;;;;1
Brabants Lederwarenhuis;;;;;;;;;1;1
Brabantse Verpakkingshandel;;;;;;;;;1;1
Brady Groupe (incl. Seton, Transposafe);;;1;;;;;;;1
Brasserie 'T Ogenblik;;1;;;;;;;;1
Brasserij De Bruine Boon;;1;;;;;;;;1
Bruynzeel Storage Systems;;;;;;;;1;;1
