Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Samhoud Nederland B.V.;;;6;;;;;6
A5tien B.V.;;;1;;;;;1
Allen & Overy LLP;;;2;;2;;;3
Altadis Luxembourg S.A.;;;;;;2;;2
Amsterdamse Bergings Combinatie B.V.;1;;;;;;;1
Andersson Elffers Felix;;;2;;;;;2
Anneline van der Zon;;;2;;;;;2
Anoniem_FIN_64;;;4;;;;;4
Anoniem_FIN_76;;;;;1;;;1
Anoniem_FIN_78;;;;;1;;;1
Anoniem_FIN_79;;;;;1;;;1
Anoniem_FIN_80;;;1;;;;;1
ARCADIS Nederland B.V.;;;3;;;;;3
Atos Nederland B.V.;;;;;;4;;4
Autovista Benelux SA/NV;2;;;;;;;2
BÃ¶we Systec Nederland B.V.;;;;;;2;;2
Blauw Research B.V.;;;2;;;;;2
BPI Services B.V.;;;;;;1;;1
Canast B.V.;;2;;;;;;2
CasaGrande B.V.;;;1;;;;;1
CE Delft;;;4;;;;;4
Cleerdin & Hamer Advocaten;;;;;1;;;1
Clifford Chance LLP;;;;;1;;;1
CMHF;;3;;;;;;3
CNV Connectief;;2;;;;;;2
COMPAREX Nederland B.V.;;;1;;;2;;3
Connected Information Systems B.V.;;;1;;;;;1
Coöperatieve vereniging The Rep's U.A.;;;1;;;;;1
D&B;;;3;;;;;3
DataExpert B.V.;;;1;;;;;1
De Argumentenfabriek B.V.;;;3;;;;;3
Deloitte Risk Advisory B.V.;;;4;;;;;4
Desan Marktonderzoek B.V.;;;3;;;;;3
Dialogic Innovatie & Interactie;;;5;;;;;5
Districon B.V.;;;2;;;;;2
EHdK B.V.;;;1;;;;;1
Equrion Services B.V.;1;;;;;;;1
Ergo B.V.;;;1;;;;;1
Ferwerda Consulting;;;2;;;;;2
Financial Health Solutions;1;;;;;;;1
Flec Nederland B.V.;;;1;;;;;1
FNV INFORMATIETECHNOLOGIE;5;;;;;;;5
Fox-IT;;;;;;5;;5
Fujitsu Technology Solutions B.V.;;5;;;;4;;6
G.J. van der Meer Mohr;1;;;;;;;1
Gemaco B.V.;;;4;;;;;4
Genesys Telecommunications Laboratories B.V.;;;;;;2;;2
Guidehouse Netherlands B.V.;;;2;;;;;2
HeadFirst Holding B.V.;7;;;;;;;7
Hewlett-Packard Nederland B.V.;;;;2;;3;;3
I & O Research B.V.;;;2;;;;;2
i3 groep;;;;;;2;;2
IBM Nederland B.V.;;2;2;;;7;;7
Imageselect B.V.;;;;1;;;;1
Insight Enterprises Netherlands B.V.;;;;;;4;;4
Insite Media;;;1;;;;;1
Integis B.V.;;;3;;;;;3
Interseco Investigations;;;2;;;;;2
Interseco Security;;;2;;;;;2
Ipsos B.V.;;;2;;;;;2
Jasper van Goor;2;;;;;;;2
John Verzijden B.V.;;1;;;;;;1
jPinpoint;;;;;;1;;1
Kalavasta B.V.;;;2;;;;;2
Kantar Netherlands B.V.;;;2;;;;;2
Klein Berlijn;1;;;;;;;1
Ko & Co Advocaten B.V.;;;;;1;;;1
Koning & Hartman B.V.;;;;;;1;;1
KPMG N.V.;;;6;;;3;;6
KPN Corporate Market;;;3;;;3;;4
Kusters Facilities B.V.;3;;;;;;;3
Live Presence B.V.;;;2;;;;;2
Mare Holland B.V.;;;2;;;;;2
Maykin Media;;;;;;6;;6
Mitopics B.V.;;;;;;2;;2
MLuckerath;;;1;;;;;1
Motivaction International B.V.;;;4;;;;;4
MSdV Services B.V.;1;;;;;;;1
Muconsult B.V.;;;4;;;;;4
MWM2 B.V.;;;3;;;;;3
NautaDutilh N.V.;;;;;4;;;4
NCF;;3;;;;;;3
NiBD;;;2;;;;;2
Northwave Nederland B.V.;;;;;;2;;2
Onlyhuman B.V.;;;1;6;;;;6
Ontwerpwerk B.V.;;;;;;2;;2
Oracle Nederland;;;;;;7;;7
Ouëndag & Silberman;1;;;;;;;1
Panteia B.V.;;;4;;;;;4
Patch Marketing B.V.;;;1;;;;;1
Patricia Jansma Taxateur kunst en antiek;1;;;;;;;1
PBLQ B.V.;;2;;;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;2;;3;;;4
Premium & Promotion Partners B.V.;;;1;;;;;1
Pricewaterhousecoopers Accountants N.V.;;;6;;;;4;6
PricewaterhouseCoopers B.V.;;;1;;;;;1
PricewaterhouseCoopers Pens.Act.Ins.Srv.;;;4;;;;;4
ProQares B.V.;;;1;;;;;1
Protinus IT B.V.;;;;;;4;;4
Psyon B.V.;;;1;;1;;;1
Publicis;;;1;;;;;1
PW Consulting B.V.;;;1;;;;;1
QSM Nederland B.V.;;;;;;4;;4
Questionmarkgroup B.V.;;;1;;;;;1
Quint Result Onderzoek & Advies B.V.;;2;;;;;;2
Radicand Economics;;;1;;;;;1
RevelX Consulting B.V.;;;2;;;;;2
Revnext B.V.;;;4;;;;;4
Right Marktonderzoek en Advies B.V.;;;2;;;;;2
Roorda Reclamebureau B.V.;;;1;;;;;1
Rris;;;2;;;;;2
SafeNet Europe B.V.;;;;;;3;;3
SAMR;;;2;;;;;2
SAP Nederland B.V.;;;;;;2;;2
Schuberg Philis B.V.;;;;;;7;;7
Sdu Uitgevers B.V.;;;;;;4;;4
Signific Coöperatie U.A.;1;;;;;;;1
Significance B.V.;;;1;;;;;1
