Leveranciers;3000 Uitbesteden overig;3110 Uitbesteden organisatie- en formatieadviesopdrachten;3120 Uitbesteden beleidsadvies en onderzoeksopdrachten;3140 Uitbesteden juridisch adviesopdrachten;3160 Uitbesteden accountancy en financien;3-Uitbesteden
A La carte Redactie;1;;;;;1
A Priori B.V.;;;2;;;2
AARDEWIJN PROCESBEGELEIDING &ADVIES;;1;;;;1
ABZ NEDERLAND BV;;;2;;;2
Academie voor arbeidsmarkt communicatie;;;1;;;1
Acknowledge ICT Group;;;1;;;1
Adaptics Health&Performance;;;2;;;2
Allen & Overy;;;;6;;6
Annemiek Douw Coaching & Consulting;1;;;;;1
Argentum;;;2;;;2
Associates;;;8;;;8
Atos;;;1;;;1
Bam Media;1;;1;;;1
Bambu Centrum Voor Gewaarzijn;;1;;;;1
Bartosz ICT;;;7;;;7
Bastagroup IT Management en Consulting;;;2;;;2
BBP Beerens Business Press (incl. Twinkle);;;1;;;1
Beeldzaak fotografie;;;1;;;1
Between;;;7;;;7
Bezemer & Kuiper;;;1;;;1
Bit Internet Technology;;;3;;;3
Blauw Research;;;5;;;5
BMS Assurance;;;1;;;1
Boekestijn BV;;;2;;;2
BosBoon Expertise;;;2;;;2
Bouw & Van de Meerendonk;;;3;;;3
Brigitte Heitzer;1;;;;;1
Buitink Beleidsadvies;;;1;;;1
Bureau BB Beheer;3;;;;;3
Bureau Marksmen;;;1;;;1
Bureau van Dijk Electronic Publishing;;;3;;;3
Buro Bjorn;1;;;;;1
Buro Brand voor Beeldend Ontwerp en Reclame (Willemien Brand);1;;;;;1
Buro De Steeg;;;1;;;1
Buro2010;2;;;;;2
Cannock Chase Public;;;5;;;5
Capgemini;;;9;;;9
Cargonaut (incl. Cargo Community System Schiphol);;;5;;;5
Cees Trappenburg;1;;;;;1
Center For People And Buildings;;;4;;;4
Centric (incl. Qualityhouse);;;4;;;4
Centrum voor Online Onderzoek;;;2;;;2
CGI Group (incl. Logica CMG);;;7;;;7
Cimsolutions;;;7;;;7
Cinop;;2;;;;2
Circle Software Group;;;4;;;4
CMM College of MultiMedia;1;;;;;1
Comparex (incl. PC-Ware);;;4;;;4
Computer Associates;;;2;;;2
Conclusion;;;6;;;6
Coniche;;;2;;;2
Connact Groep;;;2;;;2
Contentional;2;;;;;2
Coosto;;;3;;;3
Corinor;;;1;;;1
Corion;;;1;;;1
Cothink;2;;;;;2
Crazy Piano's Scheveningen;;;1;;;1
Cuijpers, Ron;1;;;;;1
De Beren eetcafe;;1;;;;1
DE EIGEN ZAAK;;;1;;;1
De Galan Groep (incl. Opleidingen);;;2;;;2
De Groot Drukkerij (incl. Het Kontakt Edities, Premere);;;1;;;1
De Ijsselhoeve;;1;;;;1
De juridische academie;;1;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;1;;;1
Dedicon;;;1;;;1
Dekra;1;;;3;;3
Denion Consulting;;;2;;;2
DERIX TEKSTPRODUCTIES VOF;;;1;;;1
Desan Research Solutions;;;2;;;2
Desis;;;1;;;1
Detachering OZL;;;2;;;2
Diensten Stichting Mediation;;1;;;;1
Digital Masters;1;;;;;1
Docfactory;1;;;;;1
Dot To Dot;;;2;;;2
E. Bliek;1;;;;;1
ECN Energieonderzoek Centrum Nederland;;;2;;;2
Ecorys Nederland (incl. Ecorys-Kolpron);;;1;;;1
Effectory;4;;;;;4
EHBO;1;;;;;1
Ernst & Young;;;;;4;4
Escrow Europa;;;1;;;1
Escrow4all;;;2;;;2
Essensor;;;1;;;1
Euclid Vision technologies bv;;;2;;;2
Eva de Hilster grafische vormgeving;;;1;;;1
Exin Exameninstituut;1;;;;;1
F19 Projecten;2;;;;;2
Falke & Verbaan;;;1;;;1
Favier A.V;1;;;;;1
FCCE b.v.;;;1;;;1
Ferro Markt en Communicatie Onderzoek;2;;2;;;3
Fijnschrift;1;;;;;1
Filtercommunicatie;;;1;;;1
Finalist IT Group;2;;;;;2
Flat out Stg;;1;;;;1
Fleet Support;;;1;;;1
Florian TV Network;;;1;;;1
Flow and Performance;;;2;;;2
Focus Advisering Training Coaching, Conferences;2;;5;;;5
Forrester Research;;;1;;;1
Fox-IT, Crypto;;;2;;;2
Franke Interim Management;;;2;;;2
Fujitsu Technology Solutions (vh Fujitsu Siemens);;;4;;;4
GBNED Onderzoekbureau;;;2;;;2
Geerling Evenementen & Artiesten;1;;;;;1
Gerard van der Made;;;2;;;2
GFK Group (incl. Panel Services, Intomart);;;2;;;2
Globe Software;;;3;;;3
Graydon Nederland;;;1;;;1
Grontmij;;;2;;;2
GuruScan BV;;;1;;;1
Hangklip Media/ Johan de Ligt;1;;;;;1
Hans Vermaak Organisatie Advies;;;1;;;1
Harvey Nash;;;8;;;8
Haselhoff Groep;;;1;;;1
Headfirst;;;1;;;1
HeadQuater;;;1;;;1
Heeren van S-Gravenwaard;;;2;;;2
Heitzer, Imke;1;;;;;1
HELVOORT J.R. VAN;;;2;;;2
Hema;2;;;;;2
Het Cultuurvenster;1;;;;;1
Het Debatbureau (Bloemberg);1;;;;;1
HIIL The Hague Institute for the Internationalisation of Law;;;4;;;4
Holland VOF;1;;;;;1
Hospitality Consultants;;1;;;;1
Hostnet;;;1;;;1
HowAboutYou;;;2;;;2
HP Hewlett Packard (incl. Autonomy, Verity);;;6;;;6
HRD Support;;1;;;;1
Huib Koeleman;;;1;;;1
IBM (incl. Cognos);;;7;;;7
Ilionx Software Solutions;;;6;;;6
imgZine;;;1;;;1
IMK Instituut voor het Midden- en Kleinbedrijf;;;1;;;1
In60seconds;2;;;;;2
Indocs;;;2;;;2
Inge Beckers;;1;;;;1
Ingressus;2;;1;;;3
Intop Zorgsector, Madiationtoets;;1;;;;1
Ipsos (incl. Synovate);;;2;;;2
Issues Management Institute;;;2;;;2
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;7;;;7
ITAQ Interim Professionals;;;2;;;2
iWelcome;;;2;;;2
J. de Leuw;1;;;;;1
J.E. Zegers te Kerkrade;1;;;;;1
J.J. Verheij;1;;;;;1
J.M. van Kinschot;;1;1;;;1
Ja-Maar;;1;;;;1
Jan Spruit Music Solutions;1;;;;;1
Jeroen Smit;;2;;;;2
Jeukendrup.nl;2;;;;;2
JIBES Emerging Information;;;1;;;1
Joopvos.Com;1;;;;;1
JT&P Communicatie;1;;1;;;1
Jurriaan Dekker;1;;;;;1
Justin van Uum Music;1;;;;;1
K. Scheepers;1;;;;;1
Kamer van Koophandel;;1;;;;1
Kennedy van der Laan Advocatuur;;;1;;;1
Keukenvuur;;1;;;;1
Kim Spinder;;1;;;;1
Knowledge Plaza;;;2;;;2
Koning & Hartman;;;1;;;1
Konstantin Iliev;1;;;;;1
KPMG;;;;;5;5
KPN (incl. Getronics, PTT Telecom);;;2;;;2
KROONE VIVIANNE;;1;;;;1
Kuiper, Ir. J.C.;;;2;;;2
KZA;;;7;;;7
Lagerweij & Partners;;;1;;;1
Landstede;;1;;;;1
Le Blanc Advies (vh Withart);6;;6;;;7
Leeuwendaal Advies;;;2;;;2
Linque Consult;;;2;;;2
Linxx;;;1;;;1
Lionfish;;;1;;;1
LYMAR;;1;;;;1
M. Hekkenberg;1;;;;;1
M. Tersteeg;1;;;;;1
M+P Raadgevende Ingenieurs;;;1;;;1
Madeleine;;;1;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;1;;;1
Marcel Adriaansz;1;;;;;1
Marije Clemens;1;;;;;1
Marker Management Consultancy bv;2;;;;;2
Masterkey-Plus;;;3;;;3
MCR Retailmind;;;2;;;2
Meantone;1;;;;;1
MECC Hotel Service;1;;;;;1
Menumeneeren;;1;;;;1
Metrixlab;2;;2;;;3
Mieke Keizer - Valkema (musicus);1;;;;;1
MiSalsa;1;;;;;1
Montix;;;1;;;1
Moodfactory;;;4;;;4
MP Werving;2;;;;;2
Mwm2;;;2;;;2
N Genious;;;1;;;1
NBA KRING FRIESLAND;;1;;;;1
Nelissen Ingenieursbureau;;;1;;;1
Next2Company;;;1;;;1
NFC Index;;1;;;;1
Norbert Kögging;1;;;;;1
Novagraaf Nederland;1;;;;;1
Novius;;;1;;;1
NThesis BV;;;2;;;2
Only Human Recruiting en Consulting;1;;3;;;3
Oracle;;;8;;;8
Ordina (incl. Be Value, Clockwork);;;1;;;1
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);2;;2;;;2
PAO PostAcademisch Onderwijs;;1;;;;1
PARABOTS;;;2;;;2
Pediroda;;1;;;;1
Pensioenfederatie;;;1;;;1
Pentascope;;;2;;;2
Perfect View;;;3;;;3
Perspective;2;;;;;2
Plan B (S-TM);;;1;;;1
Planboard;1;;;;;1
PNA Group;;;4;;;4
Pol De Jong & Partners (vh Instituut voor Werk en Levenskunst);;1;;;;1
Posthuma Consulting;;;2;;;2
Pro8tivity B.V.;;1;;;;1
Proambt Advies;;;1;;;1
Procense BV;;;1;;;1
Prodemos/Huis voor Democratie en Rechtstaat;1;;;;;1
Prodev Int Professional Development Internationaal;;;1;;;1
Project Moore Advocaten;;;;2;;2
Project.Zuid;1;;;;;1
Proud Venture;1;;;;;1
Public Partners;;;3;;;3
PWC PriceWaterhouseCoopers;;;;;2;2
Quadia;;;2;;;2
Quality Support (incl. Klantcontact monitor);1;;;;;1
Randstad Group (incl. Tempo Team, P/Flex);;;6;;;6
Rederij Dijkhuizen;;1;;;;1
Rene Vorderman;1;;;;;1
Reputy Europe;;;1;;;1
Right Marktonderzoek;;;2;;;2
Rosmulder, T.H.A.;1;;;;;1
Ruud Jacobs;1;;;;;1
Sabel Communicatie;2;;;;;2
Sas Institute;;;4;;;4
Scholten Awater & Partners;;;1;;;1
Secsi Media;;;1;;;1
Sensus;;;2;;;2
SevenStars;;;8;;;8
SIG Software Improvement Group (incl. Portfolio Management);;;6;;;6
Significant;1;;2;;;2
Silva Nederland;1;;;;;1
Smits van Burgst;;;5;;;5
Sogeti Nederland;;;8;;;8
Spark Campus;;;1;;;1
Speakers Academy;;;1;;;1
Sprengers Advocaten (vh Advokatenkollektief);1;;1;;;1
Springhaver Theater Cafe;;;1;;;1
SRA (Samenwerkende Registeraccountants en Accountants-Administratieconsulenten);;1;;;;1
Stadspaviljoen;;;1;;;1
Stg Adelante Zorg;;;1;;;1
StripstudioNL \ Koch Illustraties & Animaties;1;;;;;1
Studievereniging GEWIS;;;1;;;1
Studio Groen + Schild;;;1;;;1
STYLE-UPDATE;;;1;;;1
Syza;2;;;;;2
Tamara Smits Musicus;1;;;;;1
Tek Tok;;;1;;;1
Telecats;1;;;;;1
TFM Total Facility Management;;;1;;;1
Th. van der Vlugt Beheer;1;;;;;1
The Sparring Partners;;1;;;;1
Theater aan de Parade;;1;;;;1
Thomson Reuters;;;2;;;2
TIE Nederland;;;2;;;2
TNS-NIPO;;;2;;;2
Topscore;;;1;;;1
Total Identity, Total Public;;;1;;;1
TRConsult;;;2;;;2
Treparel Information Solutions;;;2;;;2
TriageExpert;;;2;;;2
Triamfloat;5;;;;;5
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;3;;;3
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;;2;;;2
Utrecht's Rondvaartbedrijf Rederij Schuttevaer;;1;;;;1
Van Dalen HR Proj.;;;1;;;1
Van der Colk BV;;;1;;;1
Van der Molen Project Advies;1;;;;;1
Veldkamp Mediaonderzoek, Marktonderzoek;;;3;;;3
VER VAN COMMUNICATIEADVIESBUREAUS;1;;;;;1
Verweij-Jonker Instituut;;;1;;;1
Vesta Automatisering;;;1;;;1
VGP;;;1;;;1
Viadesk;;;1;;;1
Vitrov Bouw en Vastgoed;1;;;;;1
Vorm Consult;;1;;;;1
Vreuls Music;1;;;;;1
V-Sign (Video Duplication);1;;;;;1
W van Weelden;1;;;;;1
Wageningen UR/Alterra;;;2;;;2
Webhelp Nederland;1;;6;;;6
Webverzorgers vof.;;;1;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;1;;;1
Wildlife Arts Vof;1;;;;;1
Wipneus & Pim;1;;;;;1
Wiseguys Internet;;;3;;;3
Wismeijer Science Translation;;2;2;;;2
Wissema Group;;;1;;;1
Witteveen+Bos Raadgevende Ingenieurs;;;1;;;1
Yourhosting;;;1;;;1
ZIGT Media Management;;;1;;;1
Eindtotaal;7;4;11;7;6;11
